Player Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Source Report,Source League ID,Level_advanced,PA_advanced,BB%,K%,BB/K,AVG_advanced,OBP_advanced,SLG,OPS_advanced,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,Source Report_advanced,Level_batted,PA_batted,BABIP_batted,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB%,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,Source Report_batted,League Name,League Level,FGPts_est,Fantasy Points Formula,FGPts_per_game,AB_per_game,BA,OBP,SLP,OPS,BB_K_ratio,BB_pct,K_pct,Approach_score,Speed_score,HR_FB_pct,Estimated BIP,Estimated FB,Team League Max G,Player Team Game Share
Jesus Pinto,DET,A,19,100,375,437,102,76,16,4,6,61,48,56,0,81,3,3,0,11,25,8,0.272,sa3023973,standard,10,A,437,0.128,0.185,0.69,0.272,0.368,0.384,0.752,0.112,6.7,0.33,0.0,65,2.3,0.36,104,advanced,A,437,0.33,2.61,0.20600000000000002,0.574,0.22,0.297,0.094,0.37,0.209,0.42100000000000004,0.086,637.0,974.0,1611.0,batted,Florida State League,A,772.0,fantrax_hitting_categories,7.72,3.75,0.272,0.3684210526315789,0.384,0.7524210526315789,0.691358024691358,0.128,0.185,0.474962962962963,6.7,0.094,291.0,64.02,108,0.9259259259259259
Jirvin Morillo,CIN,A,19,22,77,94,20,13,5,0,2,14,16,17,0,22,0,0,0,1,1,0,0.26,sa3023751,standard,10,A,94,0.18100000000000002,0.23399999999999999,0.77,0.26,0.394,0.403,0.796,0.143,3.7,0.34,0.0,16,2.3,0.383,116,advanced,A,94,0.34,2.23,0.20800000000000002,0.547,0.245,0.462,0.154,0.45299999999999996,0.151,0.396,0.14,161.0,210.0,371.0,batted,Florida State League,A,176.5,fantrax_hitting_categories,8.022727272727273,3.5,0.2597402597402597,0.39361702127659576,0.4025974025974026,0.7962144238739983,0.7727272727272727,0.18100000000000002,0.23399999999999999,0.45204545454545453,3.7,0.154,53.0,12.985,122,0.18032786885245902
JoJo Parker,TOR,A,19,87,325,399,84,44,24,3,13,68,66,63,3,99,8,3,0,2,22,4,0.258,sa3069248,standard,10,A,399,0.158,0.248,0.64,0.258,0.388,0.471,0.859,0.212,7.4,0.329,1.6,71,14.3,0.395,125,advanced,A,399,0.329,1.8,0.273,0.46799999999999997,0.259,0.196,0.23199999999999998,0.37799999999999995,0.24,0.382,0.084,718.0,1014.0,1732.0,batted,Florida State League,A,863.0,fantrax_hitting_categories,9.919540229885058,3.735632183908046,0.25846153846153846,0.38847117794486213,0.4707692307692308,0.8592404087140929,0.6363636363636364,0.158,0.248,0.378,7.4,0.23199999999999998,216.0,55.944,106,0.8207547169811321
Jordan Yost,DET,A,19,83,314,378,79,58,14,3,4,61,31,51,0,53,9,3,1,3,18,1,0.252,sa3069254,standard,10,A,378,0.135,0.14,0.96,0.252,0.369,0.354,0.722,0.102,7.4,0.288,2.2,53,-0.4,0.352,100,advanced,A,378,0.288,1.41,0.195,0.47100000000000003,0.335,0.221,0.047,0.46,0.192,0.34700000000000003,0.071,568.0,873.0,1441.0,batted,Florida State League,A,642.0,fantrax_hitting_categories,7.734939759036145,3.783132530120482,0.2515923566878981,0.3687002652519894,0.3535031847133758,0.7222034499653651,0.9622641509433962,0.135,0.14,0.6976415094339623,7.4,0.047,260.0,87.10000000000001,108,0.7685185185185185
Kendrick Herrera,PIT,A,19,10,28,35,6,6,0,0,0,3,4,6,0,14,1,0,0,1,2,0,0.214,sa3023776,standard,10,A,35,0.171,0.4,0.43,0.214,0.371,0.214,0.586,0.0,4.9,0.429,0.3,4,-1.1,0.318,78,advanced,A,35,0.429,4.5,0.083,0.75,0.16699999999999998,0.0,0.0,0.5,0.214,0.28600000000000003,0.15,51.0,82.0,133.0,batted,Florida State League,A,45.0,fantrax_hitting_categories,4.5,2.8,0.21428571428571427,0.37142857142857144,0.21428571428571427,0.5857142857142857,0.42857142857142855,0.171,0.4,0.18385714285714283,4.9,0.0,14.0,2.3379999999999996,107,0.09345794392523364
Luis Cova,MIA,A,19,62,207,255,38,24,10,1,3,26,22,42,0,58,1,5,0,5,20,4,0.184,sa3023723,standard,10,A,255,0.165,0.22699999999999998,0.72,0.184,0.318,0.285,0.603,0.101,6.3,0.232,1.5,25,-11.5,0.3,70,advanced,A,255,0.232,0.75,0.243,0.324,0.43200000000000005,0.23399999999999999,0.047,0.455,0.27899999999999997,0.266,0.086,433.0,584.0,1017.0,batted,Florida State League,A,384.0,fantrax_hitting_categories,6.193548387096774,3.338709677419355,0.18357487922705315,0.3176470588235294,0.28502415458937197,0.6026712134129013,0.7241379310344828,0.165,0.22699999999999998,0.4402758620689655,6.3,0.047,151.0,65.23200000000001,115,0.5391304347826087
Luis Fragoza,MIN,A,19,59,211,245,68,36,18,0,14,43,51,20,0,66,8,2,0,5,15,2,0.322,sa3023955,standard,10,A,245,0.08199999999999999,0.26899999999999996,0.3,0.322,0.398,0.607,1.005,0.284,5.9,0.406,1.5,54,19.3,0.446,157,advanced,A,245,0.406,1.62,0.292,0.43799999999999994,0.271,0.077,0.359,0.503,0.255,0.24100000000000002,0.14,305.0,608.0,913.0,batted,Florida State League,A,612.0,fantrax_hitting_categories,10.372881355932204,3.5762711864406778,0.3222748815165877,0.3983402489626556,0.6066350710900474,1.004975320052703,0.30303030303030304,0.08199999999999999,0.26899999999999996,0.19666666666666668,5.9,0.359,133.0,36.043,105,0.5619047619047619
Luis Leon,MIA,A,19,19,57,62,9,8,0,0,1,6,6,3,0,24,2,0,0,1,5,1,0.158,sa3067401,standard,10,A,62,0.048,0.387,0.13,0.158,0.226,0.211,0.436,0.053,6.7,0.25,0.4,2,-7.1,0.218,21,advanced,A,62,0.25,1.08,0.21899999999999997,0.406,0.375,0.083,0.083,0.545,0.242,0.212,0.257,70.0,160.0,230.0,batted,Florida State League,A,70.0,fantrax_hitting_categories,3.6842105263157894,3.0,0.15789473684210525,0.22580645161290322,0.21052631578947367,0.4363327674023769,0.125,0.048,0.387,0.070625,6.7,0.083,32.0,12.0,115,0.16521739130434782
Manuel Colon,PHI,A,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,sa3024788,standard,10,A,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0,0.0,0.0,-100,advanced,A,0,0.0,,,,,,,,,,,,,,batted,Florida State League,A,0.0,fantrax_hitting_categories,0.0,0.0,,,,,,0.0,0.0,,0.1,,,,115,0.0782608695652174
Matthew Ferrara,PHI,A,19,115,411,486,100,66,22,6,6,80,60,53,0,108,13,7,2,2,36,5,0.243,sa3069108,standard,10,A,486,0.109,0.222,0.49,0.243,0.343,0.37,0.713,0.127,9.0,0.309,3.7,64,-5.7,0.34,89,advanced,A,486,0.309,0.81,0.248,0.337,0.41600000000000004,0.349,0.048,0.484,0.281,0.235,0.145,649.0,1098.0,1747.0,batted,Florida State League,A,920.0,fantrax_hitting_categories,8.0,3.5739130434782607,0.24330900243309003,0.34297520661157027,0.36982968369829683,0.7128048903098672,0.49074074074074076,0.109,0.222,0.3283055555555556,9.0,0.048,304.0,126.46400000000001,115,1.0
