Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Georwill Rodriguez","NYM","DSL",18,2,0.5,0,1,0,0.5,0,0.5,0,7.5,0,0.19403394404798746,0.37970245103509515,0.02679068069131464,0.42017844319343567,107.71637337418444,"sa3068413"
"Angel Suarez","ARI","DSL",17,3,0,0.333333333,0,0,0,0,0,0,0.14285714,0,0,-0.6663636634566307,-1.1957313189723013,0,-100,"sa3068414"
"Abraham Elvira","COL","DSL",18,0,0,0,0,0,0,0,0,0,0.14285714,0,0,0,0,0,-100,"sa3068415"
"Eliomar Garces","TBR","DSL",18,9,0.222222222,0.222222222,1,0.4,0.625,0.4,1.025,0,6.785714285714286,0.666666666,0.17016970831900835,3.0124740787144693,1.424371112167457,0.5679321587085724,195.75016957770472,"sa3068523"
"Jose Padilla","NYM","DSL",18,5,0,0.4,0,0.25,0.4,0.25,0.65,0,2.64285714,0.5,-0.011932117864489555,0.7172837019565883,-0.16499572390286288,0.3728598356246948,84.92919400405724,"sa3068527"
"Yorvit Diaz","OAK","DSL",18,8,0,0.125,0,0.142857142,0.25,0.142857142,0.392857142,0,7.5,0.166666666,0.18806788511574268,0.05092003849995774,-1.3607270428751643,0.23303739726543427,8.388254296494575,"sa3068528"
"Yeison Oviedo","SFG","DSL",18,9,0,0,0,0.666666666,0.666666666,0.777777777,1.444444443,0.111111111,3.0555247437498494,0.666666666,-0.6755659161135554,4.174578513431024,2.586475546884012,0.6996268431345621,264.26439262520483,"sa3068529"
"Angel Mejia","SDP","DSL",17,6,0.333333333,0.5,0.666666666,0.25,0.5,0.25,0.75,0,5,1,0.38210182916373014,1.294107371221865,0.23537206019052329,0.44652634859085083,116.80762539502263,"sa3068533"
"Gerlyn Payano","MIL","DSL",18,10,0.1,0.2,0.5,0,0.1,0,0.1,0,2.64285714,0,-0.005966058932244778,-1.3972673181825863,-3.161826169901489,0.08403568863868713,-76.77032112054269,"sa3068661"
"Jose Lavagnino","NYY","DSL",19,4,0.25,0.25,1,0,0.25,0,0.25,0,0.14285714,0,-0.005966058932244778,-0.06453999126932519,-0.7703635319568862,0.21008922159671783,-13.269209149563432,"sa3068663"
"Mayki De La Rosa","ARI","DSL",18,8,0.125,0.375,0.333333333,0.285714285,0.375,0.285714285,0.660714285,0,7.0619652460748235,0.5,0.1821018261834979,1.0048649470340238,-0.4067821343410983,0.3546556904911995,72.94081325379472,"sa3068689"
"Aiberson Blanco","NYM","DSL",18,10,0.2,0.5,0.4,0.25,0.4,0.25,0.65,0,2.64285714,0.666666666,-0.02386423572897911,1.3845673980691189,-0.3799914536497836,0.36776024103164673,78.57197317776335,"sa3068690"
"Eliander Primera","SDP","DSL",18,8,0.25,0,2,0.2,0.5,0.2,0.7,0,6.4583333312499995,0.2,0.37613577023148537,1.698809825178989,0.28716274380386686,0.4431266188621521,118.11310368641456,"sa3068691"
"Hector Barroso","COL","DSL",18,1,0,0,0,0,0,0,0,0,0.14285714,0,0,-0.22212122115221022,-0.3985771063241005,0,-100,"sa3068710"
"Edwilmin Matos","HOU","DSL",18,7,0,0.428571428,0,0,0,0,0,0,0.14285714,0,0,-1.5548485480654715,-2.7900397442687033,0,-100,"sa3068746"
"Hector Cabrera","STL","DSL",18,5,0,0.2,0,0,0.4,0,0.4,0,0.14285714,0,-0.011932117864489555,0.5872836867620379,-0.29499573909741345,0.3463419437408447,66.14149009563704,"sa3068758"
"Diego Alambarrio","SFG","DSL",18,5,0,0.2,0,0.25,0.2,0.25,0.45,0,2.64285714,0.25,-0.005966058932244778,-0.13166119430495601,-1.0139406201644072,0.19968886375427247,-11.993475188681119,"sa3068761"
"Jesus Villaflor","LAD","DSL",18,6,0.666666666,0,4,0.5,0.833333333,0.5,1.333333333,0,2.64285714,0.5,-0.02983029466122389,2.9419971579008966,1.8832618468695548,0.726645310719808,270.925124568302,"sa3068780"
"Omar Munoz","COL","DSL",18,9,0.111111111,0.111111111,1,0.5,0.555555555,0.75,1.305555555,0.25,0.76785714,0.571428571,-0.017898176796734333,3.3406336189226975,1.7525306523756854,0.6051206125153435,207.99439331101598,"sa3068781"
