Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
Alex Birge,STL,A,23,44,149,176,26,15,6,1,4,24,30,21,0,66,6,0,0,2,3,1,.174,sa3069174
Sam Biller,NYM,A,23,11,39,46,14,11,3,0,0,8,8,4,0,11,3,0,0,1,7,3,.359,sa3069175
Quentin Young,MIN,A,19,105,388,441,83,51,12,5,15,45,54,44,1,197,0,8,0,9,8,9,.214,sa3069187
Bruin Agbayani,NYM,A,19,13,53,64,13,9,4,0,0,13,8,10,0,8,1,0,0,0,3,0,.245,sa3069188
JoJo Parker,TOR,A,19,87,325,399,84,44,24,3,13,68,66,63,3,99,8,3,0,2,22,4,.258,sa3069248
Steele Hall,CIN,A,18,28,95,121,18,11,6,0,1,18,12,24,0,39,1,1,0,0,7,1,.189,sa3069249
Jordan Yost,DET,A,19,83,314,378,79,58,14,3,4,61,31,51,0,53,9,3,1,3,18,1,.252,sa3069254
Michael Oliveto,DET,A,19,22,75,87,24,17,6,0,1,12,12,12,0,17,0,0,0,0,0,0,.320,sa3069256
Ryan Mitchell,STL,A,19,107,386,496,89,65,9,2,13,81,51,100,0,164,4,6,0,2,41,12,.231,sa3069261
Wyatt Vincent,NYM,A,19,17,58,67,13,10,3,0,0,8,3,5,0,19,2,1,1,1,1,2,.224,sa3069295
Blaine Bullard,TOR,A,19,106,417,477,102,71,20,3,8,65,64,44,1,130,10,5,0,3,37,5,.245,sa3069298
Cam Kozeal,MIA,A,21,10,42,48,9,5,2,0,2,6,3,6,0,10,0,0,0,1,1,1,.214,sa3070534
Tyson LeBlanc,DET,A,21,7,23,24,5,4,1,0,0,2,1,1,0,8,0,0,0,2,0,0,.217,sa3070576
Matt Quintanar,PHI,A,22,14,50,53,12,11,1,0,0,8,4,3,0,6,0,0,0,1,0,0,.240,sa3071065
Sherman Johnson,CIN,A,21,13,50,57,15,11,3,0,1,7,9,6,0,11,0,1,0,0,2,0,.300,sa3073566
Logan Maxwell,NYY,A,23,29,100,125,27,18,4,0,5,24,24,19,0,24,1,4,0,2,9,1,.270,sa3076050
Henry Hunter,CIN,A,23,67,182,237,32,16,11,1,4,32,28,44,0,86,8,1,2,0,0,3,.176,sa3076051
Nolan McCarthy,DET,A,24,15,37,50,9,6,3,0,0,9,6,13,0,10,0,0,0,0,5,0,.243,sa3076053
Gregory Bozzo,NYY,A,24,7,19,21,5,3,1,0,1,2,4,2,0,7,0,0,0,0,0,0,.263,sa3076081
