Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Jack Brannigan,PIT,AA,25,141,.317,0.77,23.2%,33.3%,43.5%,16.7%,26.7%,56.3%,25.4%,18.3%,12.8%,228,349,577,31471
Dylan Beavers,BAL,AA,24,13,.000,1.25,0.0%,55.6%,44.4%,25.0%,0.0%,44.4%,11.1%,44.4%,3.4%,28,30,58,31695
Jackson Holliday,BAL,AA,22,10,.000,1.00,33.3%,33.3%,33.3%,0.0%,0.0%,33.3%,33.3%,33.3%,7.1%,28,28,56,31781
Roman Anthony,BOS,AA,22,14,.286,1.33,12.5%,50.0%,37.5%,0.0%,33.3%,12.5%,50.0%,37.5%,10.6%,31,35,66,31812
Turner Hill,SFG,AA,27,42,.393,2.20,38.5%,42.3%,19.2%,20.0%,0.0%,40.7%,14.8%,44.4%,4.3%,57,82,139,32053
Shawn Ross,PIT,AA,26,77,.227,0.43,28.6%,21.4%,50.0%,28.6%,50.0%,62.1%,27.6%,10.3%,15.9%,162,172,334,32054
Kyle Karros,COL,AA,23,17,.455,1.00,33.3%,33.3%,33.3%,0.0%,25.0%,41.7%,25.0%,33.3%,10.7%,32,52,84,33252
Jonah Cox,SFG,AA,24,183,.464,1.36,19.4%,46.5%,34.1%,13.6%,13.6%,31.3%,25.4%,43.3%,10.2%,254,442,696,33270
Drew Cavanaugh,SFG,AA,24,90,.364,1.29,30.4%,39.1%,30.4%,7.1%,21.4%,40.4%,23.4%,36.2%,8.6%,175,222,397,33380
George Lombard Jr.,NYY,AA,21,90,.364,1.05,32.8%,34.5%,32.8%,10.5%,21.1%,47.5%,23.7%,28.8%,10.2%,164,209,373,33433
John Peck,DET,AA,23,256,.345,1.83,22.2%,50.3%,27.5%,10.9%,21.7%,42.0%,20.7%,37.4%,13.4%,345,642,987,33500
Brett Callahan,DET,AA,24,265,.302,1.20,21.9%,42.6%,35.5%,20.0%,20.0%,47.3%,23.7%,29.0%,13.6%,382,596,978,33514
A.J. Ewing,NYM,AA,21,81,.426,2.45,22.4%,55.1%,22.4%,0.0%,18.2%,46.9%,28.6%,24.5%,10.0%,147,174,321,33656
Sean Keys,TOR,AA,23,209,.327,0.86,22.9%,35.6%,41.5%,32.7%,28.6%,50.4%,24.0%,25.6%,13.2%,301,518,819,35094
Konnor Griffin,PIT,AA,20,7,1.000,1.00,33.3%,33.3%,33.3%,0.0%,100.0%,66.7%,33.3%,0.0%,15.6%,15,17,32,35376
Abrahan Gutierrez,NYY,AA,26,61,.367,1.27,29.2%,39.6%,31.3%,26.7%,0.0%,36.7%,20.4%,42.9%,9.6%,77,141,218,sa3004263
Je'Von Ward,TOR,AA,26,27,.500,1.33,41.7%,33.3%,25.0%,0.0%,0.0%,50.0%,33.3%,16.7%,12.9%,46,70,116,sa3004969
Viandel Pena,DET,AA,25,103,.262,1.23,22.2%,42.9%,34.9%,36.4%,9.1%,36.5%,27.0%,36.5%,11.1%,159,273,432,sa3005775
P.J. Hilson,PIT,AA,25,144,.277,1.79,17.3%,53.1%,29.6%,20.8%,4.2%,56.8%,18.2%,25.0%,18.0%,181,359,540,sa3007048
Max Burt,DET,AA,29,152,.292,1.21,25.5%,40.8%,33.7%,36.4%,12.1%,62.4%,19.8%,17.8%,13.4%,221,368,589,sa3007631
Onix Vega,NYM,AA,27,3,.000,0.50,0.0%,33.3%,66.7%,0.0%,0.0%,33.3%,66.7%,0.0%,0.0%,7,12,19,sa3008007
Jaylen Palmer,NYM,AA,25,153,.324,1.12,28.4%,37.8%,33.8%,20.0%,4.0%,44.0%,21.3%,34.7%,13.4%,282,390,672,sa3008297
Jose Ramos,NYM,AA,25,387,.295,1.91,21.6%,51.5%,27.0%,7.3%,27.3%,50.0%,25.0%,25.0%,15.5%,650,958,1608,sa3008845
Leandro Pineda,WSN,AA,24,270,.283,1.48,21.6%,46.8%,31.6%,16.7%,5.0%,39.7%,24.3%,36.0%,10.8%,397,627,1024,sa3008905
Jorge Burgos,TOR,AA,23,292,.308,1.26,26.6%,40.9%,32.5%,27.3%,10.6%,36.2%,30.0%,33.8%,9.8%,431,707,1138,sa3008929
Miguel Palma,NYY,AA,24,201,.244,1.18,20.7%,43.0%,36.3%,24.5%,18.4%,52.6%,23.7%,23.7%,13.3%,297,469,766,sa3009279
Geovanny Planchart,TOR,AA,24,37,.421,2.20,15.8%,57.9%,26.3%,40.0%,0.0%,47.4%,26.3%,26.3%,9.5%,78,101,179,sa3009334
Eddinson Paulino,NYM,AA,23,6,.500,2.00,0.0%,100.0%,0.0%,0.0%,0.0%,66.7%,0.0%,33.3%,14.8%,11,16,27,sa3009538
Luke Ritter,PHI,AA,29,180,.333,1.18,23.7%,41.2%,35.1%,14.7%,8.8%,46.5%,25.7%,27.7%,16.8%,281,428,709,sa3009878
DJ Gladney,NYY,AA,24,467,.362,1.25,27.6%,40.2%,32.2%,20.2%,27.4%,36.0%,33.7%,30.3%,18.8%,598,1164,1762,sa3010043
GJ Hill,COL,AA,25,379,.312,0.90,20.3%,37.8%,41.9%,27.5%,17.6%,43.0%,28.5%,28.5%,20.7%,439,913,1352,sa3010335
Aaron Antonini,DET,AA,27,117,.279,1.60,18.8%,50.0%,31.3%,30.0%,15.0%,43.1%,21.5%,35.4%,14.9%,164,293,457,sa3010906
Kervin Pichardo,WSN,AA,24,419,.296,1.65,18.2%,51.0%,30.8%,20.5%,14.1%,45.5%,22.4%,32.2%,11.0%,682,1015,1697,sa3011260
Cameron Barstad,CLE,AA,25,138,.359,1.36,20.0%,46.2%,33.8%,18.2%,9.1%,39.4%,33.3%,27.3%,17.2%,224,350,574,sa3011350
Jamari Baylor,NYM,AA,25,41,.333,1.00,28.0%,36.0%,36.0%,22.2%,11.1%,36.0%,24.0%,40.0%,17.0%,66,93,159,sa3011446
Wuilfredo Antunez,CLE,AA,24,330,.253,0.99,18.9%,40.3%,40.8%,13.8%,17.5%,44.7%,24.4%,31.0%,19.9%,445,881,1326,sa3011578
Erick Brito,PHI,AA,24,104,.379,1.22,22.7%,42.4%,34.8%,17.4%,4.3%,42.9%,20.0%,37.1%,8.8%,137,215,352,sa3011753
Willy Vasquez,BAL,AA,24,134,.365,2.81,28.2%,52.9%,18.8%,37.5%,12.5%,44.8%,23.0%,32.2%,13.3%,187,317,504,sa3011821
Kevin Made,WSN,AA,23,24,.313,1.17,18.8%,43.8%,37.5%,33.3%,0.0%,31.3%,12.5%,56.3%,6.7%,40,50,90,sa3014679
Roberto Campos,DET,AA,23,71,.357,1.62,17.1%,51.2%,31.7%,23.1%,0.0%,47.6%,26.2%,26.2%,9.7%,127,163,290,sa3014683
Hedbert Perez,TOR,AA,23,175,.301,0.97,20.6%,39.2%,40.2%,28.2%,15.4%,43.4%,27.3%,29.3%,17.5%,266,454,720,sa3014692
Aeverson Arteaga,SFG,AA,23,77,.442,0.75,37.8%,26.7%,35.6%,25.0%,12.5%,52.2%,21.7%,26.1%,19.1%,83,199,282,sa3014707
TT Bowens,NYM,AA,28,102,.208,1.14,15.1%,45.3%,39.6%,28.6%,4.8%,42.6%,22.2%,35.2%,17.4%,152,261,413,sa3015107
Vincent Perozo,NYM,AA,23,225,.252,1.26,23.0%,42.9%,34.1%,11.6%,18.6%,45.7%,23.6%,30.7%,18.4%,260,579,839,sa3015188
Adrián Sugastey,SFG,AA,23,135,.295,1.81,26.9%,47.1%,26.0%,22.2%,7.4%,42.2%,25.7%,32.1%,9.9%,135,308,443,sa3015190
Luis Durango,NYY,AA,23,67,.360,5.33,20.8%,66.7%,12.5%,33.3%,0.0%,31.4%,27.5%,41.2%,7.5%,65,136,201,sa3015232
Jose Devers,CLE,AA,23,318,.385,4.33,24.2%,61.6%,14.2%,33.3%,7.4%,44.1%,16.4%,39.5%,12.1%,459,803,1262,sa3015292
Ronald Rosario,BOS,AA,23,299,.299,1.66,24.2%,47.3%,28.5%,15.3%,22.0%,46.9%,27.0%,26.1%,16.7%,356,725,1081,sa3015525
Maick Collado,CLE,AA,23,111,.277,1.19,19.0%,44.0%,36.9%,19.4%,6.5%,43.0%,22.1%,34.9%,9.9%,136,267,403,sa3015534
Kevin Rivas,CLE,AA,23,12,.200,0.00,40.0%,0.0%,60.0%,33.3%,33.3%,33.3%,50.0%,16.7%,14.5%,19,36,55,sa3015539
Adrian Pinto,TOR,AA,23,178,.288,1.97,21.4%,52.1%,26.5%,22.6%,6.5%,53.7%,18.2%,28.1%,8.8%,307,419,726,sa3015542
Jesus Castillo,PIT,AA,22,242,.317,1.20,25.3%,40.7%,34.0%,14.5%,7.3%,36.7%,26.5%,36.7%,15.0%,272,510,782,sa3015587
Javier Rivas,PIT,AA,23,296,.267,1.54,22.7%,46.9%,30.4%,23.7%,16.9%,55.5%,23.5%,21.0%,18.9%,266,707,973,sa3015589
Onil Perez,SFG,AA,23,30,.240,2.00,28.0%,48.0%,24.0%,33.3%,0.0%,36.0%,32.0%,32.0%,6.7%,39,66,105,sa3015610
Miguel Villarroel,WSN,AA,24,9,.111,6.00,12.5%,75.0%,12.5%,100.0%,0.0%,66.7%,22.2%,11.1%,3.2%,10,21,31,sa3015631
Victor Arias,TOR,AA,22,336,.272,1.51,17.7%,49.6%,32.8%,25.0%,13.2%,36.2%,23.4%,40.4%,14.5%,443,788,1231,sa3015636
Alexis Hernandez,TOR,AA,23,97,.420,1.41,24.3%,44.3%,31.4%,22.7%,4.5%,23.9%,29.6%,46.5%,13.3%,115,232,347,sa3015642
Manuel Palencia,NYY,AA,23,301,.296,2.19,27.2%,50.0%,22.8%,13.5%,13.5%,44.6%,19.7%,35.6%,10.0%,385,690,1075,sa3015659
Omar Alfonzo,PIT,AA,22,342,.290,1.90,24.5%,49.5%,26.1%,20.8%,20.8%,46.2%,25.3%,28.5%,14.6%,524,841,1365,sa3015665
Kevin Villavicencio,NYM,AA,22,109,.247,1.90,23.7%,50.0%,26.3%,15.0%,10.0%,45.6%,31.6%,22.8%,12.7%,108,255,363,sa3015673
Shalin Polanco,PIT,AA,22,64,.323,0.91,32.3%,32.3%,35.5%,54.5%,0.0%,53.1%,31.3%,15.6%,20.8%,90,175,265,sa3015699
Maikol Hernández,BAL,AA,22,9,.600,1.00,80.0%,20.0%,0.0%,0.0%,0.0%,20.0%,20.0%,60.0%,16.1%,9,22,31,sa3015712
Anderson De Los Santos,BAL,AA,22,456,.281,0.97,20.4%,39.2%,40.4%,31.8%,11.2%,38.5%,33.7%,27.8%,10.1%,756,1068,1824,sa3015747
Thayron Liranzo,DET,AA,22,331,.229,0.92,20.7%,38.0%,41.3%,14.9%,21.6%,49.5%,25.0%,25.5%,14.8%,567,789,1356,sa3015790
Samuel Escudero,PIT,AA,22,57,.139,1.58,16.2%,51.4%,32.4%,33.3%,8.3%,59.5%,24.3%,16.2%,9.6%,87,142,229,sa3015807
Yohairo Cuevas,NYM,AA,22,26,.381,1.83,19.0%,52.4%,28.6%,16.7%,0.0%,38.1%,14.3%,47.6%,16.8%,37,64,101,sa3015826
Bryant Betancourt,COL,AA,22,268,.269,0.72,19.0%,34.0%,47.0%,22.3%,14.9%,54.2%,19.9%,25.9%,8.1%,352,644,996,sa3015846
Andy Perez,COL,AA,22,536,.334,2.18,23.5%,52.5%,24.0%,29.6%,9.2%,42.7%,21.1%,36.3%,11.0%,511,1240,1751,sa3015857
Diego Velasquez,SFG,AA,22,334,.350,1.96,25.9%,49.1%,25.0%,16.1%,7.1%,48.5%,20.6%,30.9%,8.3%,473,792,1265,sa3016144
Ahbram Liendo,BOS,AA,22,340,.333,1.20,23.1%,41.9%,34.9%,35.4%,10.8%,38.9%,27.5%,33.7%,11.0%,560,836,1396,sa3016173
Jose Astudillo,SFG,AA,22,62,.265,1.64,19.6%,50.0%,30.4%,21.4%,0.0%,28.6%,34.7%,36.7%,7.9%,75,153,228,sa3016548
Edward Duran,TOR,AA,22,44,.290,0.85,25.0%,34.4%,40.6%,0.0%,7.7%,53.1%,31.3%,15.6%,11.1%,48,87,135,sa3016719
Frederick Bencosme,BAL,AA,23,410,.292,1.11,19.7%,42.3%,38.0%,32.4%,11.1%,44.1%,24.8%,31.0%,7.3%,597,1062,1659,sa3016779
Max Ferguson,BOS,AA,26,228,.312,0.63,25.8%,28.8%,45.5%,35.0%,13.3%,44.9%,29.4%,25.7%,10.8%,397,545,942,sa3016819
Diego Mosquera,NYM,AA,22,58,.267,2.00,30.0%,46.7%,23.3%,42.9%,0.0%,30.0%,33.3%,36.7%,10.5%,83,156,239,sa3016825
Raylin Heredia,PHI,AA,22,558,.347,1.28,27.7%,40.6%,31.7%,25.4%,18.6%,49.2%,22.3%,28.5%,16.2%,612,1328,1940,sa3016826
Miguel Bleis,BOS,AA,22,353,.277,1.27,20.7%,44.4%,34.9%,38.1%,15.5%,60.5%,21.0%,18.5%,12.7%,420,842,1262,sa3016834
Raudelis Martinez,BOS,AA,24,68,.333,2.23,14.3%,59.2%,26.5%,30.8%,7.7%,49.0%,20.4%,30.6%,14.1%,79,162,241,sa3016835
Tyler McDonough,BOS,AA,27,306,.301,1.07,20.8%,40.9%,38.4%,16.4%,19.7%,48.5%,24.0%,27.5%,12.0%,498,746,1244,sa3016869
Mike Antico,COL,AA,28,158,.250,1.14,17.3%,44.0%,38.7%,41.4%,13.8%,48.7%,25.0%,26.3%,16.8%,225,393,618,sa3016922
Luis Caicuto,PHI,AA,23,27,.211,1.29,11.1%,50.0%,38.9%,57.1%,0.0%,35.0%,35.0%,30.0%,10.9%,38,63,101,sa3016923
Tyler Hardman,NYY,AA,27,167,.348,0.67,26.5%,29.4%,44.1%,24.4%,28.9%,42.9%,29.5%,27.6%,14.6%,225,420,645,sa3016955
Chris Meyers,DET,AA,27,272,.335,1.42,23.4%,44.9%,31.7%,30.2%,13.2%,46.4%,28.6%,25.0%,10.0%,441,627,1068,sa3016956
Austin Murr,PHI,AA,27,201,.329,1.04,24.3%,38.5%,37.2%,27.3%,12.7%,42.4%,25.8%,31.8%,7.1%,270,493,763,sa3016967
Izaac Pacheco,DET,AA,23,355,.307,0.84,18.3%,37.2%,44.4%,11.3%,25.0%,43.7%,29.5%,26.8%,17.9%,569,817,1386,sa3016969
Justice Bigbie,DET,AA,27,378,.385,2.36,26.4%,51.7%,21.9%,18.6%,11.9%,36.8%,21.0%,42.3%,8.9%,537,850,1387,sa3016971
Jack Rogers,WSN,AA,27,137,.271,2.71,25.7%,54.3%,20.0%,7.1%,0.0%,53.5%,16.9%,29.6%,15.5%,212,349,561,sa3017017
Adam Hackenberg,TOR,AA,26,8,.333,1.00,0.0%,50.0%,50.0%,0.0%,50.0%,20.0%,60.0%,20.0%,14.3%,14,21,35,sa3017041
Alex Binelas,PHI,AA,26,479,.342,1.12,20.3%,42.1%,37.5%,17.3%,26.5%,43.9%,29.9%,26.1%,16.0%,758,1139,1897,sa3017044
Riley Tirotta,PHI,AA,27,108,.274,0.96,27.4%,35.5%,37.1%,47.8%,4.3%,49.2%,20.6%,30.2%,11.3%,190,262,452,sa3017078
Wyatt Young,NYM,AA,26,322,.276,1.19,27.1%,39.6%,33.3%,13.0%,1.4%,43.4%,22.2%,34.4%,10.1%,465,746,1211,sa3017081
Zach Kokoska,COL,AA,27,279,.320,0.83,18.2%,37.1%,44.7%,23.9%,18.3%,47.2%,31.3%,21.5%,18.0%,378,725,1103,sa3017165
Benny Montgomery,COL,AA,23,162,.284,2.58,20.9%,57.0%,22.1%,10.5%,36.8%,46.6%,21.6%,31.8%,17.3%,239,407,646,sa3017169
Juan Benjamin,CLE,AA,23,158,.219,1.60,14.2%,52.8%,33.0%,20.0%,5.7%,43.6%,26.4%,30.0%,10.0%,224,375,599,sa3017217
Matt Rudick,NYM,AA,27,215,.211,0.59,24.8%,27.9%,47.3%,29.5%,6.6%,46.6%,28.6%,24.8%,10.6%,325,513,838,sa3017334
JT Schwartz,NYM,AA,26,296,.270,0.73,27.3%,30.6%,42.1%,9.1%,13.0%,37.2%,27.9%,35.0%,9.4%,455,771,1226,sa3017371
Jose Torres,COL,AA,26,216,.236,1.16,16.7%,44.7%,38.6%,27.3%,15.9%,51.2%,21.5%,27.3%,15.3%,316,514,830,sa3017396
Mike Jarvis,PIT,AA,28,4,.000,0.00,0.0%,0.0%,100.0%,66.7%,0.0%,33.3%,33.3%,33.3%,33.3%,2,7,9,sa3017401
Patrick Winkel,TOR,AA,26,124,.338,1.00,30.6%,34.7%,34.7%,8.0%,12.0%,40.5%,25.7%,33.8%,12.9%,162,325,487,sa3017556
Branden Boissiere,WSN,AA,26,267,.374,1.11,25.9%,38.9%,35.2%,19.3%,15.8%,41.7%,31.9%,26.4%,16.6%,373,664,1037,sa3017558
Lonnie White Jr.,PIT,AA,23,365,.361,0.99,23.3%,38.1%,38.6%,26.0%,24.7%,56.6%,27.3%,16.2%,14.7%,595,914,1509,sa3017628
T.J. White,WSN,AA,22,220,.282,1.04,22.7%,39.4%,37.9%,14.0%,12.0%,48.1%,20.3%,31.6%,14.4%,337,532,869,sa3017697
Jake Fox,CLE,AA,23,159,.402,1.68,34.3%,41.2%,24.5%,12.0%,4.0%,43.7%,24.3%,32.0%,3.5%,307,413,720,sa3017734
Kyle Hayes,WSN,AA,28,25,.417,0.40,36.4%,18.2%,45.5%,0.0%,0.0%,50.0%,33.3%,16.7%,15.1%,34,59,93,sa3018212
Clayton Campbell,DET,AA,22,42,.367,2.29,25.8%,51.6%,22.6%,14.3%,14.3%,25.8%,25.8%,48.4%,11.8%,56,105,161,sa3018386
Dyan Jorge,COL,AA,23,527,.321,2.58,23.5%,55.1%,21.4%,28.8%,1.4%,43.4%,21.8%,34.8%,9.7%,780,1187,1967,sa3018387
Keiner Delgado,PIT,AA,22,434,.298,1.90,19.6%,52.7%,27.8%,17.9%,12.8%,50.0%,22.7%,27.3%,13.2%,657,1030,1687,sa3018397
Jace Avina,NYY,AA,23,505,.298,0.74,25.7%,31.5%,42.8%,21.8%,15.0%,45.8%,22.9%,31.3%,12.6%,753,1133,1886,sa3018398
Jaison Chourio,CLE,AA,21,396,.327,1.86,25.3%,48.6%,26.1%,9.1%,10.6%,42.4%,25.1%,32.5%,9.3%,640,1004,1644,sa3018399
Johanfran Garcia,BOS,AA,21,335,.361,0.96,23.3%,37.6%,39.0%,20.7%,22.0%,44.8%,30.2%,25.0%,21.5%,360,804,1164,sa3018424
Aroon Escobar,PHI,AA,21,544,.253,1.40,20.8%,46.1%,33.1%,15.3%,7.3%,38.6%,32.3%,29.1%,10.4%,834,1273,2107,sa3018463
Nolan Beltran,PHI,AA,21,4,.000,1.00,0.0%,50.0%,50.0%,100.0%,0.0%,50.0%,0.0%,50.0%,17.6%,6,11,17,sa3018466
Roynier Hernandez,COL,AA,21,37,.346,0.80,30.8%,30.8%,38.5%,20.0%,0.0%,33.3%,18.5%,48.1%,9.1%,50,114,164,sa3018495
Fernando Peguero,BAL,AA,21,199,.300,1.88,16.9%,54.2%,28.8%,23.5%,8.8%,35.5%,27.4%,37.1%,11.5%,283,516,799,sa3018546
Aron Estrada,BAL,AA,21,489,.291,1.65,20.6%,49.5%,29.9%,15.6%,21.1%,46.0%,21.4%,32.6%,11.6%,595,1202,1797,sa3018552
Alfredo Velásquez,BAL,AA,21,34,.143,1.86,4.8%,61.9%,33.3%,14.3%,0.0%,30.4%,21.7%,47.8%,7.5%,36,70,106,sa3018556
Marvin Alcantara,BOS,AA,21,306,.270,1.39,21.3%,45.8%,32.9%,25.7%,8.1%,47.6%,23.8%,28.6%,9.1%,396,702,1098,sa3018558
Andrés Nolaya,BAL,AA,21,4,.333,3.00,0.0%,100.0%,0.0%,0.0%,0.0%,33.3%,0.0%,66.7%,7.7%,4,9,13,sa3018563
Thomas Sosa,BAL,AA,21,438,.300,1.07,24.5%,39.1%,36.5%,31.0%,14.0%,42.1%,24.5%,33.5%,12.1%,623,1074,1697,sa3018566
Jefferson Rojas,NYM,AA,21,121,.266,1.00,19.5%,40.2%,40.2%,22.9%,25.7%,40.4%,32.6%,27.0%,11.4%,154,283,437,sa3018571
Josue Briceño,DET,AA,21,76,.262,0.56,20.4%,28.6%,51.0%,16.0%,32.0%,46.0%,36.0%,18.0%,10.9%,104,171,275,sa3018584
Chris Suero,NYM,AA,22,481,.256,1.10,16.3%,43.9%,39.8%,22.4%,18.4%,52.8%,27.0%,20.2%,13.9%,806,1163,1969,sa3018614
Santiago Gomez,NYY,AA,22,10,.500,0.33,33.3%,16.7%,50.0%,33.3%,0.0%,50.0%,33.3%,16.7%,16.2%,16,21,37,sa3018616
Marco Vargas,NYM,AA,21,219,.392,1.58,22.2%,47.6%,30.2%,10.5%,7.9%,43.0%,23.4%,33.6%,9.9%,353,545,898,sa3018632
Jean Carlos Sió,SFG,AA,22,252,.260,0.78,24.2%,33.1%,42.7%,28.4%,16.4%,41.3%,23.1%,35.6%,14.2%,314,631,945,sa3018648
Nikau Pouaka-Grego,PHI,AA,21,35,.250,3.00,33.3%,50.0%,16.7%,50.0%,0.0%,30.8%,15.4%,53.8%,14.6%,54,83,137,sa3018959
Roderick Arias,NYY,AA,21,130,.386,1.26,29.7%,39.2%,31.1%,13.0%,17.4%,37.3%,28.0%,34.7%,19.1%,186,317,503,sa3019674
Nick Biddison,PHI,AA,25,31,.154,1.00,16.7%,41.7%,41.7%,40.0%,0.0%,61.5%,0.0%,38.5%,14.0%,40,81,121,sa3019888
E.J. Exposito,DET,AA,25,457,.271,0.67,22.2%,31.2%,46.6%,18.5%,17.7%,46.3%,28.4%,25.3%,13.6%,689,1149,1838,sa3019900
Caleb Ricketts,PHI,AA,26,205,.288,1.58,17.7%,50.4%,31.9%,20.0%,24.4%,49.3%,22.2%,28.5%,12.9%,259,525,784,sa3019917
Cade Fergus,PHI,AA,25,72,.212,1.15,15.2%,45.5%,39.4%,46.2%,0.0%,48.5%,18.2%,33.3%,23.8%,90,187,277,sa3019919
Adam Retzbach,BAL,AA,25,255,.276,1.44,19.4%,47.6%,33.1%,17.1%,9.8%,44.2%,29.5%,26.4%,17.4%,382,636,1018,sa3019946
Skyler Messinger,COL,AA,27,103,.271,1.25,19.6%,44.6%,35.7%,25.0%,0.0%,38.7%,35.5%,25.8%,14.7%,139,242,381,sa3019963
Zach Morgan,SFG,AA,26,35,.444,0.57,42.1%,21.1%,36.8%,14.3%,14.3%,55.0%,30.0%,15.0%,10.2%,63,84,147,sa3019968
Silas Ardoin,BAL,AA,25,13,.333,3.00,0.0%,100.0%,0.0%,0.0%,0.0%,66.7%,33.3%,0.0%,15.4%,30,35,65,sa3019976
Andrew Jenkins,DET,AA,25,428,.360,1.41,28.4%,41.9%,29.8%,16.3%,11.6%,40.1%,19.5%,40.4%,11.3%,585,1057,1642,sa3019979
Peyton Graham,DET,AA,25,486,.367,1.19,26.5%,39.9%,33.6%,19.0%,9.0%,42.6%,23.5%,33.9%,9.6%,837,1235,2072,sa3019990
