Player Name,Team,League Name,Source League ID,Age,AB,PA,Estimated BIP,Estimated FB,wRC+,LD% Weighted+,HR/FB% Weighted+,BB/K Weighted+,FB Quality+ K=100,LD + HR/FB Weighted+,LD + HR/FB + BB/K Weighted+
Nicolas Ortiz,COL,Dominican Summer League,30,18,44,56,24.0,7.636363632,69.87672388284719,99.62762292979824,92.90540540917183,88.81792994460346,92.90540540917183,96.26651416948503,93.78365276119116
Omar Mejia,KCR,Dominican Summer League,30,18,138,163,99.0,41.074468083,68.18000960128347,98.78333013168125,113.87432002345948,79.69549618450469,124.33192094580022,106.32882507757037,97.45104877988182
Osmar Torrealba,CLE,Dominican Summer League,30,18,58,73,54.0,21.374999982,71.17338873711623,104.34062157771685,82.38928940459738,125.63968430825585,82.38928940459738,93.3649554911571,104.12319843019002
Pablo Nunez,CIN,Dominican Summer League,30,18,104,157,98.0,37.935483852,168.75767368991535,96.43792065075789,87.16164875864357,330.7943740609512,82.59489591236063,91.79978470470073,171.46464782345092
Pascual Archila,TOR,Dominican Summer League,30,18,171,232,119.0,62.132743266999995,122.06148294412958,84.57031708426466,86.61304979339742,107.89964973439187,83.32343818694923,85.59168343883104,93.02767220401797
Phillando Williams,PIT,Dominican Summer League,30,18,100,127,76.0,31.232876704,84.76424206505958,91.91731683585337,76.20041754137054,89.05570886164135,76.20041754137054,84.05886718861196,85.72448107962175
Queni Pineda,NYY,Dominican Summer League,30,18,63,85,50.0,20.5128205,128.59183118026277,98.93955556577004,103.39878804461718,121.39894169499584,98.60174264883115,101.1691718051936,107.91242843512767
Rafael Flores,TOR,Dominican Summer League,30,18,129,175,102.0,47.673913008,128.13840422187673,87.99336229247743,96.53872751106742,102.5578873086047,91.42176047519163,92.26604490177243,95.69665903738318
Rafi Montesino,BOS,Dominican Summer League,30,18,37,43,28.0,11.666666648,8.83013756670883,83.04157285290259,89.55223882094008,95.9248661194633,89.55223882094008,86.29690583692133,89.506225931102
Rafy Peguero,LAD,Dominican Summer League,30,18,116,138,77.0,30.175675607,98.9083417784344,113.5771679277971,138.19181031935852,87.8287950362368,161.92523048767566,125.88448912357782,113.19925776113081
Raily Liriano,ARI,Dominican Summer League,30,18,187,215,131.0,56.297520645999995,95.33174762072052,103.96519236093673,117.16427093310287,73.20967114613742,116.87741413804193,110.5647316470198,98.11304481339234
Ramy Peralta,ARI,Dominican Summer League,30,18,80,105,51.0,23.282608689,,89.98876981839192,115.63879020960451,99.34159946158783,150.45105973770913,102.81378001399821,101.6563864965281
Randy Martinez,CLE,Dominican Summer League,30,18,127,177,88.0,33.679012312,133.9845072210845,106.18398719906466,90.40587108373938,116.25424058498297,88.01995494561191,98.29492914140202,104.28136628926234
Randy Soto,TOR,Dominican Summer League,30,18,168,213,136.0,49.454545368000005,79.80832949766496,101.46030246717712,66.90997570784567,119.31843181098137,66.90997570784567,84.1851390875114,95.89623666200139
Renyel Campos,TOR,Dominican Summer League,30,18,76,100,50.0,22.91666665,,104.12626989486664,97.6227631977188,93.57652016750245,95.0459336944436,100.87451654629271,98.44185108669596
Reyli Mariano,LAD,Dominican Summer League,30,18,131,165,101.0,33.308510634,160.1422608454549,101.65462277998253,136.8982822134571,117.62937076500452,136.16994234925974,119.27645249671981,118.72742525281471
Ricardo Crespo,SFG,Dominican Summer League,30,18,76,102,63.0,14.225806413,111.56192162567426,94.97660002043965,87.54589102083943,113.21762845029895,87.54589102083943,91.26124552063953,98.580039830526
Robert Lantigua,ARI,Dominican Summer League,30,18,58,71,46.0,20.05128201,47.01623448445496,98.9976621101114,83.29773603889564,103.92326075180463,83.29773603889564,91.14769907450352,95.40621963360388
Robin Ortiz,CHC,Dominican Summer League,30,18,134,164,96.0,45.362637312,87.61715761391325,111.99076382995027,124.51486593767979,94.71522693330107,99.34599009948052,118.25281488381503,110.40695223364371
Robinson Chacon,KCR,Dominican Summer League,30,18,108,140,81.0,31.319999946,92.42569780673936,84.21627487863937,76.14986296156026,108.9187007394876,76.14986296156026,80.18306892009981,89.76161285989575
Rodrigo Garcia,WSN,Dominican Summer League,30,18,18,24,10.0,3.0,97.33694670946024,95.8128935213559,97.0873786407767,95.7287596723745,97.0873786407767,96.4501360810663,96.20967727816902
Romer Taveras,CLE,Dominican Summer League,30,18,94,116,59.0,22.125,80.60970742816119,91.48758199698625,81.88331627430911,87.03984564082172,81.88331627430911,86.68544913564767,86.80358130403903
Ronny Gonell,DET,Dominican Summer League,30,18,7,11,2.0,2.0,,98.03921568627452,98.03921568627452,97.9379339504144,100.0,98.03921568627452,98.00545510765448
Roybert Herrera,NYM,Dominican Summer League,30,18,123,143,89.0,34.999999914,121.34709285887328,98.57509288059745,159.38456603536522,87.62813146480889,137.53053476172104,128.97982945798134,115.19593012692387
Samuel Brito,HOU,Dominican Summer League,30,18,57,73,41.0,9.225,105.47326665423935,94.4498047318955,91.55413138017853,99.48733433513733,91.55413138017853,93.00196805603701,95.16375681573713
Samuel Estevez,MIA,Dominican Summer League,30,18,48,60,29.0,21.75,86.47620784747502,94.84289063041697,98.46438706095195,92.741167775294,90.33399961721494,96.65363884568447,95.34948182222098
Samuel Gonzalez,OAK,Dominican Summer League,30,18,170,206,148.0,59.641790952,95.28744649839226,85.96666513369885,75.92015388223716,106.5741126111321,71.78443787430362,80.943409507968,89.4869772090227
Sandy Luciano,KCR,Dominican Summer League,30,18,153,175,136.0,50.330708640000005,70.28992062671816,115.80230242480707,66.52000838995048,111.31146197892139,66.52000838995048,91.16115540737877,97.87792426455964
Santiago Prado,PHI,Dominican Summer League,30,18,117,139,87.0,35.214285648,82.5191807083472,107.25293079083661,73.95668255078277,84.34091502835535,73.95668255078277,90.6048066708097,88.51684278999159
Santiago Ramos,ARI,Dominican Summer League,30,18,9,14,6.0,1.999999998,87.06586646141668,99.42847438859883,98.03921568819685,103.94880079572503,100.0,98.73384503839785,100.47216362417358
Santiago Ustariz,CLE,Dominican Summer League,30,18,88,108,62.0,24.169491496000003,97.51368812276615,100.21796087736088,96.77970712220436,93.3041811181418,94.82781841204579,98.49883399978262,96.76728303923568
Sebastian Rojas,OAK,Dominican Summer League,30,18,105,141,73.0,30.681159415,105.84780030282909,94.09004627779943,107.60174849269337,93.66193488151141,93.7615036853736,100.8458973852464,98.45124321733475
Seong-Jun Kim,TEX,Dominican Summer League,30,18,12,13,9.0,1.125,,97.3105098464935,98.8875154511743,97.69577154552552,98.8875154511743,98.0990126488339,97.96459894773112
Shendrion Martinus,CIN,Dominican Summer League,30,18,83,102,61.0,24.851851827,82.5075006506629,88.60496981588831,80.09492733721261,92.76418709153067,80.09492733721261,84.34994857655046,87.15469474821053
Steven Cruz,CLE,Dominican Summer League,30,18,113,154,92.0,42.790697668,,106.18196955964548,84.4130878701303,132.74647620735686,85.75010126031738,95.29752871488789,107.78051121237756
Steven Madero,DET,Dominican Summer League,30,18,7,10,6.0,1.71428571,193.19909749487687,98.7014955588623,114.49005116966383,100.39745452060765,100.0,106.59577336426307,104.5296670830446
Victor Aguirre,COL,Dominican Summer League,30,18,45,53,32.0,10.0,,92.10358446512572,90.9090909090909,95.48975863481654,90.9090909090909,91.50633768710831,92.83414466967771
Victor Familia,PIT,Dominican Summer League,30,18,85,110,48.0,22.153846128,122.1956823875108,116.9114441560233,81.86397986618785,83.60825446777186,81.86397986618785,99.38771201110558,94.12789282999434
Victor Hurtado,WSN,Dominican Summer League,30,18,140,168,115.0,59.629629570000006,86.32983588411139,78.57007906104342,88.25300399419744,99.80881937528797,75.7064837467213,83.41154152762043,88.87730081017628
Vinicius Dos Santos,SFG,Dominican Summer League,30,18,86,102,61.0,19.607142831,67.12329591547156,94.95792351802375,83.6070468979398,87.53735044064479,83.6070468979398,89.28248520798178,88.70077361886945
