Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
Trevor Williams,WSN,AAA,34,7.0,9.00,1.29,7.00,5.14,21.9%,3.1%,18.8%,.300,1.43,.263,92.6%,7.71,9.83,-2.12,5.02,16977
Joey Gerber,NYM,AAA,29,25.2,9.12,3.51,2.60,1.05,21.8%,8.4%,13.4%,.287,1.60,.354,47.6%,8.06,4.32,3.74,5.02,24591
Zac Leigh,CHC,AAA,28,34.2,11.16,5.97,1.87,1.04,26.7%,14.3%,12.4%,.254,1.67,.341,59.2%,6.49,4.56,1.94,5.01,sa3017873
Tyler Davis,CHW,AAA,27,13.2,8.56,5.27,1.63,1.32,23.2%,14.3%,8.9%,.146,1.10,.152,65.6%,4.61,5.30,-0.69,5.01,34847
Cody Laweryson,MIN,AAA,28,9.0,8.00,3.00,2.67,2.00,20.0%,7.5%,12.5%,.243,1.33,.259,43.5%,7.00,5.66,1.34,5.01,26429
Jack Wenninger,NYM,AAA,24,82.2,8.60,5.01,1.72,1.20,21.9%,12.7%,9.1%,.223,1.39,.265,76.7%,3.59,5.25,-1.66,5.01,sa3023282
John Klein,MIN,AAA,24,60.1,10.44,4.62,2.26,2.09,25.9%,11.5%,14.4%,.251,1.49,.298,71.2%,5.97,5.98,-0.02,5.00,32155
Mason Olson,TOR,AAA,24,3.2,9.82,2.45,4.00,2.45,25.0%,6.3%,18.8%,.286,1.36,.333,87.0%,4.91,6.55,-1.64,5.00,sa3068903
Chase Lee,TOR,AAA,27,41.0,8.12,3.73,2.18,0.66,21.9%,10.1%,11.8%,.215,1.20,.266,75.3%,2.41,4.16,-1.74,4.99,29574
Jack Anderson,BOS,AAA,26,58.0,7.91,3.26,2.43,1.55,20.5%,8.4%,12.0%,.259,1.38,.293,74.2%,4.81,5.11,-0.30,4.99,30086
Jake Higginbotham,MIN,AAA,30,12.0,11.25,4.50,2.50,4.50,24.6%,9.8%,14.8%,.364,2.17,.412,68.2%,10.50,9.05,1.45,4.99,sa3007590
Seth Martinez,BOS,AAA,31,54.2,7.57,2.47,3.07,2.14,20.3%,6.6%,13.7%,.231,1.15,.235,63.5%,5.60,6.00,-0.40,4.98,21045
Anderson Pilar,ATL,AAA,28,39.0,8.31,3.00,2.77,1.62,22.4%,8.1%,14.3%,.208,1.10,.228,80.6%,3.69,5.34,-1.65,4.98,sa917899
Hunter Barco,PIT,AAA,25,44.1,9.95,4.67,2.13,0.81,23.8%,11.2%,12.6%,.267,1.58,.350,67.2%,4.87,4.54,0.33,4.98,33174
Javier Assad,CHC,AAA,28,16.0,7.88,5.06,1.56,1.13,17.7%,11.4%,6.3%,.343,2.06,.407,62.9%,7.31,5.11,2.20,4.97,21741
Raymond Burgos,BOS,AAA,27,55.0,7.69,3.93,1.96,1.15,18.4%,9.4%,9.0%,.309,1.73,.364,62.6%,6.22,4.85,1.36,4.97,22370
Hunter Greene,CIN,AAA,26,10.1,6.10,0.87,7.00,0.00,20.0%,2.9%,17.1%,.088,0.39,.111,100.0%,0.00,2.48,-2.48,4.96,22182
Frankie Scalzo Jr.,CHC,AAA,26,2.0,4.50,4.50,1.00,0.00,8.3%,8.3%,0.0%,.455,3.00,.500,50.0%,13.50,4.05,9.45,4.96,sa3017724
Jesse Hahn,TOR,AAA,36,21.2,9.55,7.06,1.35,1.66,21.7%,16.0%,5.7%,.303,2.03,.371,65.1%,6.65,6.18,0.47,4.96,13287
Ofreidy Gómez,NYM,AAA,30,28.1,11.75,7.62,1.54,0.32,26.8%,17.4%,9.4%,.252,1.84,.370,63.4%,5.40,4.25,1.15,4.96,sa737451
Doug Nikhazy,CHW,AAA,26,10.1,8.71,3.48,2.50,1.74,19.6%,7.8%,11.8%,.400,2.13,.485,66.0%,8.71,5.87,2.84,4.95,30142
Bradley Blalock,MIA,AAA,25,83.1,8.32,4.21,1.97,1.94,20.8%,10.5%,10.3%,.271,1.54,.305,66.2%,6.26,6.02,0.25,4.95,26419
Zac Thornton,NYM,AAA,24,37.2,9.08,4.30,2.11,1.67,23.2%,11.0%,12.2%,.234,1.38,.270,71.8%,4.30,5.46,-1.16,4.94,33891
Hunter Dobbins,STL,AAA,26,62.2,6.75,3.16,2.14,1.01,17.1%,8.0%,9.1%,.265,1.40,.303,66.9%,4.16,4.74,-0.58,4.93,30240
Keider Montero,DET,AAA,25,4.0,6.75,2.25,3.00,0.00,21.4%,7.1%,14.3%,.083,0.50,.111,100.0%,0.00,3.55,-3.55,4.92,22630
