Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Ubert Mejias,SFG,A+,25,20.1,.444,1.00,27.5%,36.2%,36.2%,28.0%,24.0%,43.5%,30.4%,26.1%,17.1%,108,242,350,sa3021562
Adonys Perez,ARI,A+,22,23.1,.250,2.46,27.4%,51.6%,21.0%,15.4%,15.4%,45.2%,21.0%,33.9%,12.9%,122,218,340,sa3020114
Stu Flesland III,COL,A+,25,17.1,.304,0.74,13.0%,37.0%,50.0%,26.1%,4.3%,34.0%,31.9%,34.0%,9.0%,113,211,324,sa3023000
Rocco Reid,ARI,A+,23,18.1,.275,4.00,12.5%,70.0%,17.5%,14.3%,14.3%,34.1%,22.0%,43.9%,15.6%,139,175,314,sa3025546
Zane Russell,ARI,A+,26,16.1,.306,1.22,24.5%,41.5%,34.0%,11.1%,27.8%,52.7%,23.6%,23.6%,11.1%,116,189,305,sa3022907
Dylan Watts,TOR,A+,21,16.0,.267,1.44,18.8%,47.9%,33.3%,0.0%,25.0%,41.7%,25.0%,33.3%,9.5%,137,167,304,sa3044877
Eminen Flores,TOR,A+,23,16.2,.239,3.75,17.4%,65.2%,17.4%,25.0%,12.5%,69.6%,8.7%,21.7%,15.0%,130,163,293,sa3019632
Matt Dunaway,SFG,A+,27,16.1,.267,2.00,25.0%,50.0%,25.0%,16.7%,33.3%,49.0%,18.4%,32.7%,12.1%,93,188,281,sa3068824
Tayler Montiel,ARI,A+,23,17.0,.281,1.67,11.1%,55.6%,33.3%,8.3%,41.7%,44.4%,38.9%,16.7%,15.5%,92,185,277,sa3038267
Luke Dotson,ARI,A+,22,17.0,.273,1.25,20.0%,44.4%,35.6%,18.8%,12.5%,48.9%,19.1%,31.9%,12.0%,103,173,276,sa3030498
Dawson Brown,ARI,A+,25,15.2,.366,2.33,25.0%,52.5%,22.5%,22.2%,0.0%,36.6%,26.8%,36.6%,9.5%,100,162,262,sa3027812
Kelena Sauer,TOR,A+,23,17.1,.381,1.00,23.8%,38.1%,38.1%,31.3%,6.3%,34.9%,27.9%,37.2%,18.1%,76,183,259,sa3022665
