Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
Jose Montero,CIN,A+,22,3,2,3.13,10,8,0,0,0,0,0,46.0,184,33,17,16,5,22,0,0,1,0,41,sa3018312
Yorman Galindez,MIL,A+,23,0,3,7.32,8,4,0,0,1,1,1,19.2,93,22,18,16,2,13,0,3,2,1,23,sa3018322
Alfredo Romero,CHC,A+,23,4,3,4.97,24,14,0,0,4,1,0,87.0,379,68,51,48,7,56,0,3,8,8,78,sa3018345
Kendeglys Virguez,CLE,A+,22,3,1,4.56,23,0,0,0,2,1,2,25.2,115,26,13,13,1,14,0,1,6,1,39,sa3018351
Luis Ramirez,MIA,A+,24,1,0,6.97,7,0,0,0,0,0,0,10.1,54,8,10,8,2,15,0,2,0,1,18,sa3018353
Luis Cesar,MIA,A+,22,0,0,7.71,2,0,0,0,0,0,0,2.1,14,2,2,2,0,5,0,0,3,0,5,sa3018368
Juan Baez,MIL,A+,21,0,0,9.00,1,0,0,0,0,0,0,1.0,5,1,1,1,0,2,0,0,0,0,0,sa3018525
Accimias Morales,LAD,A+,21,0,2,9.00,7,0,0,0,0,0,2,8.0,50,7,8,8,1,18,0,1,4,0,10,sa3018809
Luis Flores,CLE,A+,22,2,2,9.16,35,0,0,0,3,1,4,38.1,203,38,42,39,4,48,0,4,12,3,38,sa3018818
Christian Zazueta,LAD,A+,21,2,2,3.88,11,10,0,0,0,0,0,48.2,190,35,21,21,5,12,0,3,0,2,66,sa3018867
Joseilyn Gonzalez,LAD,A+,24,1,1,5.80,28,0,0,0,0,2,1,35.2,169,36,31,23,4,26,1,2,7,1,41,sa3018910
Nestor Rios,MIA,A+,21,0,0,5.40,3,0,0,0,0,0,0,1.2,7,2,1,1,1,0,0,0,0,0,2,sa3018918
Jeffrey Mercedes,CLE,A+,21,0,0,7.71,1,0,0,0,0,0,0,2.1,14,4,2,2,1,3,0,0,0,0,1,sa3018942
Kevin Valdez,CHC,A+,24,4,0,3.86,16,10,0,0,0,1,0,58.1,251,59,29,25,7,23,0,3,5,0,62,sa3019052
Emmanuel Reyes,KCR,A+,22,6,5,4.82,24,23,0,0,1,0,0,112.0,482,109,65,60,16,48,0,6,2,1,100,sa3019071
David Lorduy,CIN,A+,22,2,2,6.02,17,7,0,0,1,0,1,61.1,267,58,42,41,13,32,0,1,2,0,63,sa3019135
Melkis Hernández,CLE,A+,21,6,5,4.54,30,6,0,0,0,4,2,83.1,412,90,53,42,4,76,1,1,15,1,103,sa3019148
Nelfy Ynfante,STL,A+,21,2,1,3.77,9,0,0,0,2,1,1,14.1,62,14,7,6,1,6,0,0,0,0,18,sa3019149
Franklin Gómez,CLE,A+,20,3,1,3.10,12,12,0,0,0,0,0,58.0,239,54,23,20,5,18,0,0,1,0,66,sa3019153
Jose Meneses,MIL,A+,21,1,0,2.89,14,1,0,0,2,0,2,18.2,77,8,7,6,0,13,0,2,0,1,22,sa3019158
Wande Torres,MIL,A+,21,9,5,4.15,24,18,0,0,0,1,1,115.0,500,105,56,53,10,51,0,15,5,4,126,sa3019165
Yimi Presinal,KCR,A+,21,3,3,4.67,43,0,0,0,4,5,0,52.0,227,35,30,27,6,35,1,4,5,0,65,sa3019169
Juan De La Cruz,MIA,A+,21,4,4,10.17,19,0,0,0,0,1,1,25.2,126,25,29,29,3,26,0,2,5,0,31,sa3019171
Eliazar Dishmey,MIA,A+,21,3,1,2.14,7,7,0,0,0,0,0,33.2,136,15,11,8,2,18,0,2,2,0,48,sa3019181
