Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Jack Flaherty,DET,AAA,30,1.1,.333,1.00,66.7%,33.3%,0.0%,0.0%,0.0%,66.7%,0.0%,33.3%,10.5%,6,13,19,17479
Daniel Duarte,NYM,AAA,29,30.1,.305,1.42,25.9%,43.5%,30.6%,23.1%,15.4%,50.6%,25.9%,23.5%,8.5%,209,330,539,17480
Génesis Cabrera,KCR,AAA,29,36.1,.362,1.19,26.2%,40.2%,33.6%,27.8%,13.9%,44.5%,28.2%,27.3%,12.3%,289,421,710,17490
Tanner Rainey,DET,AAA,33,44.0,.316,1.31,30.2%,39.6%,30.2%,24.1%,3.4%,39.8%,29.6%,30.6%,15.5%,322,490,812,17610
Justin Lawrence,WSN,AAA,31,16.2,.257,1.90,17.1%,54.3%,28.6%,50.0%,10.0%,47.2%,11.1%,41.7%,11.4%,130,177,307,17639
Jose Cuas,KCR,AAA,32,40.0,.290,1.05,22.2%,39.8%,38.0%,34.1%,4.9%,40.4%,21.1%,38.5%,12.4%,260,424,684,17701
Drew Smith,MIN,AAA,32,24.2,.333,0.58,25.0%,27.6%,47.4%,25.0%,2.8%,41.0%,30.8%,28.2%,12.0%,134,259,393,17755
Adbert Alzolay,NYM,AAA,31,8.2,.357,0.62,32.3%,25.8%,41.9%,7.7%,23.1%,61.3%,22.6%,16.1%,7.5%,62,97,159,17859
Garrett Cleavinger,TBR,AAA,32,4.1,.222,0.80,10.0%,40.0%,50.0%,20.0%,20.0%,30.0%,50.0%,20.0%,11.8%,43,50,93,17897
Trent Thornton,CHC,AAA,32,5.2,.200,0.63,23.5%,29.4%,47.1%,12.5%,25.0%,29.4%,29.4%,41.2%,13.0%,32,60,92,17948
Tyler Gilbert,CHW,AAA,32,33.0,.259,1.79,22.1%,50.0%,27.9%,37.5%,25.0%,55.2%,17.2%,27.6%,10.3%,179,324,503,17964
Scott Kingery,CHC,AAA,32,0.1,.000,1.00,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,1,1,2,17975
Sam Haggerty,CIN,AAA,32,3.1,.167,2.00,25.0%,50.0%,25.0%,66.7%,0.0%,33.3%,25.0%,41.7%,0.0%,5,14,19,18054
Phil Maton,CHC,AAA,33,2.2,.400,1.00,20.0%,40.0%,40.0%,50.0%,0.0%,0.0%,20.0%,80.0%,17.5%,8,32,40,18064
Ryan Helsley,BAL,AAA,31,2.0,.500,2.00,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,28.6%,7,21,28,18138
Anthony Misiewicz,CIN,AAA,31,42.1,.285,1.51,21.0%,47.6%,31.5%,12.8%,10.3%,49.6%,24.8%,25.6%,12.0%,250,423,673,18152
Carson Fulmer,PIT,AAA,32,34.0,.330,1.27,22.9%,43.1%,33.9%,18.9%,16.2%,58.6%,22.5%,18.9%,9.8%,201,351,552,18311
Jacob Waguespack,MIL,AAA,32,21.2,.238,0.94,19.5%,39.0%,41.5%,17.6%,5.9%,41.9%,30.2%,27.9%,18.6%,156,242,398,18318
Alex Young,WSN,AAA,32,8.0,.269,1.75,21.4%,50.0%,28.6%,12.5%,25.0%,50.0%,28.6%,21.4%,11.4%,59,90,149,18333
Julian Fernández,WSN,AAA,30,11.0,.185,0.92,17.9%,39.3%,42.9%,25.0%,8.3%,42.9%,25.0%,32.1%,11.9%,59,100,159,18341
Brandon Waddell,NYM,AAA,32,11.1,.351,1.67,17.9%,51.3%,30.8%,8.3%,25.0%,70.7%,14.6%,14.6%,9.1%,64,123,187,18347
Scott Effross,DET,AAA,32,36.1,.331,1.28,25.2%,42.0%,32.8%,20.5%,15.4%,36.9%,26.2%,36.9%,7.2%,216,407,623,18384
José Urquidy,CHW,AAA,31,95.2,.261,1.06,19.6%,41.3%,39.1%,23.1%,10.2%,51.1%,23.2%,25.7%,11.1%,426,964,1390,18413
Danny Young,ATL,AAA,32,5.0,.273,9.00,18.2%,81.8%,0.0%,0.0%,0.0%,45.5%,27.3%,27.3%,11.4%,37,42,79,18439
Junior Fernández,MIL,AAA,29,31.0,.303,4.36,18.5%,66.3%,15.2%,7.1%,21.4%,44.0%,28.6%,27.5%,12.3%,210,319,529,18496
Dylan Cease,TOR,AAA,30,4.0,.400,0.33,33.3%,16.7%,50.0%,16.7%,33.3%,58.3%,16.7%,25.0%,18.7%,25,50,75,18525
Enmanuel De Jesus,DET,AAA,29,18.1,.375,1.59,21.4%,48.2%,30.4%,23.5%,23.5%,46.7%,23.3%,30.0%,10.0%,110,219,329,18554
Hobie Harris,BOS,AAA,33,20.1,.294,1.40,29.4%,41.2%,29.4%,6.7%,6.7%,46.2%,30.8%,23.1%,14.1%,134,213,347,18615
A.J. Minter,NYM,AAA,32,7.2,.208,0.73,17.4%,34.8%,47.8%,9.1%,0.0%,41.7%,33.3%,25.0%,12.5%,43,69,112,18655
Jake Woodford,TBR,AAA,29,30.0,.344,1.57,19.8%,49.0%,31.3%,16.7%,13.3%,42.3%,23.7%,34.0%,9.9%,158,296,454,18674
Kolby Allard,CLE,AAA,28,66.2,.332,1.17,20.1%,43.1%,36.8%,22.1%,10.4%,39.9%,26.3%,33.8%,8.9%,351,702,1053,18694
Pedro Avila,CLE,AAA,29,60.0,.331,1.41,25.7%,43.5%,30.9%,20.3%,23.7%,44.0%,29.0%,26.9%,10.9%,453,620,1073,18864
Beau Burrows,PIT,AAA,29,61.0,.214,0.72,20.4%,33.3%,46.3%,18.7%,12.0%,40.5%,27.0%,32.5%,12.0%,388,597,985,18873
Kyle Keller,BOS,AAA,33,31.1,.311,1.00,29.9%,35.1%,35.1%,25.9%,14.8%,36.7%,26.6%,36.7%,14.2%,228,348,576,18890
Matt Moore,KCR,AAA,37,13.1,.368,1.50,35.9%,38.5%,25.6%,10.0%,20.0%,55.0%,22.5%,22.5%,11.7%,99,157,256,1890
Tommy Nance,TOR,AAA,35,1.0,.750,4.00,0.0%,100.0%,0.0%,0.0%,0.0%,75.0%,0.0%,25.0%,9.1%,8,14,22,19178
Kirby Snead,PHI,AAA,31,41.2,.313,1.89,29.6%,46.1%,24.3%,10.7%,10.7%,50.0%,27.1%,22.9%,10.5%,254,410,664,19179
Jesse Scholtens,TBR,AAA,32,36.2,.271,1.05,22.1%,39.8%,38.1%,20.9%,16.3%,46.5%,22.8%,30.7%,10.5%,187,387,574,19205
Ian Hamilton,ATL,AAA,31,37.2,.269,1.24,29.3%,39.1%,31.5%,24.1%,6.9%,40.0%,31.6%,28.4%,15.0%,220,366,586,19261
Garrett Hampson,CIN,AAA,31,1.0,.250,0.50,25.0%,25.0%,50.0%,0.0%,0.0%,25.0%,50.0%,25.0%,0.0%,4,8,12,19262
Trevor Richards,PHI,AAA,33,14.0,.111,0.13,19.0%,9.5%,71.4%,26.7%,20.0%,19.0%,47.6%,33.3%,14.0%,77,138,215,19309
Matt Krook,WSN,AAA,31,15.2,.250,3.29,14.3%,65.7%,20.0%,42.9%,0.0%,58.3%,13.9%,27.8%,12.8%,109,141,250,19315
Jose Rojas,NYM,AAA,33,2.0,.500,3.00,20.0%,60.0%,20.0%,0.0%,0.0%,40.0%,30.0%,30.0%,0.0%,5,15,20,19331
Richard Lovelady,WSN,AAA,30,2.0,.000,2.00,0.0%,66.7%,33.3%,0.0%,0.0%,66.7%,33.3%,0.0%,16.7%,9,15,24,19337
Caleb Ferguson,CIN,AAA,29,5.2,.478,2.00,25.0%,50.0%,25.0%,16.7%,16.7%,37.5%,33.3%,29.2%,8.0%,44,81,125,19349
Dean Kremer,BAL,AAA,30,19.2,.256,1.29,25.6%,41.9%,32.6%,7.1%,7.1%,37.8%,31.1%,31.1%,14.7%,101,184,285,19350
Lucas Erceg,KCR,AAA,31,8.0,.455,3.00,27.3%,54.5%,18.2%,25.0%,0.0%,50.0%,27.3%,22.7%,12.0%,49,93,142,19360
Keegan Akin,BAL,AAA,31,4.0,.222,0.50,40.0%,20.0%,40.0%,25.0%,25.0%,40.0%,20.0%,40.0%,10.1%,29,40,69,19362
Tony Gonsolin,KCR,AAA,32,6.1,.294,1.14,21.1%,42.1%,36.8%,0.0%,28.6%,47.4%,15.8%,36.8%,11.7%,45,58,103,19388
Shane Bieber,TOR,AAA,31,12.2,.375,1.33,34.9%,37.2%,27.9%,16.7%,25.0%,51.2%,32.6%,16.3%,7.5%,67,134,201,19427
Yonny Hernández,NYM,AAA,28,3.2,.273,1.67,33.3%,41.7%,25.0%,66.7%,33.3%,50.0%,25.0%,25.0%,0.0%,16,25,41,19432
Patrick Sandoval,BOS,AAA,29,15.2,.265,1.19,28.6%,38.8%,32.7%,37.5%,6.3%,48.0%,12.0%,40.0%,7.7%,116,168,284,19447
Jorge Alcala,TOR,AAA,30,12.0,.417,1.20,37.1%,34.3%,28.6%,20.0%,10.0%,35.1%,32.4%,32.4%,12.8%,95,148,243,19459
Tyler Ferguson,CHC,AAA,32,19.0,.231,1.17,5.5%,50.9%,43.6%,29.2%,12.5%,43.6%,23.6%,32.7%,11.0%,113,197,310,19481
Alan Rangel,PHI,AAA,28,98.0,.311,0.80,25.4%,33.1%,41.5%,23.5%,16.0%,47.1%,24.9%,28.0%,13.6%,566,1061,1627,19524
Zack Short,WSN,AAA,31,1.2,.333,0.67,37.5%,25.0%,37.5%,0.0%,66.7%,37.5%,50.0%,12.5%,6.3%,13,19,32,19562
Guillo Zuñiga,NYM,AAA,27,6.0,.400,1.00,46.7%,26.7%,26.7%,50.0%,0.0%,53.3%,13.3%,33.3%,10.5%,63,80,143,19588
Brian Keller,PHI,AAA,32,54.2,.304,0.85,22.5%,35.5%,42.0%,22.5%,16.9%,40.6%,30.6%,28.8%,8.9%,326,597,923,19593
Cionel Pérez,NYM,AAA,30,7.0,.286,9.00,33.3%,60.0%,6.7%,0.0%,100.0%,46.7%,13.3%,40.0%,10.7%,47,75,122,19614
Jordan Hicks,CHW,AAA,29,2.2,.500,2.00,40.0%,40.0%,20.0%,0.0%,100.0%,40.0%,20.0%,40.0%,14.0%,22,35,57,19618
Connor Seabold,DET,AAA,30,1.0,.333,1.00,66.7%,33.3%,0.0%,0.0%,0.0%,33.3%,0.0%,66.7%,0.0%,7,6,13,19695
Kodi Whitley,TBR,AAA,31,28.1,.295,0.85,24.7%,34.6%,40.7%,39.4%,12.1%,50.0%,25.6%,24.4%,15.1%,145,300,445,19731
Anthony Bender,MIA,AAA,31,1.0,1.000,1.00,33.3%,33.3%,33.3%,0.0%,0.0%,0.0%,33.3%,66.7%,25.0%,9,15,24,19742
Will Vest,DET,AAA,31,1.0,.000,1.00,0.0%,50.0%,50.0%,100.0%,0.0%,0.0%,50.0%,50.0%,11.1%,3,6,9,19769
CD Pelham,PIT,AAA,31,17.1,.175,1.43,15.0%,50.0%,35.0%,21.4%,7.1%,46.3%,17.1%,36.6%,8.3%,145,180,325,19820
Gerson Garabito,MIL,AAA,30,37.2,.288,2.14,22.9%,52.5%,24.6%,20.7%,10.3%,42.4%,24.6%,33.1%,10.6%,232,403,635,19835
Abraham Toro,KCR,AAA,29,5.0,.348,1.50,16.7%,50.0%,33.3%,12.5%,12.5%,58.3%,16.7%,25.0%,0.0%,20,39,59,19844
Charlie Barnes,CHC,AAA,30,26.2,.254,0.92,23.1%,36.9%,40.0%,23.1%,15.4%,34.8%,27.3%,37.9%,10.9%,173,260,433,19865
Tucker Davidson,PHI,AAA,30,91.1,.341,1.28,27.0%,41.0%,32.0%,20.2%,12.4%,41.2%,27.5%,31.3%,9.4%,610,982,1592,19871
Gabe Klobosits,CHC,AAA,31,30.0,.316,1.17,30.7%,37.3%,32.0%,20.8%,8.3%,46.2%,20.5%,33.3%,16.2%,195,304,499,19881
Corbin Martin,CHC,AAA,30,24.0,.323,1.21,23.2%,42.0%,34.8%,20.8%,20.8%,40.0%,25.7%,34.3%,8.3%,200,245,445,19884
Clarke Schmidt,NYY,AAA,30,4.0,.333,1.00,11.1%,44.4%,44.4%,25.0%,0.0%,44.4%,11.1%,44.4%,26.1%,13,33,46,19899
Tony Santillan,CIN,AAA,29,3.0,.000,1.00,0.0%,50.0%,50.0%,50.0%,0.0%,50.0%,25.0%,25.0%,24.4%,15,26,41,19926
Luke Williams,ATL,AAA,29,3.1,.412,0.60,11.1%,33.3%,55.6%,0.0%,10.0%,11.8%,52.9%,35.3%,2.0%,17,34,51,19931
Trevor Stephan,CLE,AAA,30,20.2,.333,0.79,31.7%,30.2%,38.1%,16.7%,16.7%,48.4%,32.8%,18.8%,13.7%,155,238,393,19932
Tyson Miller,CHW,AAA,30,8.1,.304,0.83,15.4%,38.5%,46.2%,8.3%,33.3%,51.9%,37.0%,11.1%,10.7%,70,107,177,19976
Bryse Wilson,PHI,AAA,28,54.1,.373,2.32,25.7%,52.0%,22.4%,23.5%,14.7%,38.5%,20.5%,41.0%,10.4%,336,589,925,19990
Joel Kuhnel,MIL,AAA,31,11.0,.250,7.00,25.0%,65.6%,9.4%,0.0%,33.3%,50.0%,25.0%,25.0%,15.4%,51,98,149,19995
Tyler Wells,BAL,AAA,31,1.1,.400,2.00,25.0%,50.0%,25.0%,0.0%,0.0%,60.0%,0.0%,40.0%,10.5%,3,16,19,20000
Darren McCaughan,CIN,AAA,30,55.1,.347,0.79,25.8%,32.8%,41.4%,23.4%,22.1%,48.9%,23.9%,27.1%,9.0%,369,630,999,20038
Sean Guenther,DET,AAA,30,16.2,.438,2.17,20.8%,54.2%,25.0%,33.3%,16.7%,46.0%,16.0%,38.0%,13.8%,75,165,240,20045
Bailey Falter,KCR,AAA,29,53.2,.331,1.06,23.4%,39.3%,37.2%,29.6%,3.7%,44.6%,14.9%,40.5%,11.4%,332,578,910,20070
James Karinchak,ATL,AAA,30,38.0,.274,0.59,31.1%,25.7%,43.2%,9.4%,9.4%,44.7%,32.9%,22.4%,14.0%,228,402,630,20151
Zach Pop,PHI,AAA,29,28.2,.287,2.29,21.6%,54.5%,23.9%,19.0%,14.3%,42.2%,22.2%,35.6%,7.7%,192,312,504,20185
Garrett Whitlock,BOS,AAA,30,1.0,.500,1.00,50.0%,50.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%,14.3%,11,10,21,20191
