Player,Fantasy Roster,Team,League,Level,Highest League,Age,Draft Class,G,FP/G,AB/G,Age+,FG/G+,Approach+,Speed+,LD%+,HR/FB+,wRC+,5 Tool+,Hitter+,Est FB,AB,H,HR,R,RBI,SB,CS,BA,OBP,SLP,OPS,BABIP,BB%,K%,LD%,GB%,FB%,IFFB%,HR/FB%
Cody Freeman,Available,TEX,Arizona Complex League,CPX,No,25.0,,7.0,5.8,3.0,78.4,83.2,315.9,42.6,110.3,0.0,60.0,97.3,118.6,8.9,21.0,5.0,0.0,5.0,3.0,0.0,0.0,0.238,0.32,0.333,0.653,0.25,0.12,0.08,0.222,0.333,0.444,0.25,0.0
Adriel Radney,Available,ARI,California League,A,Yes,19.0,,31.0,3.5,3.2,110.6,46.0,96.1,33.6,113.6,0.0,58.0,97.3,97.5,17.3,99.0,21.0,0.0,11.0,8.0,0.0,1.0,0.212,0.328,0.222,0.55,0.296,0.12,0.239,0.257,0.5,0.243,0.118,0.0
Jhoendris Santos,Available,PIT,Dominican Summer League,R,Yes,16.0,,49.0,7.2,3.2,110.2,96.6,29.4,139.4,80.7,48.6,48.0,97.3,83.0,50.9,159.0,34.0,2.0,32.0,21.0,24.0,4.0,0.214,0.287,0.314,0.601,0.291,0.079,0.275,0.148,0.389,0.463,0.32,0.04
Kenni Gomez,Available,HOU,Texas League,AA,Yes,21.0,,23.0,3.2,2.8,113.6,44.3,9.2,129.2,98.1,0.0,45.0,97.3,82.0,9.2,65.0,14.0,0.0,9.0,7.0,1.0,1.0,0.215,0.25,0.308,0.558,0.326,0.015,0.324,0.238,0.548,0.214,0.111,0.0
Heston Kjerstad,Available,BAL,Eastern League,AA,No,27.0,,2.0,0.8,3.0,87.1,12.0,100.0,1.9,144.7,100.0,-23.0,97.3,118.3,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.167,0.333,0.167,0.0,0.0,0.333,0.667,0.0,0.0,0.0
Alejandro Urias,Not in Fantrax,NYM,Florida Complex League,CPX,No,24.0,,1.0,4.5,2.0,80.7,65.0,100.0,1.6,229.7,100.0,222.0,97.2,122.6,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.667,0.5,1.167,0.5,0.333,0.0,0.5,0.5,0.0,0.0,0.0
Grae Kessinger,Available,PIT,Florida Complex League,CPX,No,28.0,,4.0,13.0,2.2,69.2,187.7,147.5,84.3,76.7,371.4,179.0,97.2,119.1,1.7,9.0,2.0,1.0,5.0,5.0,1.0,1.0,0.222,0.5,0.667,1.167,0.2,0.357,0.214,0.167,0.5,0.333,0.0,0.5
Mookie Betts,Cant Park Here (ACTIVE),LAD,Pacific Coast League,AAA,Yes,33.0,,2.0,3.5,2.5,81.2,45.9,61.7,31.0,266.3,100.0,152.0,97.2,118.2,1.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.4,0.5,0.4,0.9,0.667,0.167,0.333,0.667,0.0,0.333,0.0,0.0
Dean West,Available,TOR,Florida State League,A,Yes,21.0,,19.0,5.9,2.2,99.7,85.1,603.3,67.2,57.2,0.0,143.0,97.2,100.2,11.0,41.0,10.0,0.0,8.0,6.0,3.0,2.0,0.244,0.492,0.317,0.809,0.27,0.27,0.079,0.135,0.568,0.297,0.273,0.0
Kenny Piper,Available,TB,Southern League,AA,No,27.0,,66.0,8.3,3.6,87.7,120.0,86.3,107.0,107.7,91.8,129.0,97.2,103.1,73.7,235.0,62.0,11.0,38.0,42.0,11.0,2.0,0.264,0.366,0.506,0.872,0.333,0.119,0.264,0.25,0.268,0.482,0.278,0.139
Luis Durango,Available,NYY,South Atlantic League,A+,No,23.0,,32.0,7.7,3.0,95.5,103.6,129.4,159.5,81.6,0.0,125.0,97.2,90.2,11.4,95.0,33.0,0.0,16.0,6.0,18.0,3.0,0.347,0.398,0.442,0.84,0.402,0.065,0.121,0.19,0.671,0.139,0.364,0.0
Cannon Peebles,Available,CLE,Carolina League,A,No,22.0,,63.0,7.5,3.4,92.2,109.2,111.7,96.3,94.3,91.4,118.0,97.2,101.3,61.7,215.0,46.0,7.0,40.0,35.0,9.0,7.0,0.214,0.383,0.395,0.779,0.281,0.201,0.252,0.222,0.333,0.444,0.234,0.109
Carlos Cauro,Available,HOU,Carolina League,A,Yes,21.0,,68.0,6.1,3.2,96.6,88.0,94.9,48.1,102.8,119.9,112.0,97.2,105.0,47.1,220.0,56.0,7.0,33.0,32.0,4.0,4.0,0.255,0.374,0.386,0.76,0.316,0.137,0.232,0.242,0.453,0.304,0.286,0.143
Ryder Helfrick,Available,ARI,California League,A,Yes,21.0,,24.0,8.6,3.9,100.0,112.0,83.1,83.9,84.5,123.3,104.0,97.2,97.6,28.7,94.0,23.0,5.0,20.0,17.0,0.0,0.0,0.245,0.327,0.521,0.849,0.286,0.118,0.264,0.191,0.353,0.456,0.29,0.161
Adonys Guzman,Available,BOS,South Atlantic League,A+,Yes,22.0,,22.0,5.6,3.4,99.9,75.1,106.8,19.5,107.3,106.2,94.0,97.2,106.7,17.3,74.0,17.0,3.0,10.0,9.0,0.0,0.0,0.23,0.356,0.378,0.734,0.28,0.144,0.244,0.25,0.404,0.346,0.333,0.167
Roberth Castillo,Not in Fantrax,STL,Dominican Summer League,R,Yes,17.0,,40.0,8.8,3.6,103.7,117.2,59.1,96.5,98.7,54.7,92.0,97.2,93.3,44.4,143.0,38.0,2.0,26.0,38.0,3.0,2.0,0.266,0.369,0.413,0.782,0.34,0.119,0.214,0.181,0.4,0.419,0.159,0.045
Julio Zayas,Available,NYM,Florida State League,A,Yes,20.0,,104.0,6.0,3.4,104.7,86.6,85.0,43.6,100.1,89.7,88.0,97.2,100.1,85.0,357.0,85.0,11.0,55.0,57.0,0.0,0.0,0.238,0.34,0.367,0.707,0.305,0.128,0.254,0.236,0.415,0.35,0.302,0.128
Mayki De La Rosa,Available,ARI,Arizona Complex League,CPX,Yes,18.0,,21.0,3.9,2.5,108.9,55.5,58.0,37.7,110.3,63.1,81.0,97.2,98.0,11.0,53.0,11.0,1.0,9.0,7.0,0.0,1.0,0.208,0.364,0.302,0.666,0.37,0.197,0.379,0.222,0.37,0.407,0.273,0.091
Ray Faria,Available,BAL,Dominican Summer League,R,Yes,17.0,,43.0,6.6,3.1,103.7,87.9,66.8,78.2,84.6,125.2,74.0,97.2,96.0,28.4,132.0,28.0,3.0,23.0,24.0,7.0,2.0,0.212,0.344,0.341,0.684,0.263,0.153,0.227,0.155,0.546,0.299,0.207,0.103
Anielson Buten,Available,CIN,Arizona Complex League,CPX,No,20.0,,15.0,7.0,3.6,98.0,101.2,30.7,149.1,113.8,0.0,56.0,97.2,90.0,16.9,54.0,13.0,0.0,9.0,7.0,6.0,2.0,0.241,0.305,0.37,0.675,0.351,0.051,0.288,0.229,0.314,0.457,0.375,0.0
Kenten Egbert,Available,CHC,International League,AAA,Yes,24.0,,3.0,0.0,0.0,109.1,0.0,100.0,2.1,100.0,100.0,-100.0,97.2,102.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,
Franco Willias,Available,SF,Dominican Summer League,R,Yes,21.0,,50.0,14.5,3.6,83.9,194.2,104.9,147.1,88.9,103.3,172.0,97.1,99.8,60.6,180.0,73.0,5.0,59.0,40.0,34.0,6.0,0.406,0.507,0.606,1.112,0.45,0.112,0.129,0.163,0.435,0.401,0.186,0.085
Brock Tibbitts,Available,TOR,Florida Complex League,CPX,No,23.0,,10.0,12.0,3.3,84.2,173.3,177.7,90.8,68.0,171.6,145.0,97.1,107.5,12.0,33.0,10.0,3.0,11.0,11.0,1.0,0.0,0.303,0.41,0.606,1.016,0.28,0.154,0.128,0.148,0.37,0.481,0.154,0.231
Tommy Takayoshi,Available,ATH,Arizona Complex League,CPX,No,25.0,,11.0,9.8,3.3,78.4,140.6,177.4,13.1,137.1,77.0,143.0,97.1,122.5,8.7,36.0,13.0,1.0,5.0,12.0,0.0,0.0,0.361,0.465,0.528,0.993,0.429,0.163,0.163,0.276,0.414,0.31,0.222,0.111
Riley Adams,Available,WSH,International League,AAA,Yes,30.0,,71.0,7.5,3.3,87.2,112.7,83.4,57.4,99.5,199.3,139.0,97.1,110.2,49.3,231.0,64.0,15.0,48.0,44.0,1.0,1.0,0.277,0.391,0.524,0.915,0.336,0.12,0.257,0.236,0.427,0.338,0.245,0.283
Aaron Piasecki,Available,HOU,Carolina League,A,Yes,22.0,,21.0,8.5,3.4,92.2,123.4,167.6,68.8,111.3,0.0,132.0,97.1,105.0,19.0,72.0,24.0,0.0,11.0,15.0,5.0,4.0,0.333,0.419,0.417,0.835,0.393,0.14,0.151,0.262,0.426,0.311,0.263,0.0
Moises Rangel,Not in Fantrax,LAD,Dominican Summer League,R,Yes,18.0,,25.0,6.2,2.4,97.9,82.6,130.3,53.6,103.6,54.7,127.0,97.1,103.2,23.6,61.0,16.0,1.0,12.0,9.0,4.0,3.0,0.262,0.477,0.344,0.822,0.333,0.273,0.182,0.19,0.286,0.524,0.364,0.045
Welbyn Francisca,Available,CLE,Arizona Complex League,CPX,No,20.0,,9.0,6.6,2.8,98.0,94.3,125.4,80.3,71.0,138.7,124.0,97.1,99.4,5.0,25.0,5.0,1.0,6.0,1.0,3.0,1.0,0.2,0.459,0.32,0.779,0.286,0.297,0.27,0.143,0.5,0.357,0.0,0.2
Ricky Duran,Available,ATH,Dominican Summer League,R,Yes,17.0,,49.0,8.9,3.4,103.7,118.6,169.0,79.7,83.5,0.0,111.0,97.1,95.5,34.6,166.0,49.0,0.0,35.0,29.0,18.0,10.0,0.295,0.429,0.331,0.761,0.345,0.176,0.117,0.153,0.603,0.244,0.219,0.0
Marshall Toole,Available,TB,South Atlantic League,A+,Yes,23.0,,38.0,8.4,3.3,95.5,112.9,73.4,125.8,82.4,111.9,107.0,97.1,94.7,17.0,127.0,32.0,3.0,31.0,14.0,20.0,3.0,0.252,0.391,0.354,0.745,0.397,0.151,0.321,0.192,0.575,0.233,0.176,0.176
Braxton Fulford,Available,COL,Pacific Coast League,AAA,Yes,27.0,,44.0,8.2,3.5,99.2,107.6,72.0,110.3,85.0,99.2,107.0,97.1,94.2,46.8,155.0,41.0,7.0,33.0,25.0,7.0,1.0,0.265,0.377,0.477,0.854,0.337,0.12,0.257,0.213,0.324,0.463,0.28,0.14
Miguel Briceno,Available,MIN,Midwest League,A+,No,22.0,,49.0,5.9,3.1,100.2,79.6,115.5,36.4,105.1,74.6,103.0,97.1,103.9,45.5,154.0,44.0,5.0,24.0,23.0,0.0,1.0,0.286,0.358,0.416,0.774,0.328,0.104,0.179,0.236,0.382,0.382,0.17,0.106
Jack O'Dowd,Available,COL,Eastern League,AA,Yes,25.0,,46.0,6.3,3.8,94.1,100.4,59.0,52.6,114.3,131.2,101.0,97.1,105.9,41.4,174.0,43.0,7.0,16.0,26.0,2.0,0.0,0.247,0.325,0.443,0.767,0.324,0.086,0.293,0.263,0.364,0.373,0.159,0.159
Ruben Sanchez,Not in Fantrax,TOR,Dominican Summer League,R,Yes,18.0,,24.0,4.8,2.0,97.9,63.8,127.9,87.3,105.8,0.0,96.0,97.1,98.5,9.0,49.0,9.0,0.0,10.0,3.0,7.0,1.0,0.184,0.437,0.184,0.62,0.25,0.268,0.183,0.194,0.556,0.25,0.222,0.0
Esnaider Vargas,Available,WSH,Dominican Summer League,R,Yes,18.0,,46.0,8.0,3.2,97.9,107.6,66.9,127.2,87.3,82.7,94.0,97.1,92.9,44.0,146.0,44.0,3.0,27.0,23.0,16.0,4.0,0.301,0.361,0.466,0.827,0.345,0.096,0.169,0.16,0.471,0.37,0.091,0.068
Dionys Medina,Not in Fantrax,CHW,Dominican Summer League,R,Yes,18.0,,37.0,6.8,2.8,97.9,90.9,104.4,122.6,99.3,0.0,89.0,97.1,93.5,17.2,102.0,25.0,0.0,24.0,13.0,11.0,1.0,0.245,0.412,0.275,0.687,0.321,0.189,0.182,0.182,0.597,0.221,0.471,0.0
Roberto Gabot,Not in Fantrax,BAL,Dominican Summer League,R,Yes,18.0,,44.0,7.8,2.6,97.9,104.4,121.1,107.3,91.1,32.8,86.0,97.1,95.7,37.0,116.0,25.0,1.0,32.0,23.0,15.0,1.0,0.216,0.389,0.284,0.674,0.267,0.2,0.167,0.167,0.422,0.411,0.459,0.027
Junior Franco,Available,ARI,Texas League,AA,Yes,23.0,,100.0,6.3,3.1,103.7,86.3,91.5,114.4,79.9,55.9,85.0,97.1,90.6,77.7,314.0,86.0,7.0,47.0,49.0,13.0,8.0,0.274,0.351,0.424,0.775,0.343,0.097,0.223,0.194,0.468,0.338,0.425,0.088
Tristan Gray,Available,MIN,International League,AAA,Yes,30.0,,28.0,5.7,3.6,87.2,85.1,71.8,125.1,106.7,88.0,79.0,97.1,100.7,31.2,102.0,24.0,4.0,14.0,9.0,2.0,0.0,0.235,0.297,0.412,0.709,0.26,0.063,0.189,0.253,0.342,0.405,0.281,0.125
Warel Solano,Available,TB,Dominican Summer League,R,Yes,18.0,,44.0,7.8,3.7,97.9,103.9,55.6,131.8,103.1,32.8,78.0,97.1,92.3,41.0,163.0,40.0,1.0,31.0,23.0,12.0,3.0,0.245,0.344,0.35,0.693,0.317,0.115,0.219,0.189,0.477,0.333,0.405,0.027
Camden Troyer,Available,NYY,South Atlantic League,A+,Yes,23.0,,100.0,5.7,3.3,95.5,76.3,95.1,109.9,98.3,50.9,76.0,97.1,96.9,110.8,331.0,75.0,9.0,55.0,36.0,12.0,1.0,0.227,0.305,0.363,0.667,0.27,0.104,0.219,0.229,0.317,0.454,0.248,0.08
Robin Ortiz,Available,CHC,Arizona Complex League,CPX,Yes,19.0,,38.0,5.4,2.9,103.2,77.2,53.0,62.3,113.8,61.0,73.0,97.1,98.4,33.6,112.0,27.0,3.0,15.0,20.0,2.0,1.0,0.241,0.321,0.393,0.713,0.293,0.069,0.237,0.229,0.361,0.41,0.147,0.088
Victor Rodrigues,Available,LAD,Midwest League,A+,Yes,21.0,,77.0,4.7,3.4,105.0,64.3,151.4,41.9,94.0,30.2,66.0,97.1,100.0,47.1,258.0,53.0,2.0,29.0,29.0,1.0,0.0,0.205,0.322,0.275,0.598,0.249,0.14,0.175,0.211,0.559,0.23,0.234,0.043
Jose M. Mendoza,Available,CHW,Arizona Complex League,CPX,Yes,18.0,,45.0,5.0,3.0,108.9,71.8,39.9,19.7,77.0,230.9,60.0,97.1,100.3,25.0,137.0,28.0,9.0,15.0,26.0,0.0,1.0,0.204,0.278,0.431,0.709,0.244,0.086,0.331,0.155,0.524,0.321,0.037,0.333
Wyatt Vincent,Available,NYM,Florida State League,A,Yes,19.0,,17.0,3.5,3.4,110.2,50.7,46.0,67.2,116.6,0.0,58.0,97.1,92.7,15.0,58.0,13.0,0.0,8.0,3.0,1.0,2.0,0.224,0.303,0.276,0.579,0.325,0.075,0.284,0.275,0.35,0.375,0.467,0.0
Frelian Flores,Not in Fantrax,TOR,Dominican Summer League,R,Yes,17.0,,40.0,4.8,2.7,103.7,64.4,163.3,47.5,98.2,0.0,57.0,97.1,100.0,28.6,108.0,28.0,0.0,16.0,18.0,1.0,1.0,0.259,0.325,0.287,0.612,0.275,0.089,0.073,0.18,0.54,0.28,0.107,0.0
Ethan Hearn,Available,CHC,International League,AAA,Yes,25.0,,16.0,5.3,3.4,104.7,79.8,20.7,65.6,95.3,150.7,45.0,97.1,96.8,12.7,54.0,9.0,3.0,5.0,12.0,1.0,1.0,0.167,0.224,0.389,0.613,0.214,0.052,0.397,0.226,0.323,0.452,0.143,0.214
Jordan Lawlar,Bobby and the NitWitts (MINORS),ARI,Pacific Coast League,AAA,Yes,23.0,,5.0,5.5,4.0,116.5,72.1,42.9,98.7,92.2,0.0,44.0,97.1,83.9,7.5,20.0,4.0,0.0,3.0,2.0,0.0,0.0,0.2,0.261,0.4,0.661,0.286,0.087,0.304,0.231,0.231,0.538,0.286,0.0
John Cristino,Available,NYY,Florida Complex League,CPX,No,26.0,,6.0,12.9,2.7,74.5,186.5,89.7,64.9,91.9,445.7,212.0,97.0,117.7,3.5,16.0,5.0,3.0,8.0,7.0,0.0,1.0,0.312,0.5,0.938,1.438,0.286,0.217,0.261,0.2,0.3,0.5,0.2,0.6
Harrison Bader,Available,SF,Pacific Coast League,AAA,Yes,32.0,,6.0,8.8,3.0,83.7,115.8,96.7,125.8,72.7,202.7,143.0,97.0,102.7,7.0,18.0,4.0,2.0,8.0,2.0,1.0,0.0,0.222,0.391,0.556,0.947,0.182,0.13,0.217,0.182,0.182,0.636,0.143,0.286
Alex Lodise,Available,ATL,Carolina League,A,No,22.0,,94.0,8.5,4.0,92.2,122.9,61.2,106.6,90.0,150.0,118.0,97.0,99.6,109.4,375.0,96.0,21.0,64.0,59.0,15.0,5.0,0.256,0.343,0.483,0.826,0.304,0.097,0.26,0.212,0.345,0.443,0.274,0.179
AJ Soldra,Available,LAD,California League,A,Yes,22.0,,49.0,7.3,3.5,95.5,95.0,38.3,107.4,94.2,137.1,118.0,97.0,97.1,37.2,171.0,51.0,7.0,34.0,30.0,3.0,4.0,0.298,0.366,0.52,0.887,0.427,0.068,0.323,0.213,0.426,0.361,0.103,0.179
Alejandro Rios,Available,ARI,Arizona Complex League,CPX,No,21.0,,15.0,5.8,2.6,93.4,83.9,130.0,72.1,119.7,0.0,115.0,97.0,103.6,9.0,39.0,12.0,0.0,7.0,7.0,1.0,0.0,0.308,0.426,0.385,0.81,0.414,0.17,0.213,0.241,0.448,0.31,0.333,0.0
Sam Brown,Available,WSH,Eastern League,AA,Yes,24.0,,85.0,5.6,3.6,98.0,89.3,124.8,21.4,103.8,104.8,104.0,97.0,107.5,71.1,304.0,74.0,9.0,33.0,33.0,0.0,1.0,0.243,0.347,0.395,0.742,0.298,0.134,0.224,0.239,0.436,0.326,0.085,0.127
Diego Hernandez,Available,CHC,Dominican Summer League,R,Yes,17.0,,27.0,5.4,2.2,103.7,71.6,103.0,125.7,86.7,0.0,99.0,97.0,89.0,21.2,60.0,14.0,0.0,15.0,8.0,6.0,5.0,0.233,0.397,0.35,0.747,0.286,0.141,0.154,0.159,0.409,0.432,0.263,0.0
Efren Teran,Available,CHW,Arizona Complex League,CPX,No,19.0,,13.0,6.2,3.3,103.2,89.1,30.8,44.2,87.4,208.0,92.0,97.0,100.7,9.7,43.0,13.0,3.0,6.0,7.0,0.0,2.0,0.302,0.318,0.535,0.853,0.303,0.023,0.159,0.176,0.529,0.294,0.2,0.3
Justin DeCriscio,Available,SD,Texas League,AA,Yes,23.0,,15.0,3.6,3.5,103.7,48.8,73.8,72.0,117.8,0.0,87.0,97.0,96.4,8.2,52.0,13.0,0.0,4.0,0.0,3.0,1.0,0.25,0.35,0.288,0.638,0.361,0.098,0.262,0.286,0.486,0.229,0.25,0.0
Matt Halbach,Available,CHC,Midwest League,A+,Yes,23.0,,112.0,6.8,3.8,95.9,91.4,93.9,83.7,102.9,70.3,85.0,97.0,100.2,99.2,423.0,106.0,10.0,75.0,57.0,7.0,1.0,0.251,0.333,0.371,0.704,0.299,0.095,0.199,0.231,0.46,0.309,0.3,0.1
Kyle West,Available,NYY,South Atlantic League,A+,Yes,23.0,,124.0,7.1,3.9,95.5,94.7,52.3,109.9,94.4,115.8,81.0,97.0,96.8,105.2,482.0,109.0,20.0,68.0,75.0,20.0,2.0,0.226,0.3,0.394,0.695,0.293,0.086,0.298,0.22,0.434,0.346,0.236,0.182
Brock Tibbitts,Available,TOR,Florida State League,A,Yes,23.0,,30.0,5.0,3.3,91.0,72.3,86.3,128.9,116.2,0.0,81.0,97.0,97.3,22.3,100.0,22.0,0.0,14.0,7.0,5.0,0.0,0.22,0.347,0.29,0.637,0.319,0.14,0.264,0.274,0.403,0.323,0.15,0.0
Christian Gonzalez,Available,CHW,Carolina League,A,Yes,19.0,,38.0,5.2,3.0,106.8,75.0,110.9,84.3,87.9,23.5,79.0,97.0,92.5,36.0,115.0,22.0,1.0,17.0,16.0,1.0,2.0,0.191,0.34,0.296,0.636,0.256,0.181,0.242,0.207,0.354,0.439,0.25,0.028
Matt King,Available,PIT,Eastern League,AA,Yes,23.0,,62.0,4.7,2.8,102.3,74.6,157.4,109.1,77.8,0.0,74.0,97.0,92.2,32.7,174.0,43.0,0.0,23.0,15.0,10.0,0.0,0.247,0.337,0.287,0.624,0.301,0.103,0.157,0.179,0.593,0.229,0.469,0.0
Ivan Brethowr,Available,PIT,Eastern League,AA,Yes,23.0,,52.0,4.3,3.3,102.3,68.2,81.8,109.1,86.0,61.9,72.0,97.0,92.2,39.6,172.0,31.0,3.0,21.0,12.0,6.0,1.0,0.18,0.321,0.291,0.611,0.267,0.143,0.31,0.198,0.425,0.377,0.2,0.075
Gunner Gouldsmith,Available,ATH,Midwest League,A+,Yes,24.0,,87.0,6.0,3.2,91.9,81.3,167.9,71.0,94.0,59.8,65.0,97.0,104.7,58.6,281.0,63.0,5.0,43.0,40.0,10.0,6.0,0.224,0.341,0.31,0.651,0.262,0.153,0.171,0.211,0.525,0.265,0.356,0.085
Viandel Pena,Available,DET,Eastern League,AA,Yes,25.0,,27.0,5.2,3.4,94.1,83.3,75.1,120.7,96.5,75.1,64.0,97.0,96.3,21.3,92.0,18.0,2.0,15.0,9.0,4.0,0.0,0.196,0.282,0.315,0.597,0.262,0.107,0.282,0.222,0.429,0.349,0.364,0.091
Christian Koss,Available,SF,Pacific Coast League,AAA,Yes,28.0,,3.0,13.5,3.0,95.7,177.0,0.0,137.4,49.9,354.4,227.0,96.9,92.6,1.8,9.0,4.0,1.0,4.0,3.0,1.0,0.0,0.444,0.5,0.778,1.278,0.429,0.0,0.1,0.125,0.625,0.25,0.5,0.5
Garrett Martin,Available,NYY,Eastern League,AA,No,26.0,,63.0,10.8,4.1,90.5,173.2,85.6,105.2,73.0,194.7,138.0,96.9,100.8,80.6,259.0,70.0,21.0,47.0,54.0,17.0,4.0,0.27,0.344,0.568,0.911,0.283,0.089,0.23,0.168,0.366,0.466,0.303,0.236
Blake Perkins,Available,CLE,International League,AAA,Yes,29.0,,27.0,8.3,3.6,90.3,123.9,116.8,135.3,78.0,95.8,111.0,96.9,96.7,21.3,96.0,23.0,3.0,15.0,14.0,10.0,4.0,0.24,0.385,0.385,0.771,0.317,0.197,0.262,0.185,0.477,0.338,0.182,0.136
Jose Colmenares,Available,CHW,Southern League,AA,Yes,24.0,,22.0,6.2,3.1,98.6,89.9,86.8,79.3,93.0,99.1,99.0,96.9,98.7,18.8,69.0,16.0,3.0,9.0,11.0,3.0,1.0,0.232,0.325,0.42,0.745,0.271,0.099,0.235,0.216,0.392,0.392,0.25,0.15
Santiago Ramirez,Available,TEX,Dominican Summer League,R,Yes,17.0,,41.0,7.7,3.9,103.7,102.9,70.3,67.4,100.9,70.5,94.0,96.9,96.8,53.2,159.0,48.0,3.0,28.0,26.0,1.0,0.0,0.302,0.381,0.403,0.784,0.354,0.099,0.166,0.185,0.395,0.419,0.192,0.058
Jesús  Báez,Cant Park Here (MINORS),STL,Midwest League,A+,No,21.0,,54.0,8.9,4.1,105.0,120.7,98.1,78.3,69.5,125.9,92.0,96.9,94.4,74.6,219.0,54.0,14.0,38.0,41.0,5.0,3.0,0.247,0.3,0.489,0.789,0.234,0.074,0.16,0.156,0.408,0.436,0.282,0.179
Drake Logan,Available,CHW,Southern League,AA,Yes,25.0,,23.0,5.3,3.0,94.7,77.1,29.4,97.8,101.2,141.3,92.0,96.9,98.9,14.0,69.0,16.0,3.0,9.0,11.0,3.0,0.0,0.232,0.303,0.42,0.723,0.382,0.078,0.416,0.235,0.353,0.412,0.429,0.214
Rashawn Galloway,Available,HOU,Carolina League,A,Yes,22.0,,8.0,5.2,2.2,92.2,76.0,454.0,44.7,79.8,0.0,89.0,96.9,108.0,5.0,18.0,3.0,0.0,6.0,3.0,0.0,0.0,0.167,0.375,0.222,0.597,0.188,0.208,0.083,0.188,0.5,0.313,0.6,0.0
Juandy Romero,Not in Fantrax,CIN,Dominican Summer League,R,Yes,17.0,,28.0,4.0,1.9,103.7,53.0,111.7,76.6,103.1,0.0,89.0,96.9,95.7,12.6,54.0,10.0,0.0,8.0,5.0,4.0,0.0,0.185,0.413,0.222,0.636,0.256,0.25,0.197,0.189,0.486,0.324,0.5,0.0
Marcus Brown,Available,HOU,Eastern League,AA,No,24.0,,25.0,3.6,2.4,98.0,57.6,148.7,70.1,88.6,58.6,88.0,96.9,100.5,13.7,59.0,14.0,1.0,6.0,6.0,1.0,0.0,0.237,0.328,0.339,0.667,0.271,0.088,0.147,0.204,0.51,0.286,0.143,0.071
Brady Cerkownyk,Available,WSH,South Atlantic League,A+,Yes,23.0,,8.0,3.3,2.6,95.5,44.5,85.6,39.0,143.0,0.0,86.0,96.9,106.5,5.0,21.0,4.0,0.0,3.0,2.0,0.0,1.0,0.19,0.379,0.238,0.617,0.333,0.241,0.345,0.333,0.25,0.417,0.2,0.0
Félix Amparo,Available,BAL,Carolina League,A,No,20.0,,67.0,5.2,2.9,101.4,75.7,55.2,132.4,97.2,24.3,85.0,96.9,89.4,34.4,194.0,52.0,1.0,34.0,23.0,12.0,4.0,0.268,0.333,0.325,0.658,0.329,0.055,0.191,0.229,0.549,0.222,0.265,0.029
PJ Morlando,Available,MIA,Florida State League,A,Yes,21.0,,88.0,5.8,3.6,99.7,83.0,76.7,79.9,95.8,92.5,84.0,96.9,97.9,65.8,320.0,67.0,9.0,50.0,35.0,6.0,3.0,0.209,0.329,0.341,0.67,0.283,0.141,0.286,0.226,0.453,0.321,0.294,0.132
Matt Rudick,Available,NYM,Eastern League,AA,No,27.0,,56.0,5.1,3.2,87.1,81.1,129.2,95.4,107.7,54.4,74.0,96.9,104.5,60.5,177.0,31.0,4.0,22.0,17.0,8.0,1.0,0.175,0.308,0.299,0.608,0.211,0.135,0.219,0.248,0.279,0.473,0.295,0.066
Seth Stephenson,Available,DET,Eastern League,AA,Yes,25.0,,101.0,8.3,4.0,94.1,133.4,76.5,153.8,97.8,19.0,68.0,96.9,91.5,91.0,405.0,92.0,2.0,74.0,35.0,61.0,6.0,0.227,0.299,0.306,0.605,0.285,0.062,0.196,0.225,0.487,0.288,0.33,0.023
Paulo Asprilla,Available,STL,Florida Complex League,CPX,Yes,20.0,,21.0,3.2,2.2,96.8,46.1,53.1,48.7,147.4,0.0,68.0,96.9,104.3,7.8,46.0,11.0,0.0,8.0,6.0,0.0,1.0,0.239,0.357,0.261,0.618,0.355,0.125,0.286,0.321,0.429,0.25,0.286,0.0
Jared Dickey,Available,ATH,Texas League,AA,No,24.0,,20.0,6.9,3.2,99.4,94.1,59.5,103.3,90.6,100.4,67.0,96.9,94.9,17.9,65.0,14.0,3.0,9.0,15.0,2.0,0.0,0.215,0.261,0.415,0.676,0.234,0.058,0.217,0.22,0.4,0.38,0.053,0.158
Connor Caskenette,Available,MIA,Southern League,AA,Yes,24.0,,50.0,5.0,3.4,98.6,73.0,49.6,129.1,86.1,96.4,64.0,96.9,91.8,40.4,170.0,36.0,6.0,22.0,17.0,7.0,0.0,0.212,0.266,0.359,0.625,0.254,0.06,0.255,0.2,0.458,0.342,0.195,0.146
Ryan Lasko,Available,ATH,Texas League,AA,Yes,24.0,,73.0,5.2,3.5,99.4,71.4,34.1,134.7,90.6,84.5,61.0,96.9,90.4,43.4,253.0,53.0,6.0,36.0,34.0,5.0,3.0,0.209,0.275,0.36,0.635,0.275,0.046,0.281,0.22,0.525,0.254,0.222,0.133
Theo Hardy,Available,TEX,Pacific Coast League,AAA,Yes,24.0,,11.0,3.5,2.5,111.6,46.5,39.5,172.3,72.7,0.0,53.0,96.9,76.7,11.0,27.0,6.0,0.0,5.0,1.0,1.0,0.0,0.222,0.276,0.333,0.609,0.273,0.033,0.167,0.182,0.318,0.5,0.0,0.0
