Player,Fantasy Roster,Team,League,Level,Highest League,Age,Draft Class,G,FP/G,AB/G,Age+,FG/G+,Approach+,Speed+,LD%+,HR/FB+,wRC+,5 Tool+,Hitter+,Est FB,AB,H,HR,R,RBI,SB,CS,BA,OBP,SLP,OPS,BABIP,BB%,K%,LD%,GB%,FB%,IFFB%,HR/FB%
Cooper Pratt,Third Degree Burnes (ACTIVE),MIL,International League,AAA,Yes,21.0,,58.0,8.6,3.8,124.6,128.4,192.6,168.1,93.6,85.9,99.0,122.0,110.0,48.4,220.0,53.0,6.0,34.0,32.0,17.0,1.0,0.241,0.349,0.386,0.735,0.264,0.13,0.142,0.222,0.506,0.272,0.184,0.122
Alika Williams,Available,ATH,Pacific Coast League,AAA,Yes,27.0,,2.0,13.8,3.5,99.2,180.3,444.3,15.5,132.9,236.0,263.0,121.9,149.0,2.5,7.0,3.0,1.0,2.0,1.0,0.0,0.0,0.429,0.6,1.0,1.6,0.4,0.3,0.1,0.333,0.167,0.5,0.0,0.333
Heriberto Hernández,Bobby and the NitWitts (ACTIVE),MIA,International League,AAA,Yes,26.0,,5.0,12.4,4.4,100.7,185.2,725.5,149.7,140.4,0.0,101.0,121.9,129.1,2.3,22.0,6.0,0.0,8.0,2.0,3.0,0.0,0.273,0.36,0.364,0.724,0.286,0.12,0.04,0.333,0.556,0.111,1.0,0.0
Henry Bolte,Hand Foot Mouth Disease Guys (MINORS),ATH,Pacific Coast League,AAA,Yes,22.0,,37.0,13.4,4.3,121.8,175.6,73.6,180.0,75.1,314.7,153.0,121.8,110.0,24.7,158.0,55.0,12.0,41.0,28.0,17.0,2.0,0.348,0.418,0.658,1.076,0.402,0.096,0.22,0.188,0.581,0.231,0.148,0.444
Colt Emerson,Ben the Hen (INJURED_RESERVE),SEA,Pacific Coast League,AAA,Yes,20.0,,38.0,8.9,3.8,133.9,117.1,57.2,137.4,101.0,198.5,103.0,121.8,107.6,23.5,145.0,37.0,7.0,26.0,26.0,10.0,3.0,0.255,0.347,0.469,0.816,0.323,0.101,0.272,0.253,0.495,0.253,0.28,0.28
Braulio Cavero,Available,TEX,Dominican Summer League,R,No,20.0,,20.0,17.4,3.8,88.1,232.0,334.7,121.1,130.4,167.8,183.0,121.7,141.6,27.7,75.0,31.0,4.0,30.0,27.0,7.0,1.0,0.413,0.529,0.68,1.209,0.397,0.196,0.069,0.239,0.352,0.408,0.207,0.138
Juan Martinez,The Hot and Steamy Boys (MINORS),MIL,Arizona Complex League,CPX,No,19.0,,40.0,11.9,3.3,103.2,171.2,276.6,119.6,120.7,106.8,160.0,121.6,131.2,37.9,132.0,47.0,6.0,29.0,27.0,21.0,3.0,0.356,0.476,0.598,1.074,0.38,0.171,0.116,0.243,0.405,0.351,0.205,0.154
George Lombard Jr.,Third Degree Burnes (ACTIVE),NYY,Eastern League,AA,No,21.0,,20.0,9.4,3.9,112.0,151.3,134.2,93.5,142.5,174.1,157.0,121.6,128.6,18.0,77.0,24.0,4.0,18.0,10.0,4.0,3.0,0.312,0.4,0.571,0.971,0.364,0.133,0.211,0.328,0.345,0.328,0.105,0.211
Samil Serrano,Available,WSH,Dominican Summer League,R,Yes,17.0,,48.0,9.0,3.0,103.7,119.8,112.6,128.7,170.7,155.6,130.0,121.6,129.4,38.6,145.0,45.0,5.0,35.0,25.0,13.0,3.0,0.31,0.43,0.538,0.968,0.351,0.162,0.156,0.313,0.348,0.339,0.205,0.128
Carson Roccaforte,Bobby and the NitWitts (MINORS),KC,International League,AAA,Yes,24.0,,17.0,9.3,3.6,109.1,138.4,55.4,94.3,148.0,271.1,120.0,121.6,130.6,11.2,61.0,16.0,5.0,6.0,12.0,6.0,0.0,0.262,0.352,0.541,0.893,0.344,0.123,0.342,0.351,0.297,0.351,0.077,0.385
Eli Willits,Bobby and the NitWitts (MINORS),WSH,South Atlantic League,A+,Yes,18.0,,64.0,9.9,3.5,122.1,133.0,180.6,157.7,111.2,64.2,118.0,121.6,112.6,67.0,226.0,52.0,7.0,51.0,33.0,31.0,8.0,0.23,0.392,0.42,0.813,0.273,0.187,0.19,0.259,0.335,0.406,0.101,0.101
Miguel Hernández,Bobby and the NitWitts (MINORS),STL,Florida Complex League,CPX,No,18.0,,49.0,9.9,3.0,107.6,142.6,118.0,124.9,137.3,196.8,137.0,121.5,127.1,34.7,148.0,40.0,9.0,39.0,38.0,11.0,5.0,0.27,0.435,0.534,0.968,0.313,0.204,0.209,0.299,0.351,0.351,0.294,0.265
Justyn-Henry Malloy,Available,TB,South Atlantic League,A+,No,26.0,,5.0,16.7,3.8,84.5,224.2,298.2,31.9,143.0,272.9,287.0,121.4,156.0,5.6,19.0,9.0,3.0,6.0,6.0,0.0,1.0,0.474,0.615,1.0,1.615,0.5,0.269,0.154,0.333,0.2,0.467,0.143,0.429
Angeibel Gomez,Ben the Hen (MINORS),KC,Dominican Summer League,R,Yes,17.0,,47.0,12.0,3.1,103.7,160.3,173.4,121.1,130.9,186.0,156.0,121.4,130.3,58.6,144.0,52.0,9.0,49.0,38.0,15.0,2.0,0.361,0.467,0.653,1.119,0.358,0.156,0.106,0.24,0.273,0.488,0.22,0.153
Devin Taylor,Lászlaró Tóth (MINORS),ATH,Pacific Coast League,AAA,Yes,22.0,,6.0,13.7,4.3,121.8,179.2,69.4,50.3,126.2,472.8,184.0,121.2,127.2,2.7,26.0,11.0,2.0,8.0,7.0,0.0,0.0,0.423,0.483,0.692,1.175,0.529,0.103,0.241,0.316,0.526,0.158,0.0,0.667
