Source League ID,League Name,League Level,Age,Players,Total G,Total PA,Total AB,FGPts_per_game,BB_K_ratio,BB_pct,K_pct,Approach_score,Speed_score,LD%,HR_FB_pct,wRC+,Average Age
2,International League,AAA,30,55.0,2056.0,7907.0,6843.0,6.538808212318478,0.5544979717556453,0.11058793531891067,0.2177817119219679,0.3766929956371619,4.1342985623269195,0.22959995584402387,0.1374549551674343,100.96176106923357,30
2,International League,AAA,31,38.0,1564.0,6006.0,5307.0,6.05749354005168,0.45064057841175675,0.09519038033984635,0.22560772501814855,0.30899203484865306,3.7768627104807027,0.22918450898465648,0.13157280885672668,89.62319083303944,31
2,International League,AAA,32,23.0,946.0,3731.0,3234.0,6.7315901814300965,0.5060481680327401,0.10506566561377645,0.2216563919713213,0.33752082795995064,4.292986647939069,0.23739530655973154,0.14778705775514464,102.44419058499987,32
2,International League,AAA,33,17.0,500.0,1970.0,1710.0,5.901,0.5538598115083205,0.11167512639492384,0.22029576701580827,0.3657205165509845,3.23886264605105,0.2402943393258883,0.1431658149374302,88.86341036462217,33
2,International League,AAA,34,15.0,429.0,1613.0,1406.0,6.538366336633663,0.5133305127691579,0.11021170556849313,0.24034869192652555,0.34107576842268195,4.057892364438485,0.2366441838549191,0.14965130302439025,94.63757906286335,34
2,International League,AAA,35,7.0,138.0,519.0,452.0,5.695652173913044,0.41216837437838894,0.09826589558959536,0.23781676366471735,0.26573392804394996,2.9612537055889145,0.24034535598651258,0.14559043773305083,93.70413964943978,35
2,International League,AAA,36,4.0,93.0,350.0,303.0,4.887096774193548,0.49432034632034627,0.10857142786571428,0.25999999957714287,0.32524675369645023,2.309496197543659,0.22344331053142857,0.15062501532248518,79.72686805213861,36
2,International League,AAA,37,1.0,10.0,41.0,34.0,2.9,0.4666666666666667,0.170731707,0.365853658,0.21626016299999995,5.05096184427127,0.10526315699999998,,21.654927600992057,37
2,International League,AAA,38,1.0,9.0,40.0,35.0,4.333333333333333,0.4166666666666667,0.125,0.3,0.23958333333333331,2.64285714,0.217391304,0.166666666,33.293768127184265,38
4,Pacific Coast League,AAA,19,3.0,50.0,229.0,184.0,10.09,0.8148496240601504,0.14473684178947369,0.17982456117105264,0.5507518801550751,7.644330988072169,0.23151622910480352,0.09754004499999999,126.95337639534209,19
4,Pacific Coast League,AAA,20,6.0,160.0,703.0,603.0,8.349056603773585,0.5093241797765803,0.11143270540520983,0.25035561838549075,0.33491604149883425,5.355034442174919,0.23600801656614512,0.22011481224525548,95.0542501572014,20
4,Pacific Coast League,AAA,21,8.0,168.0,707.0,599.0,7.601190476190476,0.669059775425876,0.12931034436350575,0.24186704337199436,0.4527011543079438,5.673496735616541,0.2672342588510029,0.19108606133136097,112.92540790123893,21
4,Pacific Coast League,AAA,22,24.0,699.0,3099.0,2688.0,8.554363376251787,0.6122178454361682,0.1101006815544008,0.19638242846737725,0.4251286491965065,4.745229785505155,0.2424203623922204,0.18170510695784023,103.83690150545117,22
4,Pacific Coast League,AAA,23,45.0,1690.0,7446.0,6411.0,8.129289940828402,0.6070413674770296,0.1170937835541167,0.20937121269058842,0.413933284343098,5.454131964637048,0.2364507043468674,0.1496498903563235,99.962273483766,23
4,Pacific Coast League,AAA,24,53.0,2105.0,9003.0,7805.0,8.078147268408552,0.5130190606806676,0.1061483621681889,0.23027339368126246,0.34803084552966757,5.728709844588401,0.2394448363940607,0.17412548827957722,104.72568252047088,24
4,Pacific Coast League,AAA,25,51.0,1635.0,6781.0,5829.0,7.4376152427781195,0.6405443982640862,0.11127596388531157,0.2092611704881286,0.4564505694751501,5.627863910698602,0.2485353214490488,0.12297868776411802,95.26127825450416,25
4,Pacific Coast League,AAA,26,67.0,2766.0,11798.0,10056.0,8.114425162689805,0.5934923325915794,0.11942580436294913,0.21332767354049237,0.3976329029053972,5.387628875929403,0.2522995678904588,0.15306891830231126,106.65685589835705,26
4,Pacific Coast League,AAA,27,73.0,2842.0,11490.0,9935.0,7.295984223736106,0.5798296502538569,0.1144683828201086,0.2172359702694319,0.3915724197334586,4.834482174294334,0.2597384719294978,0.14164126574918035,97.98763368436708,27
4,Pacific Coast League,AAA,28,51.0,1998.0,8069.0,6919.0,7.747803617571059,0.5834483134272979,0.11614271414246508,0.21550868444962779,0.3919837226844569,4.581522664026665,0.24916496426929757,0.14903210578794526,104.08472337494018,28
4,Pacific Coast League,AAA,29,38.0,1754.0,7188.0,6141.0,7.491808074897601,0.6329082513869331,0.11908736739899835,0.2141068442941013,0.43423937014686476,5.253507512311309,0.24896156966193655,0.12342631644483834,95.92770963966261,29
4,Pacific Coast League,AAA,30,39.0,1504.0,5836.0,4978.0,6.550805886475123,0.590877349164487,0.11509303886268094,0.21062553508466159,0.4024413205862288,4.517352748834221,0.2427049205724079,0.09138883578109544,86.23651388828074,30
4,Pacific Coast League,AAA,31,23.0,721.0,2930.0,2545.0,7.367545076282941,0.5529918804046237,0.10633172698864421,0.20450665707169682,0.38078517355270375,5.232876391335012,0.23770135074555407,0.14045560794759512,91.96013511118949,31
4,Pacific Coast League,AAA,32,18.0,698.0,2919.0,2499.0,8.019340974212035,0.6386825157501783,0.10977701486449401,0.20383692999109285,0.4456851459596811,5.093095657305169,0.2590984895379074,0.15919648414028906,103.90805101768142,32
