Player Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Source Report,Source League ID,Level_advanced,PA_advanced,BB%,K%,BB/K,AVG_advanced,OBP_advanced,SLG,OPS_advanced,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,Source Report_advanced,Level_batted,PA_batted,BABIP_batted,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB%,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,Source Report_batted,League Name,League Level,FGPts_est,Fantasy Points Formula,FGPts_per_game,AB_per_game,BA,OBP,SLP,OPS,BB_K_ratio,BB_pct,K_pct,Approach_score,Speed_score,HR_FB_pct,Estimated BIP,Estimated FB,Team League Max G,Player Team Game Share
Luis Almeyda,BAL,A,20,17,63,68,13,10,3,0,0,8,7,5,0,13,0,0,0,3,0,2,0.206349206,sa3021081,standard,9,A,68,0.073529411,0.19117647,0.384615384,0.206349206,0.264705882,0.253968253,0.518674135,0.047619047,3.4568791007631257,0.26,-1.079865544103086,4.260118733960715,-4.801078725737009,0.2547987357658498,50.123764175589926,advanced,A,68,0.26,1.642857142,0.229166666,0.479166666,0.291666666,0.071428571,0.0,0.42,0.26,0.32,0.10080645,85.0,163.0,248.0,batted,Carolina League,A,71.0,fantrax_hitting_categories,4.176470588235294,3.7058823529411766,0.20634920634920634,0.2647058823529412,0.25396825396825395,0.5186741363211951,0.38461538461538464,0.073529411,0.19117647,0.28280543038461536,3.4568791007631257,0.0,50.0,14.583333300000001,46,0.3695652173913043
Luis Guanipa,ATL,A,20,48,192,214,60,39,10,3,8,28,34,13,1,21,4,5,0,1,22,3,0.3125,sa3020884,standard,9,A,214,0.060747663,0.098130841,0.619047619,0.3125,0.359813084,0.520833333,0.880646417,0.208333333,7.969471024769835,0.309523809,2.4536063009873033,37.740906138698904,9.224784721414892,0.3966584935994215,133.474201678256,advanced,A,214,0.309523809,0.971014492,0.213872832,0.387283236,0.39884393,0.20289855,0.115942028,0.36571429,0.26857143,0.36571429,0.13603473,226.0,465.0,691.0,batted,Carolina League,A,523.5,fantrax_hitting_categories,10.90625,4.0,0.3125,0.3598130841121495,0.5208333333333334,0.8806464174454829,0.6190476190476191,0.060747663,0.098130841,0.5206942594285714,7.969471024769835,0.115942028,168.0,67.00578024,52,0.9230769230769231
Luis Lameda,MIL,A,20,35,113,141,33,30,2,0,1,22,20,25,0,28,1,2,0,1,8,3,0.292035398,sa3021233,standard,9,A,141,0.177304964,0.19858156,0.892857142,0.292035398,0.418439716,0.336283185,0.754722901,0.044247787,4.716894952703488,0.372093023,-0.3564428314566612,22.65388981400717,3.865230375516304,0.3770800621797007,116.3190716385356,advanced,A,141,0.372093023,1.260869565,0.40229885,0.333333333,0.264367816,0.217391304,0.04347826,0.45977011,0.2183908,0.32183908,0.09807356,237.0,334.0,571.0,batted,Carolina League,A,271.0,fantrax_hitting_categories,7.742857142857143,3.2285714285714286,0.2920353982300885,0.41843971631205673,0.336283185840708,0.7547229021527647,0.8928571428571429,0.177304964,0.19858156,0.557244175,4.716894952703488,0.04347826,86.0,22.735632176,49,0.7142857142857143
Luis Marquez,TEX,A,20,28,92,106,20,17,1,0,2,12,18,11,0,30,1,1,1,2,3,0,0.217391304,sa3019498,standard,9,A,106,0.103773584,0.283018867,0.366666666,0.217391304,0.304761904,0.29347826,0.598240164,0.076086956,4.865207840876534,0.295081967,0.3085763780400157,9.980626991953544,-4.1441808128693784,0.2941066458111717,71.61437889036951,advanced,A,106,0.295081967,1.181818181,0.238095238,0.412698412,0.349206349,0.136363636,0.09090909,0.390625,0.25,0.359375,0.15458937,155.0,259.0,414.0,batted,Carolina League,A,166.5,fantrax_hitting_categories,5.946428571428571,3.2857142857142856,0.21739130434782608,0.3047619047619048,0.29347826086956524,0.59824016563147,0.36666666666666664,0.103773584,0.283018867,0.22484276796666663,4.865207840876534,0.09090909,61.0,21.301587289,50,0.56
Luiyin Alastre,MIL,A,20,15,50,61,8,6,2,0,0,6,7,9,0,14,1,1,0,2,3,2,0.16,sa3021210,standard,9,A,61,0.147540983,0.229508196,0.642857142,0.16,0.295081967,0.2,0.495081967,0.04,4.5360486471693555,0.216216216,-0.4899146258831024,4.20125069956351,-3.927176433400624,0.262563690787456,47.35542104807929,advanced,A,61,0.216216216,1.23076923,0.171428571,0.457142857,0.371428571,0.153846153,0.0,0.35135135,0.18918919,0.45945946,0.09745763,91.0,145.0,236.0,batted,Carolina League,A,77.0,fantrax_hitting_categories,5.133333333333334,3.3333333333333335,0.16,0.29508196721311475,0.2,0.49508196721311476,0.6428571428571429,0.147540983,0.229508196,0.4004683849285715,4.5360486471693555,0.0,37.0,13.742857126999999,49,0.30612244897959184
Luke Dickerson,WSN,A,20,48,183,229,41,21,12,2,6,40,36,39,0,62,2,5,0,1,9,4,0.224043715,sa3067329,standard,9,A,229,0.170305676,0.270742358,0.629032258,0.224043715,0.358078602,0.409836065,0.767914667,0.18579235,7.145764103105024,0.291666666,-0.6813019644469023,34.17141892890739,3.656503954337123,0.3628009464022374,111.06340452051025,advanced,A,229,0.291666666,0.921568627,0.196721311,0.385245901,0.418032786,0.235294117,0.117647058,0.49206349,0.26190476,0.24603175,0.10951327,383.0,521.0,904.0,batted,Carolina League,A,438.5,fantrax_hitting_categories,9.135416666666666,3.8125,0.22404371584699453,0.35807860262008734,0.4098360655737705,0.7679146681938578,0.6290322580645161,0.170305676,0.270742358,0.35159881732258064,7.145764103105024,0.117647058,120.0,50.163934319999996,48,1.0
Manuel Cabrera,WSN,A,20,7,15,20,1,1,0,0,0,3,0,5,0,8,0,0,0,0,0,0,0.066666666,sa3021096,standard,9,A,20,0.25,0.4,0.625,0.066666666,0.3,0.066666666,0.366666666,0.0,2.64285714,0.142857142,-0.0602945443242788,0.9809469570528742,-1.6841111193288092,0.2378302216529846,35.803969639156435,advanced,A,20,0.142857142,1.333333333,0.0,0.571428571,0.428571428,0.666666666,0.0,0.71428571,0.14285714,0.14285714,0.14285714,42.0,49.0,91.0,batted,Carolina League,A,10.5,fantrax_hitting_categories,1.5,2.142857142857143,0.06666666666666667,0.3,0.06666666666666667,0.36666666666666664,0.625,0.25,0.4,0.21875,2.64285714,0.0,7.0,2.9999999959999997,48,0.14583333333333334
Marcelo Alcala,CHW,A,20,37,117,146,16,7,5,1,3,14,12,19,0,67,9,0,1,1,6,3,0.136752136,sa3021304,standard,9,A,146,0.130136986,0.458904109,0.283582089,0.136752136,0.303448275,0.273504273,0.576952548,0.136752137,7.018562215890141,0.276595744,-0.5454119322821498,13.893744440235867,-5.561179517350419,0.2953614012948398,69.14023696281457,advanced,A,146,0.276595744,0.739130434,0.183673469,0.346938775,0.469387755,0.391304347,0.130434782,0.49019608,0.15686275,0.35294118,0.18686869,233.0,361.0,594.0,batted,Carolina League,A,148.5,fantrax_hitting_categories,4.013513513513513,3.1621621621621623,0.13675213675213677,0.30344827586206896,0.27350427350427353,0.5769525493663425,0.2835820895522388,0.130136986,0.458904109,0.11654058499999999,7.018562215890141,0.130434782,47.0,22.061224485,45,0.8222222222222222
Matthew Boughton,CHW,A,20,34,122,134,25,19,5,0,1,18,13,8,0,36,0,4,0,2,10,1,0.204918032,sa3069293,standard,9,A,134,0.059701492,0.268656716,0.222222222,0.204918032,0.246268656,0.270491803,0.516760459,0.065573771,7.026072829693257,0.269662921,1.2641099886968732,7.429759383738235,-10.426129728019044,0.2458128248577687,39.30126572125725,advanced,A,134,0.269662921,0.944444444,0.222222222,0.377777777,0.4,0.138888888,0.027777777,0.46666667,0.33333333,0.2,0.16052061,143.0,318.0,461.0,batted,Carolina League,A,189.5,fantrax_hitting_categories,5.573529411764706,3.588235294117647,0.20491803278688525,0.2462686567164179,0.27049180327868855,0.5167604599951064,0.2222222222222222,0.059701492,0.268656716,0.14925373155555555,7.026072829693257,0.027777777,89.0,35.6,45,0.7555555555555555
Miguel Rodriguez,BAL,A,20,5,16,20,3,2,1,0,0,1,4,4,0,2,0,0,0,1,0,0,0.1875,sa3021226,standard,9,A,20,0.2,0.1,2.0,0.1875,0.35,0.25,0.6,0.0625,0.4107142775,0.214285714,-0.0602945443242788,2.200572482292769,-0.4644855940889141,0.3139074862003326,85.72003012641815,advanced,A,20,0.214285714,1.0,0.142857142,0.428571428,0.428571428,0.666666666,0.0,0.35714286,0.28571429,0.35714286,0.03571429,40.0,44.0,84.0,batted,Carolina League,A,32.0,fantrax_hitting_categories,6.4,3.2,0.1875,0.35,0.25,0.6,2.0,0.2,0.1,1.4000000000000001,0.4107142775,0.0,14.0,5.999999991999999,46,0.10869565217391304
Nehomar Ochoa Jr.,HOU,A,20,36,126,146,34,24,5,0,5,21,19,17,0,40,2,1,0,2,18,2,0.269841269,sa3022572,standard,9,A,146,0.116438356,0.273972602,0.425,0.269841269,0.363013698,0.428571428,0.791585126,0.158730159,6.358312326589941,0.353658536,2.2387599693611264,23.00905665697201,3.5541326993857205,0.373250570607512,120.40520310535496,advanced,A,146,0.353658536,1.066666666,0.253012048,0.385542168,0.361445783,0.233333333,0.166666666,0.47727273,0.21590909,0.30681818,0.13536379,239.0,352.0,591.0,batted,Carolina League,A,318.0,fantrax_hitting_categories,8.833333333333334,3.5,0.2698412698412698,0.363013698630137,0.42857142857142855,0.7915851272015655,0.425,0.116438356,0.273972602,0.25907534285,6.358312326589941,0.166666666,82.0,29.638554206000002,44,0.8181818181818182
