Player,Fantasy Roster,Team,League,Level,Highest League,Age,Draft Class,G,FP/G,AB/G,Age+,FG/G+,Approach+,Speed+,LD%+,HR/FB+,wRC+,5 Tool+,Hitter+,Est FB,AB,H,HR,R,RBI,SB,CS,BA,OBP,SLP,OPS,BABIP (Adv),BB%,K%,PA (Adv),BB/K,AVG (Adv),OBP (Adv),SLG (Adv),OPS (Adv),ISO,Spd,wSB,wRC,wRAA,wOBA,wRC+ (Adv),PA (Batted),BABIP (Batted),GB/FB,LD%,GB%,FB%,IFFB%,HR/FB%,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches
Jaison Chourio,Bobby and the NitWitts (MINORS),CLE,Midwest League,A+,No,21.0,,22.0,9.3,3.7,105.0,126.5,179.8,94.6,150.5,100.6,138.0,119.4,129.7,13.8,82.0,26.0,2.0,16.0,7.0,10.0,4.0,0.317,0.431,0.476,0.907,0.375,0.176,0.176,102.0,1.0,0.317,0.431,0.476,0.907,0.159,5.2,-0.4,20,5.6,0.417,138,102.0,0.375,2.07,0.338,0.446,0.215,0.071,0.143,0.409,0.288,0.303,0.067,182.0,254.0,436.0
Blake Mitchell,Bobby and the NitWitts (MINORS),KC,Midwest League,A+,Yes,21.0,,115.0,9.1,3.3,105.0,123.2,78.9,96.5,126.5,190.6,131.0,112.7,118.2,78.1,381.0,89.0,23.0,95.0,75.0,27.0,6.0,0.234,0.414,0.459,0.873,0.346,0.221,0.341,511.0,0.65,0.234,0.414,0.459,0.873,0.226,5.3,0.6,96,21.7,0.403,131,511.0,0.346,0.75,0.284,0.308,0.409,0.118,0.271,0.407,0.276,0.318,0.158,1022.0,1194.0,2216.0
Kayson Cunningham,Bobby and the NitWitts (MINORS),ARI,Northwest League,A+,Yes,20.0,,63.0,8.9,3.8,112.2,124.4,124.2,147.4,133.4,73.1,100.0,117.8,114.6,45.2,238.0,60.0,5.0,50.0,36.0,20.0,4.0,0.252,0.36,0.391,0.751,0.316,0.138,0.219,283.0,0.63,0.252,0.36,0.391,0.751,0.139,7.3,1.6,39,0.0,0.347,100,283.0,0.316,1.67,0.305,0.435,0.26,0.065,0.109,0.428,0.294,0.278,0.107,488.0,701.0,1189.0
Bryce Eldridge,Bobby and the NitWitts (ACTIVE),SF,Pacific Coast League,AAA,Yes,21.0,,30.0,9.1,3.8,127.6,118.7,66.8,36.8,131.3,147.4,155.0,114.8,114.4,22.4,114.0,38.0,5.0,25.0,22.0,0.0,0.0,0.333,0.445,0.518,0.963,0.485,0.146,0.299,137.0,0.49,0.333,0.445,0.518,0.963,0.184,1.9,-0.3,29,9.0,0.434,155,137.0,0.485,1.04,0.329,0.342,0.329,0.125,0.208,0.534,0.247,0.219,0.135,241.0,330.0,571.0
Raudi Rodriguez,Bobby and the NitWitts (MINORS),LAA,Pacific Coast League,AAA,Yes,22.0,,26.0,8.3,4.0,121.8,108.7,122.2,145.2,75.1,112.0,82.0,111.6,97.8,18.6,104.0,25.0,3.0,20.0,14.0,5.0,2.0,0.24,0.347,0.385,0.732,0.282,0.14,0.19,121.0,0.74,0.24,0.347,0.385,0.732,0.144,7.5,-0.3,15,-2.4,0.339,82,121.0,0.282,2.42,0.188,0.575,0.238,0.0,0.158,0.425,0.238,0.338,0.114,185.0,273.0,458.0
Jordan Lawlar,Bobby and the NitWitts (MINORS),ARI,Pacific Coast League,AAA,Yes,23.0,,5.0,5.5,4.0,116.5,72.1,42.9,98.7,92.2,0.0,44.0,97.1,83.9,7.5,20.0,4.0,0.0,3.0,2.0,0.0,0.0,0.2,0.261,0.4,0.661,0.286,0.087,0.304,23.0,0.29,0.2,0.261,0.4,0.661,0.2,5.1,0.0,2,-1.6,0.284,44,23.0,0.286,0.43,0.231,0.231,0.538,0.286,0.0,0.429,0.357,0.214,0.155,31.0,53.0,84.0
Eli Willits,Bobby and the NitWitts (MINORS),WSH,South Atlantic League,A+,Yes,18.0,,64.0,9.9,3.5,122.1,133.0,180.6,157.7,111.2,64.2,118.0,121.6,112.6,67.0,226.0,52.0,7.0,51.0,33.0,31.0,8.0,0.23,0.392,0.42,0.813,0.273,0.187,0.19,289.0,0.98,0.23,0.392,0.42,0.813,0.19,8.9,1.2,48,6.6,0.374,118,289.0,0.273,0.83,0.259,0.335,0.406,0.101,0.101,0.41,0.249,0.341,0.098,510.0,641.0,1151.0
Nathan Flewelling,Bobby and the NitWitts (MINORS),TB,South Atlantic League,A+,Yes,19.0,,106.0,8.0,3.8,115.6,107.1,92.4,83.3,96.6,115.1,112.0,106.4,102.2,108.7,403.0,98.0,21.0,68.0,67.0,8.0,4.0,0.243,0.364,0.452,0.816,0.303,0.146,0.272,486.0,0.54,0.243,0.364,0.452,0.816,0.208,4.7,-2.0,79,8.8,0.369,112,486.0,0.303,0.81,0.225,0.347,0.428,0.207,0.181,0.377,0.312,0.312,0.147,770.0,1149.0,1919.0
Elian Peña,Bobby and the NitWitts (MINORS),NYM,South Atlantic League,A+,Yes,18.0,,16.0,5.1,4.2,122.1,68.0,63.2,147.1,70.0,0.0,38.0,100.3,78.5,18.4,67.0,11.0,0.0,10.0,6.0,2.0,0.0,0.164,0.26,0.224,0.484,0.25,0.117,0.312,77.0,0.38,0.164,0.26,0.224,0.484,0.06,8.3,0.2,4,-7.4,0.238,38,77.0,0.25,1.0,0.163,0.419,0.419,0.389,0.0,0.455,0.205,0.341,0.135,101.0,203.0,304.0
Raudi Rodriguez,Bobby and the NitWitts (MINORS),LAA,Southern League,AA,No,22.0,,95.0,8.2,3.7,107.6,118.2,126.1,127.3,112.8,124.2,118.0,113.0,112.6,63.2,348.0,91.0,12.0,72.0,42.0,27.0,8.0,0.261,0.374,0.417,0.79,0.322,0.143,0.222,414.0,0.64,0.261,0.374,0.417,0.79,0.155,6.9,0.1,65,8.5,0.359,118,414.0,0.322,1.86,0.262,0.48,0.258,0.266,0.188,0.337,0.218,0.444,0.128,653.0,959.0,1612.0
Seiya Suzuki,Bobby and the NitWitts (ACTIVE),CHC,Southern League,AA,Yes,31.0,,5.0,6.6,2.8,76.4,95.6,145.7,48.0,71.9,0.0,175.0,79.0,88.8,6.0,14.0,6.0,0.0,5.0,1.0,0.0,0.0,0.429,0.471,0.571,1.042,0.5,0.118,0.176,17.0,0.67,0.429,0.471,0.571,1.042,0.143,2.6,-0.1,4,1.7,0.45,175,17.0,0.5,0.67,0.167,0.333,0.5,0.333,0.0,0.583,0.25,0.167,0.026,33.0,43.0,76.0
Jordan Lawlar,Bobby and the NitWitts (MINORS),ARI,Texas League,AA,No,23.0,,9.0,10.1,4.0,103.7,138.4,14.7,121.8,75.0,317.6,106.0,105.2,103.1,8.2,36.0,9.0,5.0,7.0,7.0,2.0,0.0,0.25,0.27,0.667,0.937,0.222,0.027,0.351,37.0,0.08,0.25,0.27,0.667,0.937,0.417,6.6,0.3,6,1.2,0.384,106,37.0,0.222,0.8,0.182,0.364,0.455,0.1,0.5,0.609,0.304,0.087,0.191,35.0,96.0,131.0
Carson Roccaforte,Bobby and the NitWitts (MINORS),KC,Texas League,AA,No,24.0,,110.0,9.1,4.0,99.4,124.4,67.9,125.5,83.2,139.1,111.0,100.0,96.9,124.9,438.0,110.0,30.0,81.0,80.0,21.0,17.0,0.251,0.333,0.523,0.856,0.295,0.103,0.286,504.0,0.36,0.251,0.333,0.523,0.856,0.272,6.8,-5.2,80,8.7,0.367,111,504.0,0.295,0.73,0.202,0.337,0.461,0.146,0.219,0.515,0.251,0.234,0.146,784.0,1227.0,2011.0
