Player,Position,Status,FPts,FP/G,GP,AB_per_Game,hitter_score,batters_eye_score,barrel_batted_rate,oz_swing_percent,meatball_swing_percent,FPts_7d,FP/G_7d,hitter_score_7d,batters_eye_score_7d,barrel_batted_rate_7d,barrels_7d,oz_swing_percent_7d,meatball_swing_percent_7d,GP_7d,AB_per_Game_7d,Runs_7d,FPts_14d,FP/G_14d,hitter_score_14d,batters_eye_score_14d,barrel_batted_rate_14d,barrels_14d,oz_swing_percent_14d,meatball_swing_percent_14d,GP_14d,AB_per_Game_14d,Runs_14d,FPts_30d,FP/G_30d,hitter_score_30d,batters_eye_score_30d,barrel_batted_rate_30d,barrels_30d,oz_swing_percent_30d,meatball_swing_percent_30d,GP_30d,AB_per_Game_30d,Runs_30d,hitter_score_2025,batters_eye_score_2025,barrel_batted_rate_2025,oz_swing_percent_2025,meatball_swing_percent_2025
Eli White,RF,FA,336.5,3.51,95.86894586894587,1.9923031203566122,-0.14,0.08,6.2,32.7,77.8,30.5,10.17,0.51,0.54,11.11,1.0,33.33,100.0,3.0,4.0,1.0,69.5,6.95,0.58,0.62,9.09,2.0,34.62,100.0,10.0,2.7,3.0,89.5,4.26,0.09,-0.08,8.33,3.0,39.36,88.24,21.0,2.24,7.0,0.62,0.7,9.1,29.6,86.0
Alejandro Kirk,C,FA,433.0,6.28,68.94904458598725,3.4663279445727486,-0.48,0.15,3.8,28.2,72.6,28.5,7.12,-1.06,-1.81,11.11,1.0,25.0,0.0,4.0,3.5,1.0,67.5,7.5,-0.59,-0.81,7.14,2.0,28.81,50.0,9.0,4.11,4.0,194.5,8.84,-0.1,-0.15,6.94,5.0,24.71,60.0,22.0,3.86,10.0,0.42,0.18,10.1,29.1,79.4
Vaughn Grissom,2B,FA,613.0,5.89,104.07470288624788,3.4974877650897227,-0.29,-0.34,7.1,31.7,71.6,17.5,3.5,0.05,0.79,0.0,0.0,28.12,100.0,5.0,3.4,2.0,67.0,6.09,-0.41,-0.87,9.68,3.0,32.0,54.55,11.0,3.91,5.0,141.0,5.88,-0.04,-0.38,9.09,6.0,33.5,70.83,24.0,3.75,11.0,,,,,
J.P. Crawford,SS,FA,524.5,5.09,103.04518664047151,3.4159771210676837,0.44,1.09,5.6,19.0,71.3,12.5,2.5,-0.28,0.3,0.0,0.0,15.62,60.0,5.0,3.8,0.0,66.5,5.54,-0.08,0.79,0.0,0.0,14.44,66.67,12.0,3.08,3.0,69.5,4.34,0.12,1.18,0.0,0.0,13.56,69.23,16.0,3.12,4.0,0.07,0.78,4.9,21.9,76.7
Tyrone Taylor,CF,FA,446.0,4.9,91.0204081632653,2.208295964125561,-0.73,-1.59,9.6,34.5,60.9,10.0,2.5,,,20.0,1.0,30.0,66.67,4.0,2.0,0.0,64.0,8.0,0.57,0.35,11.11,2.0,23.33,71.43,8.0,2.62,4.0,135.0,7.94,-0.34,-0.27,5.41,2.0,31.65,70.0,17.0,2.41,10.0,-0.84,-0.33,3.8,30.4,75.2
Nathan Lukes,RF,FA,552.0,4.93,111.96754563894524,3.259873188405797,-1.21,-0.63,2.5,34.4,71.8,18.0,3.6,-1.26,-1.88,8.33,1.0,45.45,33.33,5.0,3.4,3.0,63.5,5.77,-1.25,-1.23,2.94,1.0,41.54,62.5,11.0,3.91,7.0,168.5,7.02,0.06,0.06,7.04,5.0,29.11,72.73,24.0,3.54,13.0,-0.95,-0.7,4.8,31.5,72.4
John Rave,RF,FA,220.0,5.5,40.0,2.575,1.03,0.86,10.3,26.3,78.4,45.0,9.0,-0.12,0.54,0.0,0.0,33.33,100.0,5.0,3.2,3.0,63.5,7.94,-0.21,0.61,0.0,0.0,25.93,83.33,8.0,3.12,4.0,141.0,7.42,0.28,0.73,4.65,2.0,25.0,80.0,19.0,3.05,13.0,-0.08,0.44,5.5,22.8,73.9
Turner Hill,CF,FA,131.5,5.98,21.989966555183944,2.864942965779468,-0.72,-0.17,3.6,19.7,57.7,10.0,2.5,-0.35,0.2,0.0,0.0,21.43,66.67,4.0,3.75,3.0,63.5,6.35,-0.24,0.56,0.0,0.0,19.12,69.23,10.0,3.6,7.0,131.5,5.98,-0.22,0.15,3.64,2.0,19.73,57.69,22.0,3.05,10.0,,,,,
Wade Meckler,CF,FA,420.0,5.06,83.00395256916997,2.915523809523809,0.07,1.12,3.1,23.2,77.3,9.0,1.8,0.64,1.67,0.0,0.0,10.0,100.0,5.0,2.0,1.0,63.5,5.77,0.8,1.6,3.57,1.0,14.49,88.89,11.0,3.09,6.0,104.5,5.5,0.61,1.59,2.04,1.0,16.41,83.33,19.0,3.16,11.0,,,,,
Carson Kelly,C,FA,639.5,5.81,110.06884681583477,3.152572322126661,0.37,0.97,5.7,24.7,77.5,31.5,6.3,0.48,0.37,12.5,1.0,27.27,83.33,5.0,3.0,2.0,63.0,7.0,1.09,1.33,9.09,2.0,18.37,88.89,9.0,3.44,4.0,137.5,7.24,0.73,1.19,5.88,3.0,21.21,83.33,19.0,3.47,12.0,0.78,0.83,9.6,22.0,77.4
Luis Campusano,C,FA,345.0,5.56,62.05035971223022,2.8364057971014494,1.09,1.02,10.0,28.6,83.3,40.0,8.0,0.42,0.63,8.33,1.0,24.24,87.5,5.0,3.6,2.0,62.5,6.25,0.8,0.43,13.04,3.0,32.0,90.0,10.0,3.4,3.0,92.0,4.84,0.65,0.12,12.5,5.0,32.45,80.0,19.0,3.11,5.0,,,,,
Tyler Stephenson,C,FA,597.0,5.1,117.05882352941177,3.152261306532663,2.05,1.91,12.3,22.6,85.6,21.0,4.2,-0.41,0.1,0.0,0.0,23.53,66.67,5.0,2.8,0.0,61.5,6.15,0.35,0.24,9.52,2.0,22.47,66.67,10.0,3.2,4.0,135.0,5.4,0.46,0.21,10.0,5.0,24.04,66.67,25.0,3.24,9.0,1.45,0.77,14.5,25.2,80.9
Angel Martinez,CF,FA,629.0,6.11,102.94599018003272,3.3318441971383153,-1.03,-1.45,7.1,42.1,72.5,36.0,9.0,-1.43,-1.43,0.0,0.0,45.45,50.0,4.0,4.0,4.0,61.0,6.78,-0.52,0.17,0.0,0.0,32.26,83.33,9.0,3.22,7.0,127.5,6.07,-0.72,-0.32,2.04,1.0,35.71,76.19,21.0,3.29,11.0,-1.28,-0.92,3.5,39.8,80.9
Elias Diaz,C,FA,296.0,3.75,78.93333333333334,2.483108108108108,-0.16,-0.67,9.3,37.4,75.4,6.5,2.17,,,0.0,0.0,50.0,50.0,3.0,2.0,0.0,60.5,6.05,1.01,-0.39,22.22,4.0,40.38,83.33,10.0,2.5,2.0,83.5,3.98,1.13,-0.21,19.44,7.0,35.65,78.57,21.0,2.33,4.0,-0.11,-0.07,7.6,30.1,77.8
Joc Pederson,DH,FA,712.0,5.27,135.10436432637573,2.716418539325842,0.34,-0.44,11.5,29.9,68.1,30.5,6.1,,,20.0,1.0,25.0,,5.0,2.2,1.0,60.5,5.5,0.79,-0.81,23.08,3.0,34.09,60.0,11.0,2.27,4.0,81.0,3.24,0.12,-0.59,12.12,4.0,30.09,60.0,25.0,2.24,7.0,0.21,-0.0,9.5,26.8,74.2
Marcus Semien,2B,FA,649.0,5.11,127.00587084148727,3.5037750385208017,0.24,0.63,6.3,27.8,77.7,33.5,6.7,1.0,1.08,13.33,2.0,22.22,100.0,5.0,3.6,4.0,59.5,5.41,0.3,0.53,6.45,2.0,23.6,76.92,11.0,3.27,7.0,116.5,4.85,-0.1,0.44,2.9,2.0,25.28,74.07,24.0,3.38,8.0,1.03,1.81,6.8,23.5,90.6
Jared Triolo,SS,FA,456.0,4.11,110.94890510948905,2.721973684210526,-0.01,1.15,2.5,25.2,80.2,19.0,3.8,,,0.0,0.0,12.5,100.0,5.0,1.4,1.0,59.0,5.36,0.1,0.28,6.25,1.0,26.19,75.0,11.0,2.0,3.0,98.0,3.92,-0.21,0.44,1.79,1.0,27.69,78.57,25.0,2.64,6.0,0.65,1.38,6.2,24.3,86.7
Yainer Diaz,C,FA,451.5,5.38,83.92193308550186,3.41984496124031,-0.59,-0.61,6.3,43.1,83.6,25.5,5.1,-1.93,-3.12,11.11,1.0,52.0,0.0,5.0,3.0,1.0,58.0,5.8,0.03,-0.66,13.04,3.0,46.55,87.5,10.0,3.3,5.0,115.5,5.25,0.1,-0.34,10.2,5.0,45.79,94.12,22.0,2.91,8.0,-0.66,-1.32,9.6,44.4,82.5
Max Muncy,3B,FA,360.0,4.62,77.92207792207792,3.144166666666667,0.67,0.12,11.2,32.8,78.4,12.0,3.0,-0.31,0.25,0.0,0.0,25.0,75.0,4.0,3.5,0.0,57.5,5.75,0.29,0.14,9.52,2.0,29.69,77.78,10.0,3.0,6.0,115.5,5.25,0.61,0.05,12.5,6.0,28.95,72.22,22.0,3.27,7.0,0.38,0.12,10.1,31.1,81.3
Trevor Story,SS,FA,251.5,4.84,51.96280991735537,3.9643737574552684,-1.67,-1.75,4.3,44.5,72.3,10.0,2.0,-0.6,-0.18,0.0,0.0,48.15,100.0,5.0,4.0,1.0,57.5,5.23,-0.49,-0.64,6.9,2.0,46.97,88.89,11.0,4.09,4.0,57.5,5.23,-0.47,-0.68,6.9,2.0,46.97,88.89,11.0,4.09,4.0,-0.12,-0.58,9.9,35.3,78.9
Nathan Church,CF,FA,625.5,4.89,127.91411042944786,3.009832134292566,-1.0,-1.08,5.7,42.8,77.8,28.0,5.6,-0.21,0.41,0.0,0.0,36.0,100.0,5.0,3.4,1.0,57.0,5.18,-0.43,0.3,0.0,0.0,39.22,100.0,11.0,3.55,6.0,143.5,5.52,-0.46,0.12,1.47,1.0,32.87,80.95,26.0,2.96,11.0,-1.11,-0.42,2.4,36.6,82.4
Andres Gimenez,2B,FA,687.0,5.01,137.125748502994,3.1285152838427948,-1.42,-1.16,3.4,43.3,77.5,31.0,6.2,-0.72,-0.97,7.14,1.0,30.43,40.0,5.0,3.6,1.0,56.5,5.65,-0.78,-0.67,3.85,1.0,40.0,75.0,10.0,3.5,2.0,103.0,5.15,-0.61,-0.4,3.64,2.0,41.53,85.0,20.0,3.4,3.0,-1.33,-0.89,3.0,34.9,74.8
Alika Williams,3B,FA,254.0,3.26,77.91411042944786,2.3872440944881888,-1.33,-0.39,0.7,37.1,78.2,-3.0,-0.6,-0.89,-0.61,0.0,0.0,42.86,75.0,5.0,2.6,0.0,56.5,5.14,-1.03,-0.56,0.0,0.0,37.25,72.73,11.0,3.0,4.0,96.5,4.6,-1.1,-0.58,0.0,0.0,38.14,75.0,21.0,2.9,8.0,,,,,
John Peck,SS,FA,53.5,5.35,10.0,,,,,,,28.0,7.0,-0.53,-0.07,0.0,0.0,45.83,100.0,4.0,3.0,1.0,53.5,5.35,-0.39,-1.01,11.11,2.0,43.1,71.43,10.0,2.7,2.0,53.5,5.35,-0.37,-1.15,11.11,2.0,43.1,71.43,10.0,2.7,2.0,,,,,
Ben Malgeri,RF,FA,182.5,3.8,48.026315789473685,2.0405479452054793,0.34,1.2,4.5,25.9,81.8,10.0,2.0,0.79,1.9,0.0,0.0,5.26,100.0,5.0,1.8,0.0,53.0,4.82,0.64,1.81,0.0,0.0,17.31,100.0,11.0,2.36,3.0,93.5,4.25,0.71,1.05,6.67,2.0,24.53,86.36,22.0,2.23,5.0,,,,,
Ernie Clement,3B,FA,780.0,5.42,143.91143911439116,3.7662051282051277,-1.43,-0.85,2.0,45.0,83.3,15.0,3.0,-0.37,0.17,0.0,0.0,40.91,100.0,5.0,3.2,2.0,53.0,4.82,-1.02,-0.54,0.0,0.0,39.66,77.78,11.0,3.36,5.0,92.5,3.85,-1.7,-1.44,0.0,0.0,47.44,72.73,24.0,3.54,9.0,-1.47,-0.96,2.4,36.4,76.0
