Player,Fantasy Roster,Team,League,Level,Highest League,Age,Draft Class,G,FP/G,IP/G,Age+,FG/G+,K-BB%+,Weak Contact+,xFIP,Pitching Score,Pitching Score_Previous_League,Pitcher Prospect Score,Est FB,W,L,ERA,GS,SV,IP,SO,WHIP,BABIP,BB%,K%,K-BB%,Weak Contact,LD%,GB%,FB%,IFFB%,HR/FB%
Duncan Pastore,Available,NYY,Eastern League,AA,Yes,26.0,,1.0,2.0,0.7,95.2,16.0,0.0,137.1,10.88,120.0,88.40434999680042,111.3,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0
Isaac Lyon,Available,WSH,Eastern League,AA,No,22.0,,15.0,25.3,4.9,112.5,202.0,108.8,105.6,4.21,105.8,118.4759251584901,111.3,60.2,6.0,4.0,3.79,12.0,1.0,73.7,64.0,1.21,0.302,0.059,0.21,0.151,0.771,0.202,0.518,0.28,0.148,0.098
Dedniel Núñez,Available,NYM,Eastern League,AA,No,30.0,,2.0,4.4,1.0,82.5,35.0,103.1,137.1,5.38,130.3,127.853136700128,111.2,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.167,0.0,0.143,0.143,1.0,0.0,0.5,0.5,0.667,0.0
Michael Caldon,Available,BAL,Eastern League,AA,Yes,23.0,,5.0,6.3,1.3,107.6,50.3,0.0,121.8,5.85,109.0,83.23816429425065,110.8,5.3,0.0,1.0,2.84,0.0,0.0,6.3,5.0,1.58,0.263,0.172,0.172,0.0,0.889,0.111,0.611,0.278,0.2,0.0
Micah Ashman,Available,BAL,Eastern League,AA,Yes,23.0,,34.0,12.9,1.4,107.6,102.7,229.2,95.3,2.39,108.9,119.98907566428736,110.7,28.7,2.0,2.0,1.86,1.0,4.0,48.3,77.0,1.14,0.365,0.071,0.389,0.318,0.696,0.276,0.448,0.276,0.138,0.103
Augusto Mendieta,Available,KC,Texas League,AA,Yes,21.0,,37.0,9.4,1.6,116.7,79.9,142.1,96.5,4.35,101.1,108.91724820487198,110.6,43.5,5.0,8.0,5.13,0.0,1.0,59.7,76.0,1.44,0.342,0.106,0.288,0.182,0.695,0.252,0.45,0.298,0.133,0.178
Jack Mahoney,Available,COL,Eastern League,AA,No,24.0,,13.0,30.6,5.2,103.1,244.3,103.1,113.7,4.1,112.2,127.53229326769724,110.5,47.5,7.0,1.0,1.99,13.0,0.0,68.0,64.0,1.26,0.316,0.085,0.228,0.143,0.829,0.16,0.59,0.25,0.34,0.043
Moises Rodriguez,Available,DET,Eastern League,AA,Yes,24.0,,28.0,9.4,1.5,103.1,75.2,68.5,117.7,5.07,112.2,89.10030069381367,110.5,32.3,3.0,1.0,3.02,0.0,2.0,41.7,35.0,1.06,0.206,0.112,0.207,0.095,0.859,0.113,0.585,0.302,0.063,0.094
Lucas Mahlstedt,Available,LAA,Southern League,AA,Yes,23.0,,40.0,9.0,1.4,107.3,69.9,147.2,104.7,4.03,108.8,143.23869208707077,110.5,47.3,3.0,1.0,3.44,0.0,0.0,55.0,62.0,1.25,0.336,0.079,0.272,0.193,0.768,0.211,0.458,0.331,0.404,0.064
Caden Hunter,Hand Foot Mouth Disease Guys (MINORS),BAL,Eastern League,AA,Yes,22.0,,6.0,34.3,5.2,112.5,274.0,171.5,96.7,3.64,104.3,105.3298328364742,110.4,24.7,2.0,2.0,3.48,6.0,0.0,31.0,45.0,1.19,0.299,0.108,0.346,0.238,0.706,0.25,0.382,0.368,0.24,0.12
Matt Jachec,Available,CLE,Eastern League,AA,No,24.0,,18.0,12.0,1.5,103.1,95.9,175.1,104.6,3.82,111.5,163.18205351225808,110.0,21.0,2.0,0.0,2.05,0.0,1.0,26.3,36.0,0.99,0.236,0.093,0.336,0.243,0.763,0.182,0.436,0.382,0.19,0.143
Miguel Mendez,Available,SF,Eastern League,AA,Yes,23.0,,3.0,17.0,3.0,107.6,135.8,166.5,101.3,4.53,107.8,139.37373524041976,110.0,11.0,0.0,0.0,4.0,3.0,0.0,9.0,12.0,1.33,0.391,0.077,0.308,0.231,0.739,0.261,0.261,0.478,0.273,0.0
JT Quinn,Available,BAL,Eastern League,AA,Yes,22.0,,4.0,28.2,4.5,112.5,225.2,92.2,105.0,3.66,103.6,109.69506569087396,109.9,5.9,2.0,0.0,2.5,4.0,0.0,18.0,20.0,1.39,0.283,0.128,0.256,0.128,0.766,0.191,0.681,0.128,0.333,0.333
Jared Jones,Lászlaró Tóth (ACTIVE),PIT,Eastern League,AA,No,24.0,,2.0,26.0,4.2,103.1,207.7,202.5,101.0,2.79,111.1,167.5,109.8,5.0,0.0,0.0,2.16,2.0,0.0,8.3,11.0,0.96,0.316,0.063,0.344,0.281,0.737,0.263,0.474,0.263,0.0,0.0
Jacob Kmatz,Available,LAD,Southern League,AA,Yes,23.0,,15.0,12.1,1.6,107.3,93.9,198.4,97.3,3.32,107.5,113.52648732030964,109.6,19.3,2.0,1.0,3.65,0.0,2.0,24.7,29.0,0.93,0.241,0.042,0.302,0.26,0.714,0.206,0.46,0.333,0.238,0.238
David Hagaman,Available,ARI,Texas League,AA,Yes,23.0,,6.0,32.2,5.1,106.6,274.3,198.3,97.7,3.58,107.8,107.4498023152629,109.5,24.3,1.0,2.0,2.97,6.0,0.0,30.3,43.0,1.29,0.362,0.087,0.341,0.254,0.704,0.254,0.394,0.352,0.24,0.12
Tanner Bauman,Available,ATL,Eastern League,AA,Yes,24.0,,1.0,20.2,2.3,103.1,161.8,80.0,114.2,5.55,110.3,95.1423646428852,109.2,3.0,1.0,0.0,0.0,0.0,0.0,2.3,2.0,1.29,0.333,0.111,0.222,0.111,0.833,0.167,0.333,0.5,0.0,0.0
Dalton Pence,Available,TEX,Texas League,AA,No,23.0,,11.0,28.7,5.0,106.6,244.1,128.0,105.3,4.94,107.4,118.06264335161336,109.2,58.4,2.0,2.0,2.77,10.0,0.0,55.3,61.0,1.21,0.27,0.099,0.263,0.164,0.759,0.2,0.386,0.414,0.467,0.1
Joseph Dzierwa,The Hot and Steamy Boys (MINORS),BAL,Eastern League,AA,Yes,22.0,,17.0,29.1,5.0,112.5,232.4,162.1,95.6,3.8,102.4,116.88942784645778,109.1,73.3,3.0,1.0,2.43,15.0,0.0,85.3,95.0,0.96,0.268,0.056,0.281,0.225,0.698,0.274,0.382,0.344,0.205,0.082
Estibenzon Jimenez,Available,PHI,Eastern League,AA,Yes,24.0,,26.0,11.9,1.1,103.1,95.2,126.8,108.0,4.06,109.6,97.76202670735458,108.7,23.2,5.0,0.0,2.12,0.0,7.0,29.7,34.0,1.25,0.284,0.084,0.26,0.176,0.788,0.175,0.538,0.287,0.043,0.13
Steven Echavarria,Available,ATH,Texas League,AA,Yes,20.0,,4.0,26.7,4.7,122.6,227.3,182.7,82.8,3.73,93.3,97.3429765876445,108.6,15.7,1.0,0.0,5.3,4.0,0.0,18.7,24.0,1.55,0.417,0.062,0.296,0.234,0.596,0.327,0.346,0.327,0.176,0.235
Esmerlin Vinicio,Available,SF,Eastern League,AA,Yes,23.0,,6.0,12.5,1.9,107.6,100.2,54.0,111.6,5.93,105.5,103.8173138431924,108.4,12.4,1.0,0.0,4.63,0.0,0.0,11.7,14.0,1.29,0.179,0.189,0.264,0.075,0.814,0.185,0.37,0.444,0.083,0.0
Mavis Graves,Available,PHI,Eastern League,AA,Yes,22.0,,12.0,13.3,1.4,112.5,106.2,138.4,97.2,4.06,101.4,106.61869977402412,108.4,9.0,1.0,0.0,1.08,0.0,1.0,16.7,27.0,1.32,0.29,0.178,0.37,0.192,0.709,0.29,0.419,0.29,0.444,0.0
Juan Rojas,Available,BAL,Eastern League,AA,Yes,22.0,,17.0,7.2,1.4,112.5,57.5,77.8,103.9,5.67,101.1,87.93689163931707,108.3,24.4,0.0,1.0,6.66,1.0,0.0,24.3,33.0,1.77,0.349,0.165,0.273,0.108,0.758,0.226,0.387,0.387,0.167,0.042
Ruddy Gomez,Available,MIN,Texas League,AA,No,26.0,,13.0,14.3,1.6,94.3,122.0,224.9,104.2,2.78,116.1,163.08817712661642,108.2,11.2,0.0,0.0,3.0,0.0,3.0,21.0,34.0,1.29,0.367,0.074,0.362,0.288,0.75,0.208,0.563,0.229,0.273,0.182
Yunior Marte,Available,SFG,Eastern League,AA,Yes,22.0,,13.0,26.0,4.9,112.5,208.0,131.9,97.6,4.06,101.1,104.91937067866628,108.2,56.9,2.0,4.0,3.92,13.0,0.0,64.3,72.0,1.34,0.327,0.081,0.264,0.183,0.712,0.241,0.425,0.333,0.121,0.138
Luke Stofel,Available,DET,Eastern League,AA,Yes,24.0,,1.0,-0.2,1.0,103.1,-2.0,103.1,109.6,3.45,108.7,96.73213077876474,108.1,1.2,0.0,0.0,9.0,0.0,0.0,1.0,1.0,3.0,0.5,0.0,0.143,0.143,0.8,0.2,0.6,0.2,0.0,0.0
Jackson Brockett,Available,CHC,Southern League,AA,Yes,23.0,,4.0,13.1,2.8,107.3,101.7,58.7,110.8,4.25,105.3,114.54904500218755,108.1,3.9,1.0,1.0,8.18,1.0,0.0,11.0,12.0,1.82,0.355,0.154,0.231,0.077,0.813,0.156,0.719,0.125,0.5,0.25
Gage Wood,Lászlaró Tóth (MINORS),PHI,Eastern League,AA,Yes,22.0,,16.0,23.6,4.0,112.5,188.5,198.9,89.4,3.07,100.6,117.24173316343692,107.9,43.4,0.0,3.0,4.81,16.0,0.0,63.7,94.0,1.29,0.349,0.065,0.341,0.276,0.652,0.265,0.439,0.297,0.109,0.283
Mathias LaCombe,Available,CHW,Southern League,AA,Yes,24.0,,14.0,8.3,1.2,102.8,64.2,117.5,107.1,5.28,108.0,122.42964208550814,107.5,15.6,0.0,0.0,6.48,1.0,0.0,16.7,22.0,1.44,0.317,0.128,0.282,0.154,0.786,0.19,0.429,0.381,0.063,0.063
Ryan Jensen,Available,CHC,Southern League,AA,No,28.0,,1.0,3.0,1.0,88.1,23.2,0.0,136.3,5.47,120.0,93.13294582618454,107.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.667,0.333,0.0,0.0
Nathan Blasick,Available,COL,Eastern League,AA,Yes,25.0,,10.0,5.1,1.3,99.0,40.7,10.8,123.0,5.81,111.1,106.45344740980674,107.4,8.8,0.0,2.0,5.54,0.0,0.0,13.0,12.0,2.0,0.368,0.175,0.19,0.015,0.897,0.077,0.692,0.231,0.222,0.111
Tucker Musgrove,Available,SD,Texas League,AA,Yes,24.0,,15.0,8.1,1.0,102.1,68.7,184.3,100.0,4.33,108.4,125.32189536064293,107.4,12.0,0.0,2.0,2.93,0.0,1.0,15.3,28.0,1.3,0.28,0.176,0.412,0.236,0.72,0.24,0.28,0.48,0.417,0.083
Colby Langford,Available,HOU,Texas League,AA,Yes,24.0,,6.0,5.5,0.9,102.1,46.8,144.4,104.1,6.1,108.0,95.56318033610802,107.1,8.7,0.0,0.0,3.38,0.0,0.0,5.3,9.0,1.88,0.462,0.148,0.333,0.185,0.75,0.25,0.083,0.667,0.125,0.0
Noah Murdock,Available,PIT,Eastern League,AA,No,27.0,,9.0,10.8,1.5,91.7,86.5,122.5,116.3,3.54,116.4,111.18468713597264,107.0,4.9,2.0,1.0,4.61,1.0,1.0,13.7,14.0,1.02,0.25,0.094,0.264,0.17,0.849,0.121,0.727,0.152,0.2,0.2
Jake Bloss,Available,TOR,Eastern League,AA,No,25.0,,1.0,19.5,3.7,99.0,155.8,180.2,102.8,3.99,110.5,108.58257005714376,107.0,3.5,0.0,1.0,7.36,1.0,0.0,3.7,6.0,1.64,0.429,0.125,0.375,0.25,0.75,0.125,0.375,0.5,0.25,0.25
Lucas Kelly,Available,SEA,Texas League,AA,Yes,22.0,,15.0,8.4,1.3,111.4,71.5,149.1,94.5,5.09,100.1,106.87521399028968,107.0,24.5,0.0,1.0,5.03,0.0,1.0,19.7,26.0,1.32,0.304,0.119,0.31,0.191,0.68,0.277,0.191,0.532,0.32,0.08
Rory Fox,Available,NYY,Eastern League,AA,Yes,22.0,,7.0,25.0,5.7,112.5,200.0,103.8,98.7,4.13,99.2,97.8604800021269,107.0,33.0,1.0,1.0,4.73,6.0,0.0,40.0,35.0,1.38,0.336,0.058,0.202,0.144,0.72,0.256,0.48,0.264,0.212,0.091
Sawyer Hawks,Available,ARI,Texas League,AA,Yes,23.0,,10.0,10.2,1.4,106.6,86.7,118.7,102.2,4.54,103.8,100.37704909770096,106.8,10.4,1.0,0.0,2.57,0.0,1.0,14.0,17.0,1.36,0.281,0.136,0.288,0.152,0.736,0.206,0.471,0.324,0.273,0.182
Channing Austin,Available,NYM,Eastern League,AA,Yes,24.0,,7.0,11.4,2.5,103.1,90.7,87.2,109.0,5.78,106.6,108.41082850495852,106.7,22.0,0.0,1.0,4.67,7.0,0.0,17.3,18.0,1.27,0.273,0.122,0.243,0.121,0.795,0.182,0.318,0.5,0.409,0.045
Victor Diaz,Available,CIN,Southern League,AA,Yes,23.0,,6.0,4.7,1.5,107.3,36.1,32.0,111.5,7.52,103.2,110.49648980526642,106.7,16.0,0.0,2.0,10.0,0.0,0.0,9.0,8.0,2.22,0.424,0.125,0.167,0.042,0.818,0.182,0.333,0.485,0.313,0.0
Daniel Guerra,Available,TOR,Eastern League,AA,No,22.0,,3.0,12.0,1.3,112.5,95.9,360.3,68.6,1.24,98.7,101.21668276795396,106.7,2.5,0.0,0.0,2.25,0.0,0.0,4.0,9.0,1.0,0.4,0.063,0.563,0.5,0.5,0.333,0.167,0.5,0.0,0.333
Jake Irvin,Available,WSH,Eastern League,AA,Yes,29.0,,2.0,25.8,4.2,85.3,205.7,198.9,112.8,3.05,121.0,97.56498902828594,106.6,4.2,0.0,0.0,0.0,2.0,0.0,8.3,9.0,0.24,0.056,0.034,0.31,0.276,0.823,0.176,0.588,0.235,0.25,0.0
Andrew Sears,Available,DET,Eastern League,AA,No,23.0,,9.0,21.2,3.9,107.6,169.8,120.3,100.7,4.67,102.6,97.78624516071936,106.6,37.0,2.0,2.0,2.57,7.0,0.0,35.0,35.0,1.11,0.277,0.076,0.243,0.167,0.735,0.245,0.362,0.394,0.243,0.054
Nolan Perry,Bobby and the NitWitts (MINORS),TOR,Eastern League,AA,Yes,22.0,,8.0,19.3,3.4,112.5,154.3,127.6,95.3,4.33,98.7,104.47858377218648,106.6,20.9,0.0,1.0,2.67,8.0,0.0,27.0,33.0,1.11,0.232,0.131,0.308,0.177,0.695,0.254,0.373,0.373,0.273,0.136
Alex Young,Available,WSH,Eastern League,AA,No,32.0,,2.0,14.8,1.2,77.3,117.8,450.4,91.4,-0.69,127.6,82.01044968889782,106.5,0.0,1.0,0.0,0.0,1.0,0.0,2.3,5.0,0.86,0.667,0.0,0.625,0.625,0.667,0.333,0.667,0.0,0.0,0.0
Ben Johnson,Available,CHC,Southern League,AA,Yes,24.0,,2.0,12.9,2.5,102.8,99.7,103.8,107.1,5.44,106.5,101.10342886722574,106.5,7.0,1.0,0.0,5.4,0.0,0.0,5.0,5.0,1.4,0.286,0.091,0.227,0.136,0.786,0.143,0.357,0.5,0.286,0.143
Brooks Caple,Available,CHC,Southern League,AA,Yes,23.0,,16.0,25.7,5.0,107.3,199.0,128.2,99.9,4.62,102.8,115.39289414350768,106.5,83.2,4.0,4.0,3.38,15.0,0.0,80.0,77.0,1.1,0.275,0.076,0.244,0.168,0.733,0.228,0.364,0.408,0.167,0.095
Blake Burkhalter,Available,ATL,Southern League,AA,No,25.0,,6.0,8.4,1.1,98.7,65.2,199.1,99.9,3.33,109.9,100.25175124445066,106.4,5.0,0.0,0.0,0.0,0.0,0.0,6.3,7.0,0.95,0.333,0.043,0.304,0.261,0.733,0.267,0.4,0.333,0.0,0.0
Cedric De Grandpre,Available,ATL,Southern League,AA,No,24.0,,6.0,34.5,5.2,102.8,267.2,164.8,99.8,3.48,106.3,99.0772013649648,106.3,15.8,4.0,1.0,3.48,6.0,0.0,31.0,39.0,1.03,0.271,0.096,0.312,0.216,0.732,0.254,0.521,0.225,0.25,0.063
Bernard Jose,Available,SD,Texas League,AA,Yes,23.0,,16.0,9.2,1.7,106.6,78.3,64.0,107.7,5.85,103.1,81.52260269941374,106.3,30.3,1.0,0.0,5.67,0.0,1.0,27.0,24.0,1.48,0.282,0.116,0.198,0.082,0.776,0.175,0.438,0.388,0.29,0.129
Devin Futrell,Available,BOS,Eastern League,AA,Yes,23.0,,5.0,30.4,5.6,107.6,243.3,160.7,95.5,3.94,102.2,99.38494042845224,106.3,30.2,2.0,0.0,4.5,5.0,0.0,28.0,30.0,1.39,0.393,0.025,0.248,0.223,0.697,0.267,0.372,0.36,0.194,0.097
Eriq Swan,Available,WSH,Eastern League,AA,Yes,24.0,,6.0,9.8,1.7,103.1,78.2,119.6,104.4,4.01,105.8,95.85115131483356,106.2,6.0,0.0,0.0,4.5,2.0,0.0,10.0,14.0,1.3,0.286,0.167,0.333,0.166,0.762,0.238,0.476,0.286,0.5,0.0
Cole Hertzler,Available,HOU,Texas League,AA,Yes,23.0,,12.0,15.8,3.4,106.6,134.7,82.0,105.5,5.91,102.9,113.81187501559484,106.2,44.3,1.0,3.0,4.2,11.0,0.0,40.7,39.0,1.2,0.194,0.123,0.228,0.105,0.76,0.154,0.394,0.452,0.255,0.191
Kelena Sauer,Available,TOR,Eastern League,AA,Yes,23.0,,30.0,6.9,1.3,107.6,54.9,92.2,103.4,5.23,102.2,107.86967111183247,106.2,42.6,1.0,4.0,7.26,0.0,3.0,39.7,40.0,1.59,0.331,0.086,0.214,0.128,0.754,0.18,0.459,0.361,0.136,0.182
Brock Moore,Available,BAL,Eastern League,AA,Yes,26.0,,9.0,10.8,1.3,95.2,86.1,137.6,109.6,3.68,112.2,136.13726407461002,106.1,7.0,2.0,1.0,6.35,0.0,1.0,11.3,15.0,1.41,0.36,0.128,0.319,0.191,0.8,0.16,0.56,0.28,0.286,0.143
Aidan Curry,Available,TEX,Texas League,AA,No,23.0,,14.0,25.8,4.8,106.6,219.8,134.3,99.2,4.35,102.8,99.53821049244613,106.1,52.0,3.0,3.0,5.64,13.0,0.0,67.0,83.0,1.36,0.327,0.12,0.292,0.172,0.715,0.261,0.418,0.321,0.189,0.075
Cody Adcock,Available,CIN,Southern League,AA,Yes,24.0,,22.0,12.8,1.6,102.8,99.1,123.6,103.9,4.71,105.8,113.11040410441488,106.0,31.2,5.0,2.0,3.6,0.0,4.0,35.0,45.0,1.26,0.244,0.13,0.292,0.162,0.762,0.19,0.429,0.381,0.188,0.125
Danny Thompson Jr.,Available,TOR,Eastern League,AA,Yes,23.0,,12.0,23.2,4.4,107.6,185.6,132.6,98.4,4.4,101.8,106.48986893689408,106.0,50.3,1.0,3.0,3.06,11.0,0.0,53.0,56.0,1.08,0.265,0.074,0.258,0.184,0.718,0.246,0.384,0.37,0.196,0.098
Michael Perez,Available,MIA,Southern League,AA,Yes,23.0,,5.0,6.3,1.4,107.3,49.2,218.2,88.6,2.91,101.9,99.25240974791885,105.9,5.4,0.0,0.0,5.14,0.0,0.0,7.0,8.0,1.0,0.278,0.0,0.286,0.286,0.65,0.25,0.45,0.3,0.0,0.333
Justin Campbell,Available,CLE,Eastern League,AA,No,25.0,,9.0,23.6,4.1,99.0,188.6,103.8,109.4,4.31,108.6,122.51397965391148,105.8,26.4,1.0,2.0,2.7,9.0,0.0,36.7,44.0,1.25,0.271,0.145,0.289,0.144,0.798,0.19,0.5,0.31,0.423,0.038
Steven Brooks,Available,BOS,Eastern League,AA,Yes,23.0,,8.0,9.8,1.9,107.6,78.1,60.5,106.2,5.42,101.5,106.48418575566096,105.8,12.0,1.0,1.0,4.2,2.0,0.0,15.0,17.0,1.67,0.325,0.155,0.239,0.084,0.775,0.2,0.5,0.3,0.583,0.083
Koen Moreno,Available,CHC,Southern League,AA,Yes,24.0,,4.0,8.2,2.2,102.8,63.9,17.5,115.4,6.67,105.2,99.02199202862516,105.6,11.6,0.0,0.0,7.0,1.0,0.0,9.0,8.0,1.78,0.28,0.167,0.19,0.023,0.847,0.077,0.462,0.462,0.25,0.167
Josh Randall,Available,WSH,Eastern League,AA,Yes,23.0,,16.0,23.6,5.0,107.6,188.6,95.1,101.8,4.67,101.1,101.49580544910962,105.6,66.8,4.0,6.0,5.45,13.0,1.0,79.3,77.0,1.37,0.29,0.089,0.221,0.132,0.743,0.187,0.505,0.308,0.273,0.227
Pierce George,Available,CHW,Southern League,AA,Yes,23.0,,23.0,9.1,1.3,107.3,70.8,98.4,101.7,5.33,101.4,109.90692988751036,105.5,31.2,5.0,2.0,5.59,0.0,1.0,29.0,32.0,1.41,0.286,0.115,0.244,0.129,0.746,0.203,0.392,0.405,0.25,0.125
Jackson Cox,Available,COL,Eastern League,AA,Yes,22.0,,8.0,27.4,4.9,112.5,219.2,110.3,95.0,5.16,96.7,105.46557281947024,105.3,40.2,2.0,3.0,4.15,8.0,0.0,39.0,47.0,1.28,0.247,0.134,0.287,0.153,0.693,0.231,0.297,0.473,0.256,0.163
Michael Kennedy,Available,CLE,Eastern League,AA,Yes,21.0,,7.0,11.8,2.0,117.9,94.2,96.6,91.4,4.46,92.2,103.99233013539336,105.3,10.7,1.0,1.0,3.77,0.0,0.0,14.3,16.0,1.4,0.314,0.133,0.267,0.134,0.667,0.306,0.389,0.306,0.091,0.091
Gabe Davis,Available,NYM,Southern League,AA,Yes,22.0,,10.0,12.3,3.5,112.1,95.3,92.3,97.2,5.36,96.8,109.38053324510368,105.2,39.8,0.0,5.0,8.31,10.0,0.0,34.7,37.0,1.85,0.36,0.102,0.223,0.121,0.713,0.185,0.417,0.398,0.233,0.256
Yondrei Rojas,Available,TOR,Eastern League,AA,No,23.0,,35.0,7.4,1.2,107.6,59.5,80.7,102.8,5.26,100.5,167.5,105.1,44.6,5.0,4.0,5.53,0.0,4.0,42.3,38.0,1.42,0.309,0.091,0.203,0.112,0.75,0.21,0.427,0.363,0.156,0.111
Justin Lamkin,Available,KC,Texas League,AA,Yes,22.0,,2.0,36.1,5.7,111.4,307.7,217.8,83.3,3.24,97.3,101.40220793067554,105.1,7.4,1.0,1.0,3.97,2.0,0.0,11.3,15.0,0.97,0.261,0.07,0.349,0.279,0.6,0.32,0.36,0.32,0.625,0.25
Aidan Foeller,Available,LAD,Texas League,AA,Yes,24.0,,7.0,23.3,3.8,102.1,198.3,108.5,104.6,4.89,104.8,112.29236072404936,105.0,20.7,2.0,1.0,1.37,5.0,0.0,26.3,29.0,1.37,0.309,0.113,0.252,0.139,0.753,0.217,0.478,0.304,0.238,0.095
Ryan Degges,Available,CLE,Eastern League,AA,Yes,23.0,,6.0,21.1,4.5,107.6,168.8,67.7,104.1,5.27,100.4,87.4673500917727,105.0,27.4,0.0,0.0,3.33,6.0,0.0,27.0,25.0,1.37,0.289,0.12,0.214,0.094,0.76,0.227,0.413,0.36,0.185,0.037
Ben Hansen,Available,ATH,Texas League,AA,Yes,24.0,,9.0,23.4,3.9,102.1,199.2,103.8,105.0,4.77,104.7,100.96632280025588,104.9,24.3,3.0,0.0,2.57,4.0,0.0,35.0,35.0,1.09,0.253,0.113,0.246,0.133,0.756,0.244,0.477,0.279,0.167,0.0
Jacob Edwards,Available,CIN,Southern League,AA,Yes,25.0,,2.0,10.1,2.7,98.7,78.4,66.4,112.2,5.7,107.3,97.25721077210486,104.7,6.2,0.0,1.0,3.38,0.0,0.0,5.3,4.0,1.31,0.2,0.087,0.174,0.087,0.823,0.059,0.529,0.412,0.143,0.286
Luis Martinez-Gomez,Available,CHC,Southern League,AA,Yes,23.0,,12.0,19.9,3.9,107.3,154.3,103.0,99.7,5.19,100.1,135.33038677940758,104.7,46.6,1.0,3.0,4.86,8.0,2.0,46.3,48.0,1.25,0.239,0.105,0.24,0.135,0.732,0.195,0.407,0.398,0.184,0.184
Evan Yates,Available,BAL,Eastern League,AA,Yes,23.0,,20.0,19.7,4.6,107.6,157.1,69.2,103.4,5.61,99.9,99.123666271045,104.7,106.8,4.0,6.0,5.2,19.0,0.0,91.7,80.0,1.41,0.284,0.096,0.192,0.096,0.754,0.21,0.406,0.384,0.25,0.093
P.J. Labriola,Available,BOS,Eastern League,AA,Yes,25.0,,1.0,14.5,1.3,99.0,115.8,144.1,102.8,3.49,106.9,85.56834629989633,104.6,1.0,1.0,0.0,0.0,0.0,0.0,1.3,1.0,1.5,0.5,0.0,0.2,0.2,0.75,0.25,0.5,0.25,0.0,0.0
Teddy McGraw,Available,SEA,Texas League,AA,Yes,24.0,,24.0,6.3,1.2,102.1,53.3,88.2,106.3,4.94,104.3,107.70755875137029,104.6,20.9,3.0,1.0,4.71,0.0,1.0,28.7,22.0,1.15,0.26,0.078,0.191,0.113,0.765,0.185,0.543,0.272,0.136,0.182
Nate Snead,Available,LAA,Southern League,AA,Yes,22.0,,15.0,17.7,4.4,112.1,137.1,71.0,98.8,5.46,96.0,118.8398249421241,104.6,75.6,3.0,5.0,4.61,15.0,0.0,66.3,47.0,1.24,0.258,0.076,0.169,0.093,0.724,0.227,0.391,0.382,0.228,0.127
Brett Sears,Available,ATL,Southern League,AA,No,26.0,,17.0,32.9,5.6,94.9,254.9,182.3,102.0,3.52,110.0,163.9419987295689,104.5,74.1,5.0,4.0,3.33,15.0,0.0,94.7,113.0,1.08,0.304,0.058,0.297,0.239,0.749,0.209,0.47,0.322,0.189,0.135
Jonatan Bernal,Available,ARI,Texas League,AA,No,24.0,,13.0,17.9,2.5,102.1,152.7,178.0,95.7,3.53,104.0,157.0364034138974,104.5,17.3,2.0,1.0,2.51,2.0,2.0,32.3,37.0,0.87,0.211,0.073,0.301,0.228,0.689,0.257,0.5,0.243,0.389,0.222
Junior Sanchez,Available,ARI,Texas League,AA,Yes,20.0,,15.0,22.3,4.5,122.6,189.8,107.7,84.4,4.89,87.2,113.65534926027654,104.5,61.8,5.0,3.0,5.61,15.0,0.0,67.3,70.0,1.53,0.333,0.103,0.241,0.138,0.608,0.317,0.333,0.349,0.197,0.212
Darien Smith,Available,SF,Eastern League,AA,No,26.0,,7.0,26.1,4.5,95.2,208.6,84.3,112.8,4.84,109.6,106.52372516954614,104.4,25.7,4.0,1.0,2.84,5.0,0.0,31.7,30.0,1.11,0.218,0.117,0.234,0.117,0.823,0.139,0.532,0.329,0.154,0.115
Jake Garland,Available,ATH,Texas League,AA,No,25.0,,19.0,9.9,1.5,98.1,84.6,110.9,107.0,4.61,107.2,97.02600017738172,104.3,26.6,5.0,0.0,2.48,0.0,0.0,29.0,23.0,1.14,0.292,0.05,0.192,0.142,0.771,0.218,0.483,0.299,0.077,0.038
Abraham Parra,Available,SD,Texas League,AA,Yes,20.0,,2.0,3.9,2.8,122.6,33.0,-25.0,99.3,7.02,86.8,97.952523080124,104.3,6.3,0.0,2.0,11.12,2.0,0.0,5.7,4.0,2.29,0.364,0.161,0.129,-0.032,0.715,0.286,0.429,0.286,0.333,0.0
Logan Mercado,Available,ARI,Texas League,AA,No,24.0,,28.0,11.8,1.8,102.1,100.2,149.1,98.5,4.11,103.6,110.40685178541112,104.2,40.1,5.0,2.0,4.76,1.0,1.0,51.0,63.0,1.41,0.344,0.095,0.286,0.191,0.709,0.237,0.45,0.313,0.098,0.171
Drue Hackenberg,Available,ATL,Southern League,AA,No,24.0,,4.0,29.9,5.0,102.8,231.9,141.1,98.9,4.34,103.1,121.06951172888114,104.2,15.0,2.0,0.0,0.9,4.0,0.0,20.0,17.0,0.65,0.176,0.039,0.224,0.185,0.725,0.255,0.451,0.294,0.0,0.067
