Player,Fantasy Roster,Team,League,Level,Highest League,Age,Draft Class,G,FP/G,IP/G,Age+,FG/G+,K-BB%+,Weak Contact+,xFIP,Pitching Score,Pitching Score_Previous_League,Pitcher Prospect Score,Est FB,W,L,ERA,GS,SV,IP,SO,WHIP,BABIP,BB%,K%,K-BB%,Weak Contact,LD%,GB%,FB%,IFFB%,HR/FB%
Adriano Marrero,Available,LAD,California League,A,Yes,18.0,,1.0,5.8,2.0,121.6,46.9,-116.9,132.7,6.73,106.7,94.99150004176067,117.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.5,0.0,0.143,0.0,-0.143,1.0,0.0,0.833,0.167,1.0,0.0
Landon Harmon,Available,WSH,Carolina League,A,Yes,19.0,,12.0,17.9,3.3,114.9,137.0,125.1,110.6,3.91,111.8,105.5414432418741,116.6,25.2,1.0,1.0,1.6,12.0,0.0,39.3,38.0,0.94,0.198,0.105,0.248,0.143,0.821,0.158,0.579,0.263,0.2,0.08
Kelvis Salcedo,Available,DET,Florida State League,A,Yes,20.0,,12.0,18.7,3.0,109.7,156.3,247.2,100.9,2.46,115.5,50.491136760453614,116.3,15.6,0.0,3.0,3.53,10.0,0.0,35.7,54.0,1.15,0.337,0.066,0.355,0.289,0.738,0.225,0.588,0.188,0.4,0.2
Juan Reyes,Available,WSH,Carolina League,A,Yes,21.0,,6.0,26.0,3.9,103.9,198.7,202.1,110.0,3.66,119.0,110.7536068183953,115.4,24.6,3.0,0.0,1.52,5.0,0.0,23.7,25.0,0.89,0.254,0.044,0.275,0.231,0.817,0.15,0.433,0.417,0.24,0.08
Harrison Bodendorf,Available,CLE,Carolina League,A,No,22.0,,7.0,27.8,4.4,99.2,213.0,206.5,112.3,3.32,121.4,101.47404421796044,114.4,23.7,0.0,0.0,2.35,6.0,0.0,30.7,43.0,1.08,0.277,0.114,0.35,0.236,0.834,0.152,0.485,0.364,0.167,0.042
Adrian Ardines,Available,HOU,Carolina League,A,Yes,19.0,,5.0,22.2,3.9,114.9,169.9,151.4,103.4,3.65,108.1,109.99297607305664,114.2,12.3,0.0,1.0,5.03,5.0,0.0,19.7,28.0,1.42,0.295,0.149,0.322,0.173,0.767,0.186,0.535,0.279,0.083,0.167
Daniel Brooks,Available,ATL,Carolina League,A,No,23.0,,13.0,20.3,2.1,94.9,155.3,334.2,101.1,1.95,124.4,94.30591648367589,114.0,17.0,2.0,0.0,0.65,1.0,3.0,27.7,46.0,0.76,0.271,0.069,0.451,0.382,0.75,0.229,0.417,0.354,0.294,0.059
Branneli Franco,Available,STL,Florida State League,A,Yes,19.0,,4.0,19.9,3.8,115.5,166.4,129.1,104.9,5.0,107.2,76.02762797358096,113.9,14.3,0.0,1.0,3.0,2.0,0.0,15.0,15.0,1.13,0.256,0.076,0.227,0.151,0.767,0.167,0.467,0.367,0.0,0.182
Jonathan Rosario,Available,MIA,Florida State League,A,Yes,19.0,,8.0,5.3,1.1,115.5,44.6,59.9,112.5,6.62,106.9,102.16070151740476,113.7,3.8,0.0,1.0,5.19,0.0,0.0,8.7,12.0,1.73,0.313,0.209,0.279,0.07,0.823,0.118,0.647,0.235,0.5,0.25
Kaleb Wing,Available,CHC,Carolina League,A,Yes,19.0,,6.0,16.9,2.7,114.9,129.2,144.4,103.1,4.49,107.1,100.90245648541588,113.5,14.4,0.0,2.0,2.76,6.0,0.0,16.3,24.0,1.41,0.314,0.164,0.329,0.165,0.765,0.235,0.353,0.412,0.286,0.0
