Source League ID,League Name,League Level,Age,Players,Total G,Total IP,Total TBF,FGPts_per_game,K_BB_pct,Weak_Contact,xFIP,BB_pct,Average Age
8,California League,A,26,13.0,93.0,173.33333333333331,799.0,11.327956989247312,0.10880600902377972,0.7799055488238505,5.233943014557324,0.13742748050890582,26
8,California League,A,27,8.0,18.0,18.666666666666664,78.0,9.13888888888889,0.20507692192307692,0.8719093404615385,4.806124655859274,0.21948780439024393,27
8,California League,A,28,4.0,4.0,9.0,43.0,8.375,0.13965116279069767,0.7286476279069768,5.69,0.11546153846153845,28
8,California League,A,29,2.0,3.0,3.3333333333333335,11.0,3.25,-0.09090909090909091,0.9999999992727272,6.601788173200219,0.125,29
8,California League,A,30,2.0,3.0,7.0,40.0,-1.25,0.0,0.41533999999999993,6.8315,0.049699999999999994,30
8,California League,A,31,1.0,2.0,7.0,33.0,19.125,0.182,0.8420000000000001,5.23,0.121,31
8,California League,A,32,3.0,7.0,8.0,29.0,9.964285714285714,0.3448275855172414,0.6743295016206897,2.6171942657780374,0.1,32
8,California League,A,33,2.0,3.0,5.666666666666666,24.0,11.833333333333334,0.291,0.775,3.065,0.056,33
8,California League,A,34,1.0,6.0,5.666666666666667,23.0,6.291666666666667,0.348,0.769,3.3099999999999996,,34
8,California League,A,36,1.0,1.0,1.0,4.0,3.5,0.25,0.666666666,2.871954318881035,,36
8,California League,A,38,1.0,1.0,1.0,4.0,5.75,0.25,1.0,4.610855308175087,,38
8,California League,A,39,1.0,2.0,2.0,9.0,8.75,0.333,0.6659999999999999,2.81,0.111,39
9,Carolina League,A,17,1.0,6.0,22.666666666666668,96.0,18.333333333333332,0.20833332999999998,0.7777777773650794,3.2551510781861075,0.041666669999999996,17
9,Carolina League,A,18,16.0,127.0,528.0,2187.0,23.236220472440944,0.17191037878372198,0.7667251416723673,3.4356829095171286,0.08139460446730681,18
9,Carolina League,A,19,43.0,466.0,1594.0,7012.0,16.95010729613734,0.09712435798345692,0.7469491273009067,4.459672720324437,0.1297366840039983,19
9,Carolina League,A,20,95.0,1025.0,2549.0000000000005,11372.0,12.945121951219512,0.09247854367833276,0.7434778708426483,4.712244163003635,0.13607936216330485,20
9,Carolina League,A,21,120.0,1533.0,3460.0,15443.0,12.143183300717547,0.0978116948727579,0.7435827515198404,4.649193311285304,0.13480123317650874,21
9,Carolina League,A,22,205.0,2777.0,6961.0,30324.0,13.99243788260713,0.12296323046332935,0.7394842273147726,4.30618985987484,0.12043868403769219,22
9,Carolina League,A,23,173.0,2382.0,5260.0,22701.0,12.954450041981529,0.13593612655169376,0.7466791432948251,4.065285724402099,0.11532564849413646,23
9,Carolina League,A,24,81.0,857.0,1794.0,7941.0,12.258751458576429,0.11912366183352223,0.7419735630334924,4.409962947989961,0.1232031112849374,24
9,Carolina League,A,25,37.0,375.0,648.6666666666666,2861.0,10.442666666666666,0.12168857089479204,0.7471379996967773,4.355903380511069,0.1274845029283933,25
9,Carolina League,A,26,14.0,99.0,134.33333333333334,592.0,9.997474747474747,0.19247466135135138,0.7478276021283785,3.543385089079588,0.11874870882960413,26
9,Carolina League,A,27,8.0,65.0,108.66666666666666,456.0,10.738461538461538,0.13622587539473682,0.7668843136872423,4.073734147660633,0.09912240272517321,27
9,Carolina League,A,28,4.0,11.0,14.0,50.0,8.545454545454545,0.3201599996,0.6579999997599999,2.0021292649775746,0.095,28
9,Carolina League,A,29,1.0,2.0,9.0,36.0,21.625,0.05555555999999998,0.777777777,3.994549798799886,0.08333333,29
9,Carolina League,A,30,2.0,12.0,14.0,60.0,10.354166666666666,0.21666666599999998,0.7166666661000001,3.1430683378738666,0.1166166645,30
9,Carolina League,A,32,1.0,3.0,3.3333333333333335,13.0,7.833333333333333,0.30799999999999994,0.44399999999999995,1.66,,32
9,Carolina League,A,34,1.0,1.0,0.6666666666666666,7.0,-2.0,0.14300000000000002,0.8,2.82,,34
10,Florida State League,A,18,6.0,33.0,90.33333333333333,433.0,15.734848484848484,0.07852193935334871,0.6950662504029311,5.207453132165416,0.19861431852193998,18
