Player,Fantasy Roster,Team,League,Level,Highest League,Age,Draft Class,G,FP/G,IP/G,Age+,FG/G+,K-BB%+,Weak Contact+,xFIP,Pitching Score,Pitcher Prospect Score,Est FB,W,L,ERA,GS,SV,IP,SO,WHIP,BABIP,BB%,K%,K-BB%,Weak Contact,LD%,GB%,FB%,IFFB%,HR/FB%
Ryan Helsley,The Hot and Steamy Boys (INJURED_RESERVE),BAL,International League,AAA,Yes,31.0,,2.0,13.4,1.0,87.6,123.8,559.8,139.6,-1.5,167.5,138.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.5,0.5,0.0,0.714,0.714,1.0,0.0,1.0,0.0,0.0,0.0
Luis Pimentel,Available,CIN,Arizona Complex League,CPX,No,22.0,,3.0,15.3,1.0,94.4,144.1,460.7,129.5,1.57,161.8,138.7,0.0,2.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.556,0.556,1.0,0.0,1.0,0.0,0.0,0.0
Juan Nuñez,Available,BAL,Carolina League,A,Yes,25.0,,1.0,9.0,1.0,87.3,68.9,583.6,134.7,1.06,167.5,138.6,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.667,0.667,1.0,0.0,0.0,1.0,0.0,0.0
Cole Stasio,Available,TEX,Pacific Coast League,AAA,Yes,24.0,,1.0,14.5,2.0,113.4,146.4,252.8,141.5,5.05,145.3,138.2,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.25,0.125,0.375,0.25,1.0,0.0,0.25,0.75,0.333,0.0
Patrick Forbes,Available,ARI,Arizona Complex League,CPX,No,21.0,,1.0,21.0,2.0,98.9,197.3,414.3,129.5,3.39,157.1,138.1,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.333,0.667,0.5,0.0
Andrew Sears,Available,DET,Florida Complex League,CPX,No,23.0,,1.0,18.0,2.0,90.2,169.0,724.6,130.4,0.9,163.9,137.8,1.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.667,0.667,1.0,0.0,0.5,0.5,0.0,0.0
Bradgley Rodriguez,Available,SD,Texas League,AA,Yes,22.0,,1.0,12.0,1.0,111.4,102.2,260.0,138.8,1.7,146.0,137.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.333,0.333,1.0,0.0,1.0,0.0,0.0,0.0
Brandon Neely,Available,BOS,Carolina League,A,No,22.0,,2.0,20.8,2.3,99.2,158.8,360.5,134.7,2.07,156.1,137.5,4.6,0.0,0.0,1.93,0.0,0.0,4.7,8.0,0.43,0.125,0.059,0.471,0.412,1.0,0.0,0.429,0.571,0.25,0.0
Cody Morse,Available,LAD,Arizona Complex League,CPX,No,23.0,,2.0,16.5,1.5,90.3,155.1,552.6,129.5,1.4,163.2,137.4,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.667,0.667,1.0,0.0,0.667,0.333,0.0,0.0
Eury Pérez,Lászlaró Tóth (ACTIVE),MIA,International League,AAA,Yes,23.0,,1.0,23.2,3.7,118.1,215.1,301.8,122.1,2.27,139.5,136.9,3.0,0.0,0.0,2.45,1.0,0.0,3.7,5.0,0.82,0.375,0.0,0.385,0.385,0.875,0.125,0.5,0.375,0.333,0.0
