Metric,AB Threshold,Players,Mean,Std Dev,Variance,P75,P90,P95,P99,Max,Max Player,Max League,Max AB,Max wRC+
Speed+,75,3090,99.7055383081096,34.740979221903366,1206.9356372967213,124.09668330570885,144.4232779810737,154.6306888915756,169.69990201814494,194.3031859253028,Luis Valdez,Eastern League,127,22.373539562584977
Speed+,100,2608,101.18781986171965,34.222770787769605,1171.1980403922169,125.1756452747355,144.9425659414551,155.02067514434037,170.4282749032685,194.3031859253028,Luis Valdez,Eastern League,127,22.373539562584977
Speed+,125,2127,102.6491675906691,33.678478000485036,1134.2398804291545,126.24069472991431,145.45659255611392,155.2758709487231,170.37337779318193,194.3031859253028,Luis Valdez,Eastern League,127,22.373539562584977
Speed+,150,1701,103.1410204937156,33.511625056891,1123.0290139536448,127.25032801403772,145.80953723603264,155.8518970573996,168.2703113573673,191.3893012403692,John Rave,International League,235,129.52311121730955
Speed+,175,1386,103.15509967469896,33.62000739985064,1130.304897566012,127.50686183334332,145.78505820412084,156.05215060722273,170.20290781975538,191.3893012403692,John Rave,International League,235,129.52311121730955
Speed+,200,1146,103.25735347651165,33.239433547759425,1104.8599425759148,127.03048118746979,145.73070229685447,156.05215060722273,170.6266940312698,191.3893012403692,John Rave,International League,235,129.52311121730955
Speed+,250,850,104.3286757444352,32.25007797455359,1040.0675293647867,127.01800696242532,145.87423636525332,156.4314956670094,170.9635700884276,185.21870931221457,Jonah Cox,Northwest League,525,103.08169120322948
Speed+,300,623,104.35749704677869,31.633632147577433,1000.6866828482445,126.28715722510272,144.43838223007953,156.24467580487143,168.74162179709356,185.21870931221457,Jonah Cox,Northwest League,525,103.08169120322948
LD%+,0,5061,97.68114168314295,42.52277457663069,1808.1863576949493,114.34606559859336,134.6565816177863,155.761561702107,229.28880462441464,538.08539536225,Justin Lugo,Dominican Summer League,4,219.41137443288147
LD%+,10,4610,99.0677262356627,31.38279675573157,984.8799322115558,114.46287493755842,133.04855909098953,148.95011753467455,188.83534193589054,316.0851961517981,David Leon,International League,10,60.366653635892305
LD%+,25,4124,99.2923613319942,25.48379785579459,649.423953155001,113.29785828217425,129.3952939198235,140.37928074320368,173.27637159511445,241.15856024331535,Yosweld Vasquez,Carolina League,29,107.9997891317402
LD%+,50,3579,99.34582778082257,21.88145213656694,478.7979476048698,112.26842631829962,126.22632324075833,135.35719767632222,156.83161900409334,193.2520146093454,A.J. Ewing,Florida State League,65,204.08878499473656
LD%+,75,3090,99.77446241870311,19.926377100429736,397.06050434853057,111.87740678972,124.83639993001648,132.9761368954093,151.38394484122716,178.95711560309442,Zach Ehrhard,South Atlantic League,111,175.15725913109236
LD%+,100,2608,100.22682084759107,18.528835433866796,343.3177425353177,111.71802619970296,123.96482608971864,131.7422278139059,146.68801459882997,178.95711560309442,Zach Ehrhard,South Atlantic League,111,175.15725913109236
LD%+,125,2127,100.05981279488981,17.40111933144061,302.7989539870361,110.67633040716447,122.45274453107156,130.1442173036151,142.13147647053768,173.3574145530022,Jose Monserrate,Florida Complex League,139,100.77748771394602
LD%+,150,1701,100.07321820915958,16.3698834665286,267.97308470772634,110.04447565046522,121.5475230818736,128.66188229870968,140.520039580997,157.25564064239435,Facundo Velasquez,Florida Complex League,152,85.89114430793543
LD%+,175,1386,99.94744024671506,15.361597500225129,235.97867775892294,109.55852382435005,120.25366159226965,126.16199134928667,137.11795244952262,157.23274528625012,Cristian Arguelles,Dominican Summer League,187,201.22009609968623
LD%+,200,1146,99.87865123368036,14.447546341718033,208.73159529609012,109.23954645353666,118.68349692041842,124.04829838854764,135.26925509702028,152.7468215100592,Sebastian Blanco,Dominican Summer League,203,142.87191359694276
LD%+,250,850,99.99669472889558,13.609138412892007,185.20864834125277,108.7395276811584,117.72563719034281,122.89253539980258,135.45026325685092,144.63705988229793,Jack Penney,Midwest League,252,127.7049336080904
LD%+,300,623,100.31603481019874,13.17656448520669,173.62185163281026,108.91636140335821,117.71375592853792,122.37936303313799,131.7394196348555,139.37162605259547,Kehden Hettiger,South Atlantic League,306,116.73156725780134
HR/FB+,0,5061,85.41989111528389,115.1280989614903,13254.479170486702,115.78943312945886,180.43196597454084,237.2807543524348,447.3584310619806,3986.1690120520066,Carlos Cauro,Carolina League,26,178.66179242037157
HR/FB+,10,4610,82.91065022116608,108.5809260268903,11789.817496857022,120.46071335977813,180.44896419431257,233.14404699598205,399.3602364645129,3986.1690120520066,Carlos Cauro,Carolina League,26,178.66179242037157
HR/FB+,25,4124,81.6799640922473,95.75524280376753,9169.066524408474,120.65087688212878,174.93558836552933,216.51836003552245,319.4038211324014,3986.1690120520066,Carlos Cauro,Carolina League,26,178.66179242037157
HR/FB+,50,3579,82.10542542234126,68.60671187455114,4706.880914237677,120.53431958577951,172.41276076150456,206.22738713507448,291.7461722999492,541.2959000888061,Jared Jones,South Atlantic League,50,100.73682620802676
HR/FB+,75,3090,84.46519998962496,65.43259045964692,4281.423894259876,122.25514026909661,171.70811712760832,203.92526892584524,277.3925153927388,517.9810719793804,Jostin Ogando,Dominican Summer League,103,
HR/FB+,100,2608,87.05895612714197,63.66720447690963,4053.5129259046216,123.38274738916968,172.55789052641364,202.99839195374685,266.5474722893785,517.9810719793804,Jostin Ogando,Dominican Summer League,103,
HR/FB+,125,2127,89.3813124571954,60.509496357078916,3661.399149387347,124.56478165720432,171.48664016786995,197.26830190809804,262.4293088996014,419.8454137566522,Spencer Jones,Eastern League,175,184.66788836480933
HR/FB+,150,1701,91.13202725225688,57.91523866062845,3354.1748691175517,124.75483931822669,169.85961392138728,194.2429019922676,257.3246388165073,419.8454137566522,Spencer Jones,Eastern League,175,184.66788836480933
HR/FB+,175,1386,92.47692565175606,56.39923289375941,3180.8734710045137,124.98374929175543,170.33975402276883,192.32038131505203,254.30259348368264,419.8454137566522,Spencer Jones,Eastern League,175,184.66788836480933
HR/FB+,200,1146,93.02447202767283,52.96307654114928,2805.0874767036366,124.57012163813991,165.7995216750988,186.595728748733,237.24957734780193,318.0795300318259,Tim Elko,International League,373,128.2374155047014
HR/FB+,250,850,93.67457933757558,52.17200822117865,2721.9184418307327,124.57012163813991,164.20568685912673,182.3781025311624,243.49340305818498,318.0795300318259,Tim Elko,International League,373,128.2374155047014
HR/FB+,300,623,92.03311693873663,49.602140400858644,2460.3723323464933,122.03683283423962,157.81299408305378,176.29071213729216,222.6313227047773,318.0795300318259,Tim Elko,International League,373,128.2374155047014
