League Name,League Level,Age,Players,Total PA,Weighted K%,Weighted BB%,Weighted LD%,Weighted wRC+
Carolina League,A,25,6,263,0.3117870718745247,0.1368821285969582,0.22679016006083652,126.45080866228082
Carolina League,A,26,4,133,0.30827067657142854,0.0827067667593985,0.22466543695488725,112.40517742650826
Carolina League,A,27,1,2,0.5,0.0,0.0,196.3809359963088
Carolina League,A,28,1,52,0.23076923,0.038461538,0.285714285,66.30791812414746
Carolina League,A,30,1,10,0.2,0.0,0.0,44.34859559348872
Florida State League,A,17,2,463,0.24190064788552915,0.15766738626565877,0.25290508129805617,77.54817094845177
Florida State League,A,18,17,2269,0.21551344167783165,0.12296165667562801,0.22064015797884529,98.42657392542911
Florida State League,A,19,57,8316,0.23051948011700335,0.12181337132816258,0.22701300663876864,100.50172293084184
Florida State League,A,20,115,19165,0.2447169314811375,0.1159405161450039,0.23866271315627444,96.2194978787538
Florida State League,A,21,110,14179,0.24712603100042316,0.12462091788045702,0.23067273604182242,98.39122875499986
Florida State League,A,22,119,13959,0.2479403964212336,0.12099720564295438,0.23851553512730142,102.24554540459802
Florida State League,A,23,62,6307,0.2332329153810052,0.1320754712067544,0.22801735686063104,103.62359336807505
Florida State League,A,24,38,3155,0.22028526100412046,0.11505546712202852,0.23071551114801903,108.6848518345982
Florida State League,A,25,24,779,0.2618741973594352,0.1424903718241335,0.22946849941206673,112.33085800297694
Florida State League,A,26,11,340,0.2352941173264706,0.11176470555882352,0.20910156133235297,112.09391618424165
Florida State League,A,27,5,73,0.10958904076712328,0.1369863007808219,0.187911403369863,135.41905822092093
Florida State League,A,28,6,55,0.2545454542181818,0.14545454525454546,0.18181818167272726,167.86008553160016
Florida State League,A,29,5,100,0.11999999967000001,0.19999999949,0.30182706125000003,158.2224562741399
Florida State League,A,30,4,65,0.2923076919384615,0.12307692278461539,0.24408283955384616,58.22873840127254
Florida State League,A,31,3,21,0.2857142850952381,0.14285714238095237,0.13756613742857143,74.1259793613848
Florida State League,A,33,1,14,0.142857142,0.214285714,0.333333333,117.4205906686167
Florida State League,A,34,1,27,0.11111111099999998,0.18518518500000003,0.263157894,243.74722143862107
Florida State League,A,38,1,17,0.176470588,0.176470588,0.142857142,80.79841933477174
Midwest League,A+,18,5,808,0.2128712866002475,0.10024752441955448,0.2248156647574257,110.39138704543407
Midwest League,A+,19,10,1117,0.225604296954342,0.11548791345747537,0.23205258169024173,103.50478099278916
Midwest League,A+,20,47,8768,0.22251368570494978,0.13252737179231291,0.2221093896515739,108.67246174721144
Midwest League,A+,21,82,14516,0.23229539769922844,0.11173877053375586,0.21553632613695237,95.13382179736239
Midwest League,A+,22,136,24145,0.23371298358819634,0.12064609604526816,0.2195717644914889,102.00075625346784
Midwest League,A+,23,124,19155,0.2327851731292091,0.11730618589370921,0.2145053265910728,94.67637842589252
Midwest League,A+,24,64,10395,0.22568542515882634,0.11467051415998078,0.21126929009090914,100.99842734319701
Midwest League,A+,25,25,2830,0.24169611254982337,0.119787985319788,0.2092289091123675,107.9845657800662
Midwest League,A+,26,13,1337,0.21690351479581155,0.12341062037247567,0.2143767528982797,111.05087853426734
Midwest League,A+,27,2,316,0.18987341718354434,0.11708860720886075,0.2357829045949367,81.23280724205998
Midwest League,A+,28,1,14,0.214285714,0.214285714,0.375,93.04617095097008
Midwest League,A+,29,1,6,0.5,0.166666666,0.5,-25.51514606814867
Midwest League,A+,33,1,3,0.0,0.333333333,0.0,417.3568687110392
Northwest League,A+,19,8,2219,0.24695808881433076,0.10455159925822442,0.20003928578954486,92.33936703808457
Northwest League,A+,20,21,4373,0.22730390971552708,0.10541961996341184,0.2161765083482735,101.81631512424447
Northwest League,A+,21,31,6179,0.22997248688315267,0.1008253757842693,0.21284311760171548,96.57734125325952
Northwest League,A+,22,49,9367,0.23006298657029997,0.11689975392676417,0.21177110098003632,106.82553522445336
Northwest League,A+,23,64,10808,0.24759437402590664,0.11232420384141374,0.21241094851239828,94.5322392442396
Northwest League,A+,24,34,4491,0.28568247544867514,0.1266978395929637,0.20873263812714318,95.27393048589035
Northwest League,A+,25,23,3765,0.23585657319760958,0.12749003938964146,0.2057554992183267,114.10323973066252
Northwest League,A+,26,9,1367,0.24945135283101685,0.1024140448632041,0.2152600962457937,89.0698733176398
Northwest League,A+,27,2,52,0.4038461535,0.15384615325,0.15109890025000003,71.95725276536287
Northwest League,A+,28,2,12,0.1666666665,0.24999999975,0.44999999999999996,145.6012544702156
Northwest League,A+,33,1,15,0.466666666,0.066666666,0.285714285,233.5413468587475
South Atlantic League,A+,18,4,106,0.18867924447169812,0.08490566029245282,0.14234349941509436,74.57768452990621
South Atlantic League,A+,19,21,2886,0.181566181,0.10013859972730424,0.21919200965211366,105.68850636055893
South Atlantic League,A+,20,66,11715,0.23986342255347845,0.10029876169440888,0.22477585108638498,103.83885734727188
South Atlantic League,A+,21,100,15649,0.2591219881821203,0.10313758022857689,0.21731564294491662,93.98307900996151
South Atlantic League,A+,22,128,22339,0.24893683641568556,0.11647790800559561,0.22245056799350915,105.4320841774455
South Atlantic League,A+,23,102,14471,0.2461474668385737,0.12742726790201092,0.22067485137074153,100.29106402904875
South Atlantic League,A+,24,77,8675,0.25821325605867435,0.10478386116956774,0.21947291235193084,95.2698546505901
South Atlantic League,A+,25,45,4595,0.2598476599969532,0.11229597344853103,0.22406644590467897,93.61895658561988
South Atlantic League,A+,26,16,835,0.2694610774694611,0.09820359212814372,0.24034253736047906,78.6323768450302
South Atlantic League,A+,27,4,96,0.16666666610416667,0.09374999954166667,0.227824518625,187.4958544570669
South Atlantic League,A+,28,6,137,0.4014598533722627,0.1021897805620438,0.20308191395620437,88.94113211224398
South Atlantic League,A+,29,1,3,0.0,0.0,0.333333333,268.8389693178365
South Atlantic League,A+,30,2,18,0.27777777766666667,0.11111111083333333,0.3333333333333333,50.58795957234608
South Atlantic League,A+,31,2,14,0.14285714221428572,0.14285714207142858,0.0,94.82244902022974
South Atlantic League,A+,34,1,25,0.28,0.04,0.117647058,-19.62666193165655
Eastern League,AA,19,3,151,0.2119205294437086,0.04635761561589404,0.2411450543708609,137.78430524289655
Eastern League,AA,20,22,2496,0.20472756358253208,0.1033653840584936,0.2247286232940705,114.30147533604821
Eastern League,AA,21,42,8241,0.22861303189916274,0.11224365925373135,0.22574205650103146,108.8771317117753
Eastern League,AA,22,87,15761,0.23336082687716517,0.09999365469221494,0.22804869569843286,95.76231080588573
Eastern League,AA,23,103,17573,0.24457975252961933,0.10857565533784783,0.2290981803788767,98.54008016465117
Eastern League,AA,24,91,15752,0.2569197557311453,0.10017775475355509,0.23247358774771454,99.95473782096207
Eastern League,AA,25,79,12589,0.24124235396846458,0.10040511510088172,0.22610473544658033,97.0434704048969
Eastern League,AA,26,45,6637,0.24062076205348804,0.10546933797348201,0.23668697792345939,104.03576519642768
Eastern League,AA,27,33,3195,0.24444444398309864,0.1079812202735524,0.23607340991893583,100.81327778618895
Eastern League,AA,28,12,892,0.25448430472869954,0.10089686045739911,0.21753326800784753,74.59768190699685
Eastern League,AA,29,8,540,0.26851851791296294,0.11111111062037037,0.24422700200925931,98.38772825896298
Eastern League,AA,30,1,20,0.35,0.1,0.272727272,94.36703565450397
Eastern League,AA,31,3,65,0.2153846150769231,0.10769230701538461,0.21387057363076922,131.77207478357002
Eastern League,AA,32,2,134,0.2835820893507463,0.13432835725373135,0.3090331915970149,123.00793441724579
Eastern League,AA,33,2,68,0.1470588231617647,0.08823529389705882,0.2897058823235294,199.52487370058478
Eastern League,AA,35,1,12,0.25,0.083333333,0.375,108.84832037397219
Eastern League,AA,36,1,18,0.166666666,0.111111111,0.333333333,245.27817330102684
Southern League,AA,18,1,24,0.333333333,0.041666666,0.133333333,85.33595496444299
Southern League,AA,19,3,631,0.19175911212044372,0.11093502344532488,0.2533967367939778,114.96659976624645
Southern League,AA,20,6,2173,0.14956281570731708,0.11780947941463416,0.2311861404730787,106.06181310393775
Southern League,AA,21,19,4258,0.19281352705871302,0.10169093413950211,0.2267014504870831,112.97469014790397
Southern League,AA,22,41,6263,0.23535047056282937,0.10697748633482357,0.2216276930771196,104.15582894681253
Southern League,AA,23,63,12375,0.23935353482755553,0.10206060556646464,0.21836748451940177,97.4421963420328
Southern League,AA,24,63,10969,0.2570881570811378,0.10319992657826599,0.22402638593946575,93.92171657455539
Southern League,AA,25,59,8073,0.2503406411933605,0.10987241371807259,0.22487484062145424,96.06036217378129
Southern League,AA,26,43,6797,0.2530528170161836,0.12122995389598351,0.23103628741179935,108.37968102728883
Southern League,AA,27,15,1828,0.23577680480142232,0.11980306299452954,0.24354796339989063,90.2239719556532
Southern League,AA,28,12,1624,0.2512315264673645,0.10775862023399016,0.21081472098091136,82.63067194988909
Southern League,AA,29,5,246,0.3089430891138211,0.06504064961382114,0.21498257775609758,65.6436313743424
Southern League,AA,30,4,163,0.22085889526380365,0.13496932448466256,0.18591285679141104,60.64023825459676
Southern League,AA,31,2,80,0.16249999937499998,0.12499999905,0.21041666635,88.51862043668208
Southern League,AA,33,1,9,0.111111111,0.111111111,0.142857142,113.2019778830707
Southern League,AA,35,1,4,0.0,0.25,0.0,457.69804271279713
Texas League,AA,18,2,105,0.20952380924761907,0.0952380946095238,0.25224489781904763,139.65167877072741
Texas League,AA,19,6,1040,0.2028846145201923,0.11249999951346153,0.2306210815903846,108.22093033726624
Texas League,AA,20,10,1125,0.21955555523377776,0.12088888877333334,0.23443627804799996,121.24706571649853
Texas League,AA,21,23,4413,0.21006118239270336,0.09494674775050986,0.2480671796261046,111.22281767434349
Texas League,AA,22,50,8464,0.22105387474468335,0.10645085022518903,0.23238027161566635,102.1450339603772
Texas League,AA,23,73,12902,0.23973027389490004,0.10920787429553559,0.23710193231413734,98.65677292527958
Texas League,AA,24,96,18267,0.23890074947774675,0.10642141515870147,0.2273566850587398,96.378187358508
Texas League,AA,25,72,12534,0.24828466520416467,0.11193553479703207,0.23838635885383758,101.90700153607894
Texas League,AA,26,45,8073,0.2377059327932615,0.10392666861253562,0.22816052386572527,89.93705584432061
Texas League,AA,27,28,2800,0.2310714281053571,0.11464285662857143,0.25322497707587205,103.21140957873133
Texas League,AA,28,18,1572,0.20483460522582697,0.12786259482379134,0.24413404865346536,99.8826939898426
Texas League,AA,29,8,636,0.21855345840723273,0.11635220056918238,0.22170744487106922,125.8088992467479
Texas League,AA,30,3,188,0.23404255303191487,0.15425531828723402,0.18440016131914894,105.22105906288428
Texas League,AA,31,1,4,0.25,0.0,0.0,-100.0
Texas League,AA,32,2,14,0.0,0.07142857135714285,0.09183673414285713,94.99350532825233
Texas League,AA,33,2,97,0.4020618555154639,0.061855669525773205,0.16565135886597937,130.86672619101245
Texas League,AA,34,1,14,0.214285714,0.0,0.2,-36.337540145140935
Texas League,AA,36,2,22,0.045454545454545456,0.0,0.1496786037272727,52.6247582556301
International League,AAA,20,4,527,0.24098671669449714,0.1271347246280835,0.19095557898481974,123.8499345910244
International League,AAA,21,27,3759,0.18568768249986697,0.12210694282841182,0.2317695917802607,119.60591407622002
International League,AAA,22,47,9639,0.23021060217429196,0.10965867779084965,0.23909237955348064,106.98038403736096
International League,AAA,23,93,14784,0.2396509736036932,0.10856331124912065,0.24233557865435604,103.50306019844642
International League,AAA,24,133,19546,0.23124936001064153,0.11373170928921518,0.2348956569658242,102.36805440526686
International League,AAA,25,134,20730,0.24134105113381574,0.11119150942575975,0.2416638052872648,100.17625439312023
International League,AAA,26,141,22954,0.24030669993556683,0.11004617882870088,0.23632937966193251,99.34898820480473
International League,AAA,27,126,18886,0.22625224986873874,0.10764587470041301,0.23520249622482262,98.60515319559244
International League,AAA,28,100,13000,0.2420769226852308,0.11253846107115384,0.23760814433884608,96.32339013420143
