Player Name,Team,League Name,AB,wRC+,Age+ RobustZ+,Approach+ RobustZ+,Speed+ RobustZ+,LD%+ RobustZ+,HR/FB+ RobustZ+,5 Tool RobustZ+,Hitter RobustZ+
Colin Houck,NYM,Florida State League,230,124.14104100071113,109.56147035034397,93.20925516650884,118.116801761665,112.83124350885231,116.79246723399811,110.10224760427363,107.61098863645309
Franyerber Montilla,DET,Florida State League,258,119.48573093486398,109.56147035034397,99.56507961763337,112.93990800345274,139.02499942343866,96.06857561213471,111.43200660140069,111.55288488440226
Enmanuel Tejeda,NYY,Florida State League,120,117.8104837343912,109.56147035034397,153.15219948092127,101.82642370392989,88.5177328403088,104.71819073651493,111.55520342240376,115.462707685915
Yonatan Henriquez,NYM,Florida State League,349,111.59409040159198,109.56147035034397,115.52987663487367,108.6365036068963,91.27267455717514,101.37367290501005,105.27483961085981,102.72540803235296
PJ Morlando,MIA,Florida State League,190,110.516986942968,109.56147035034397,100.98152032721728,102.10705316590423,113.20469936224332,126.45755695233682,110.46246003160914,113.54792554726579
Dante Nori,PHI,Florida State League,423,109.97606135480451,109.56147035034397,128.48538741060807,117.9902802463734,123.95252968639838,87.57753653901226,113.51344084654723,113.33848454533957
Kendry Chirinos,TOR,Florida State League,322,109.43461634469622,109.56147035034397,98.72294006392656,82.18079129270254,98.46756939381703,109.17754805254822,99.62206383066766,102.12268583676394
Carlos Sanchez,MIA,Florida State League,177,108.91679135230764,109.56147035034397,100.95843014381985,92.10514072558395,133.13599026448696,89.79022058458615,105.11025041376418,107.96154699763099
Wilson Rodriguez,NYY,Florida State League,97,106.89678253376388,109.56147035034397,110.62552788805765,103.96544725164922,61.343808864980005,98.54369606301658,96.80799008360948,90.17101093868474
Esmith Pineda,CIN,Florida State League,352,105.378645149045,109.56147035034397,98.0565114221753,82.82317683238244,97.44543541197856,94.96595160793984,96.57050912496402,96.82263281403124
Kevin McGonigle,DET,Florida State League,17,105.25670397032692,109.56147035034397,292.4647771486388,60.85520730476161,79.27859886608837,74.61752994193085,123.35551672235275,148.78696865221934
Abrahan Ramirez,MIA,Florida State League,328,103.9039206236171,109.56147035034397,115.09703308346437,92.70970323602204,99.47941733676785,74.61752994193085,98.29303078970582,96.39799345405436
Samuel Gil,DET,Florida State League,306,99.04564212072246,109.56147035034397,138.5549522174918,101.93773108234562,106.55074134148495,79.12535820181301,107.14605063869587,108.0770172535966
Jean Joseph,TOR,Florida State League,286,96.17461371975256,109.56147035034397,91.96124346434068,82.51768246064474,99.9652453045709,100.11262525923742,96.82365336782753,97.34637134271634
Bernard Moon,CIN,Florida State League,390,95.35928983436948,109.56147035034397,98.4725392282394,106.95339647572958,86.90553483167618,96.3903413733926,99.65665645187634,93.92280514443605
Yordany De Los Santos,PIT,Florida State League,461,94.74113036965244,109.56147035034397,87.49051457350696,109.87694145042514,84.82207933931632,107.51600851394382,99.85340284550723,93.27620080892235
Max Williams,MIA,Florida State League,67,93.81658963542507,109.56147035034397,126.21782171790102,91.01547878326589,81.70994988859488,74.61752994193085,96.62445013640732,94.18176718280893
Chris Arroyo,MIA,Florida State League,68,92.85300692739987,109.56147035034397,102.06495598334791,128.23677171198904,109.16991479547158,98.54369606301658,109.51536178083381,103.25952228061203
Dillon Head,MIA,Florida State League,359,92.1769077892593,109.56147035034397,114.47661641418851,122.17834587854374,94.12349941665546,88.44153706176174,105.75629382429868,99.01388429753524
Engelth Urena,NYY,Florida State League,334,91.85784694544095,109.56147035034397,112.87607245911283,89.99881752961822,99.42658974177174,100.2997451552417,102.43253904721769,104.20080245204208
Jose Suarez,STL,Florida State League,327,91.79692167438444,109.56147035034397,87.97200832600876,108.05405530445059,103.94454406659,97.94554218992558,101.49552404746376,96.62069819417478
Yordalin Pena,STL,Florida State League,368,89.01830095779786,109.56147035034397,89.39799082937859,115.07637332660536,112.64817738361815,95.82481374719148,104.5017651274275,99.29032732006276
Mitch Voit,NYM,Florida State League,85,88.86129374582265,109.56147035034397,101.24136402818434,114.7267016153455,95.52673127232619,91.89753884171945,102.5907612215839,96.22187804740999
Roderick Arias,NYY,Florida State League,394,88.16633970824549,109.56147035034397,95.51219567804125,106.16324534119197,109.20455888755865,103.26596598684787,104.74148724879674,102.66090685081592
Kyle Henley,CIN,Florida State League,378,87.44284135097628,109.56147035034397,81.96883790652561,121.6937922589293,71.88729142062499,81.85102181527851,93.39248275034048,78.5690503808097
Willy Montero,NYY,Florida State League,170,87.43722589836761,109.56147035034397,91.33181164405666,79.71162295577588,113.20469936224332,83.02402083370264,95.36672502922451,95.85351061333421
JP Smith II,MIN,Florida State League,93,84.01055752636498,109.56147035034397,87.51385595043132,96.94764064994793,102.03169029448983,93.46844874170023,97.90462119738267,94.33799832887378
Byron Chourio,MIN,Florida State League,197,81.10522602196407,109.56147035034397,117.12251863202732,99.09661599723377,86.6321951225885,80.4862121041473,98.57980244126817,94.74697528625437
