Sample,Metric,Count,Mean,Median,Std Dev,Variance,Coeff Var,P75,P90,P95,P99,Max
"2025 vs 2025, AB >= 50",5 Tool+,3579,95.36791438364804,94.1019036390875,19.118035169125974,365.4992687279376,0.20046611371008433,106.73596587549417,119.64648362423293,127.30659701028458,147.23298845958283,242.8018494784757
"2025 vs 2025, AB >= 50",Hitter+,3579,92.80090624040857,90.20276249362864,28.909343657020965,835.7501506797383,0.3115200575965161,108.6683433029426,128.49688636291484,142.74191083173184,175.42781297826843,332.5278231850686
"2026 current, AB >= 50",Age+,1741,100.14604822574748,100.14924142112606,8.333073626469197,69.4401160641565,0.08320921068882246,105.725989232763,111.01228869440116,113.93737221863132,119.11634368311456,134.31456629664078
"2026 current, AB >= 50",FG/G+,1741,109.31916468632684,107.37634231912712,34.23587191007845,1172.094925443299,0.3131735593508475,131.16414489359002,153.451992103374,165.79703178986932,197.3262259226163,262.220660984731
"2026 current, AB >= 50",Approach+,1741,97.99981189209791,85.0229564561778,59.272414079981054,3513.2190708687363,0.6048217127726998,120.1524985107734,165.33499105755251,210.30580600235783,324.4352565597254,562.5653244714194
"2026 current, AB >= 50",Approach+ Capped,1741,96.6851351907715,85.0229564561778,53.3415124788473,2845.316953531022,0.5517033448171533,120.1524985107734,165.33499105755251,210.30580600235783,280.0,280.0
"2026 current, AB >= 50",Speed+,1741,101.13444085129233,103.07942513117654,39.284368144499986,1543.2615805126054,0.3884370923873853,130.31093855429305,152.92870073497372,164.0142526498678,179.05880626725056,205.73293547345992
"2026 current, AB >= 50",Speed+ Capped,1741,100.88275537134408,103.07942513117654,38.789584893895835,1504.631896240752,0.38450164005843646,130.31093855429305,152.92870073497372,164.0142526498678,170.0,170.0
"2026 current, AB >= 50",LD%+,1741,101.66695776157503,100.39211707509064,24.08664762627276,580.1665938722313,0.23691716715631178,116.38655103248848,131.16397903009144,141.16514591333197,165.7395723375629,219.2959493828085
"2026 current, AB >= 50",LD%+ Capped,1741,100.47412431990168,100.39211707509064,21.52866088886523,463.48323966775536,0.21427069939240947,116.38655103248848,131.16397903009144,135.0,135.0,135.0
"2026 current, AB >= 50",HR/FB+,1741,114.17062636901773,102.84944797876052,83.01510146285133,6891.507070887502,0.7271143559686994,158.53663783221307,222.71345446653788,261.33165454723576,352.0992286591333,807.3362752668768
"2026 current, AB >= 50",HR/FB+ Capped,1741,109.130097621161,102.84944797876052,69.97811475135782,4896.936544154203,0.6412357019443244,158.53663783221307,222.71345446653788,235.0,235.0,235.0
"2026 current, AB >= 50",wRC+,1741,98.30608887998082,99.2431371187178,34.76347526813625,1208.4992127183205,0.3536248432238822,120.79218615778,141.73172408418947,155.6368952104801,180.47646801879165,237.37547927324164
"2026 current, AB >= 50",5 Tool+,1741,101.46363214578516,102.13787046586366,18.690827113407895,349.34701818330365,0.18421208385830803,114.29053303851748,125.65421776219948,131.48006675688367,146.71657050275448,163.26143211291932
"2026 current, AB >= 50",Hitter+,1741,102.09645237727806,102.0622335136832,28.366865601632522,804.6790640610824,0.2778437932084864,121.07429272978877,138.76967568789107,148.51622272701843,169.145155235331,207.16690027368168
