Metric,Method,Sample,Count,Mean,Std Dev,P50,P75,P90,P95,P99 Cap,Max
Approach+,log_plus_50,2026 AB>=50 uncapped transform,1741,91.2346314526292,28.16175805439306,91.88755549966562,109.17957854538125,125.1401739288119,137.16962522647339,151.7899869864491,186.36685368706372
Speed+,standard_z_15,2025 training,3090,100.0,15.0,100.3326189114778,110.53128562171668,119.30763352437573,123.71485425006544,130.22123956104792,140.84411971218344
Speed+,standard_z_15,2026 AB>=50 uncapped transform,1741,100.61695261986823,16.961684309577027,101.45673217852469,113.21439446943718,122.97999233998628,127.76636516100837,130.22123956104792,145.77910562974398
Speed+,robust_z_15,2025 training,3090,99.67594030825137,14.614007828457767,100.0,109.9362263428842,118.48673413986606,122.78054468566413,129.11950241030817,139.46902598960568
Speed+,robust_z_15,2026 AB>=50 uncapped transform,1741,100.2770170026875,16.525212485599198,101.0951866723131,112.55029125656363,122.06459283854863,126.72779883030425,129.11950241030817,144.2770208451096
Speed+,percentile_100_50,2025 training,3090,100.0713126171699,28.86870811996419,100.01618122977347,125.00809061488673,140.0032362459547,145.00161812297733,149.00032362459547,150.0
Speed+,percentile_100_50,2026 AB>=50 uncapped transform,1741,101.15798493965265,31.376380782598222,103.10679611650485,130.29126213592232,144.4012944983819,147.9935275080906,149.00032362459547,150.0
Speed+,log_plus_50,2025 training,3090,95.71494291908421,22.846095978185286,100.23738828554008,110.79453843826799,118.37891127441394,121.79347170394439,126.44304780859954,133.21247836000794
Speed+,log_plus_50,2026 AB>=50 uncapped transform,1741,95.35465925815002,25.675532974996113,101.51648114306981,113.23766218080326,121.24008092603002,124.73915722307987,126.44304780859954,136.07043559844723
LD%+,standard_z_15,2025 training,1146,100.0,14.999999999999998,99.69166619463985,109.7188425616877,119.52391628511836,125.09386014399848,136.74389030455754,154.88977404113174
LD%+,standard_z_15,2026 AB>=50 uncapped transform,1741,101.85668883033536,25.007686831280125,100.53310004612439,117.13913844782839,132.481634309841,142.8652316142099,136.74389030455754,223.98364607176018
LD%+,robust_z_15,2025 training,1146,100.30977743375875,15.070230463227741,100.0,110.0741239164561,119.92510529785869,125.52112780589626,137.2257037674415,155.45654709204882
LD%+,robust_z_15,2026 AB>=50 uncapped transform,1741,102.17515933853572,25.1247735933078,100.84537347076223,117.52916185708817,132.94349175853137,143.375705386144,137.2257037674415,224.87391876527118
LD%+,percentile_100_50,2025 training,1146,100.04591431155946,28.879947792406114,100.043630017452,125.02181500872601,140.00872600349038,145.0043630017452,149.00087260034903,150.0
LD%+,percentile_100_50,2026 AB>=50 uncapped transform,1741,101.97766022816921,35.204488301086194,102.35602094240838,137.434554973822,147.90575916230367,149.73821989528795,149.00087260034903,150.0
LD%+,log_plus_50,2025 training,1146,99.40644571540349,7.358530846166111,99.79039746464406,104.41864579176669,108.56450370596298,110.77503062549548,115.1048086224207,121.18058017011651
LD%+,log_plus_50,2026 AB>=50 uncapped transform,1741,99.31842609035479,12.70144840074205,100.19567514993592,107.58734008379363,113.56390513753016,117.23801333134932,115.1048086224207,139.26259992992692
HR/FB+,standard_z_15,2025 training,1146,100.0,14.999999999999998,98.75019317287374,108.93423824783609,120.61107125948885,126.50089349936857,140.84688279241325,163.73923288688627
HR/FB+,standard_z_15,2026 AB>=50 uncapped transform,1741,105.98893296679495,23.511219575307344,102.78259211682716,118.55410507175911,136.73001765808604,147.66731660370914,140.84688279241325,302.3046572882406
HR/FB+,robust_z_15,2025 training,1146,101.2640618287057,15.171086458363392,100.0,110.3002018885416,122.11021810051864,128.06721826222577,142.5768345219282,165.73028935648642
HR/FB+,robust_z_15,2026 AB>=50 uncapped transform,1741,107.32130315087831,23.779382994570238,104.07839153422205,120.0297906421201,138.4130133959082,149.4750605909092,142.5768345219282,305.876158272004
HR/FB+,percentile_100_50,2025 training,1146,100.0850518839335,28.82737114064489,100.043630017452,125.02181500872601,140.00872600349038,145.0043630017452,149.00087260034903,150.0
HR/FB+,percentile_100_50,2026 AB>=50 uncapped transform,1741,106.4295759894065,33.2395889735013,111.43106457242584,137.69633507853402,148.51657940663176,149.73821989528795,149.00087260034903,150.0
HR/FB+,log_plus_50,2025 training,1146,83.43950283052776,46.73833780470134,93.95460646009914,110.98492018047216,125.28045827848547,131.18870780685927,143.19580544426933,157.8565629981694
HR/FB+,log_plus_50,2026 AB>=50 uncapped transform,1741,78.93163696119687,76.90234127601249,101.4048031425292,123.04077670664631,140.03579008285158,148.03100608735897,143.19580544426933,204.42850467318348
