Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Ronald Rosario","BOS","AA",22,402,0.082089552,0.236318407,0.347368421,0.201117318,0.2775,0.32122905,0.59872905,0.120111732,2.6354607143012267,0.239215686,-1.2500181403011084,35.183065443843134,-10.757884055763956,0.2816475197672844,74.41935498576237,"sa3015525"
"Kevin Rivas","CLE","AA",22,2,0,0.5,0,0,0,0,0,0,0.14285714,0,0,-0.2484995691237693,-0.4770615069327598,0,-100,"sa3015539"
"Jefrey De Los Santos","NYM","AA",22,44,0.045454545,0.34090909,0.133333333,0.243902439,0.279069767,0.31707317,0.596142937,0.073170731,5.200524698623756,0.384615384,-0.104666150175035,3.6803966705706572,-1.347965961227133,0.27649430618729703,77.09097025383087,"sa3015574"
"Javier Rivas","PIT","AA",22,118,0.025423728,0.220338983,0.115384615,0.209090909,0.239316239,0.354545454,0.593861693,0.145454545,1.6917701775,0.240963855,-0.21029133908450603,9.226331841823924,-4.258822488906513,0.26923782295650905,66.44181141177651,"sa3015589"
"Onil Perez","SFG","AA",22,62,0.129032258,0.048387096,2.666666666,0.188679245,0.29032258,0.245283018,0.535605598,0.056603773,5.00356072980234,0.196078431,0.22475722339004278,4.480751542358708,-2.604668529719997,0.2613656424706982,64.588254288475,"sa3015610"
"Victor Arias","TOR","AA",21,150,0.093333333,0.253333333,0.368421052,0.225563909,0.293333333,0.330827067,0.6241604,0.105263158,7.735566251214806,0.291666666,0.3798968531191349,14.03281615498154,-3.109329180692746,0.28966995716094973,82.04432482745213,"sa3015636"
"Manuel Palencia","NYY","AA",22,80,0.0375,0.225,0.166666666,0.229729729,0.253164556,0.283783783,0.536948339,0.054054054,4.076046799813147,0.293103448,0.013074368238449097,4.896290670132787,-4.246186842226832,0.24664746055120154,57.535989403310715,"sa3015659"
"Omar Alfonzo","PIT","AA",21,193,0.098445595,0.300518134,0.327586206,0.217647058,0.302083333,0.335294117,0.63737745,0.117647059,2.1829514775,0.309090909,-0.5257283477112651,19.494145050494744,-2.5620819480728385,0.29958332019547623,86.4345031647958,"sa3015665"
"Angel Genao","CLE","AA",21,341,0.085043988,0.158357771,0.537037037,0.258899676,0.322580645,0.3592233,0.681803945,0.100323624,6.340420409312488,0.305882352,0.1835918789729476,38.80831357876555,-0.16149681766732468,0.316608847585941,103.33425204885486,"sa3015706"
"Abel Bastidas","DET","AA",21,17,0,0.411764705,0,0.058823529,0.058823529,0.058823529,0.117647058,0,2.64285714,0.1,-0.011682852171361446,-1.4164553453891964,-3.3592318167656154,0.05443418025970459,-71.23452566411912,"sa3015709"
