Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Otto Lopez","MIA","AAA",26,1,4,4,1,0,1,0,0,2,1,0,0,1,0,0,0,0,0,1,0.25,"19608"
"Daniel Johnson","BAL","AAA",29,5,19,21,3,2,1,0,0,2,3,1,0,6,1,0,0,0,0,0,0.157894736,"19643"
"Darick Hall","PIT","AAA",29,55,180,205,38,30,4,0,4,18,23,22,0,58,3,0,0,5,0,1,0.211111111,"19717"
"Josh Rojas","CHW","AAA",31,3,12,13,1,0,1,0,0,0,1,1,0,3,0,0,0,0,0,1,0.083333333,"19734"
"Dairon Blanco","KCR","AAA",32,77,257,295,65,43,13,1,8,49,26,24,0,64,7,1,5,2,32,3,0.252918287,"19779"
"Jhonny Pereda","MIN","AAA",29,20,68,87,20,11,6,1,2,13,10,18,0,17,1,0,0,0,0,0,0.294117647,"19802"
"Jason Delay","ATL","AAA",30,60,195,214,42,34,8,0,0,13,12,14,0,37,4,0,0,8,1,0,0.215384615,"19806"
"Charles Leblanc","ATL","AAA",29,22,79,95,23,21,2,0,0,8,8,12,0,19,2,1,1,4,0,1,0.29113924,"19813"
"Joshua Palacios","CHW","AAA",29,21,66,82,13,7,3,0,3,7,9,11,0,16,3,2,0,1,3,3,0.196969696,"19818"
"Abraham Toro","BOS","AAA",28,51,184,216,50,31,9,2,8,31,27,27,0,56,2,3,0,2,3,0,0.27173913,"19844"
"Rene Pinto","TOR","AAA",28,8,28,28,6,3,2,0,1,2,5,0,0,11,0,0,0,1,0,0,0.214285714,"19859"
"Tristan Gray","CHW","AAA",29,72,248,282,67,39,15,4,9,40,44,24,2,67,3,7,0,5,3,1,0.27016129,"19877"
"Emmanuel Rivera","BAL","AAA",29,58,222,246,66,56,8,1,1,20,31,19,0,50,4,1,0,9,3,0,0.297297297,"19890"
"Ryder Ryan","PIT","AAA",30,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19891"
"Connor Wong","BOS","AAA",29,3,11,14,4,2,1,0,1,2,3,2,0,2,0,1,0,0,0,0,0.363636363,"19896"
"Diego Castillo","NYM","AAA",27,67,233,263,61,44,10,0,7,35,31,29,0,51,0,1,0,8,0,3,0.261802575,"19906"
"Jesus Sanchez","MIA","AAA",27,3,10,11,3,2,1,0,0,2,0,1,0,3,0,0,0,1,1,0,0.3,"19913"
"Daulton Varsho","TOR","AAA",28,8,30,33,4,3,0,0,1,2,5,1,0,8,1,1,0,1,0,0,0.133333333,"19918"
"Blake Perkins","MIL","AAA",28,8,26,34,5,3,1,0,1,6,2,8,0,13,0,0,0,0,2,1,0.192307692,"19921"
"Luke Williams","ATL","AAA",28,24,88,96,10,9,1,0,0,4,2,7,0,32,1,0,0,1,3,0,0.113636363,"19931"
"Andres Gimenez","TOR","AAA",26,5,18,19,7,7,0,0,0,3,1,0,0,5,1,0,0,0,1,0,0.388888888,"19950"
"Josh Lowe","TBR","AAA",27,5,17,22,4,3,0,0,1,3,2,4,0,6,0,1,0,0,1,0,0.235294117,"19953"
"Bobby Dalbec","MIL","AAA",30,105,402,455,108,55,27,2,24,65,82,45,1,155,6,2,0,8,5,0,0.268656716,"19966"
"Jared Oliva","MIL","AAA",29,95,349,398,88,58,15,4,11,63,44,35,0,82,9,1,1,3,57,6,0.252148997,"19968"
"Tres Barrera","TBR","AAA",30,41,143,156,34,23,4,0,7,17,26,9,0,42,3,0,1,9,0,0,0.237762237,"19977"
"Conner Capel","ATL","AAA",28,119,367,414,86,63,10,3,10,43,39,42,0,83,2,3,0,3,21,4,0.234332425,"19983"
"Bryce Johnson","PIT","AAA",29,10,25,28,2,1,1,0,0,1,1,3,0,9,0,0,0,0,1,0,0.08,"20002"
"Bligh Madris","DET","AAA",29,50,177,205,41,25,10,1,5,29,37,24,0,52,0,2,0,5,3,2,0.231638418,"20054"
"J.C. Escarra","NYY","AAA",30,30,110,133,33,27,3,1,2,16,20,18,0,23,1,4,0,3,2,1,0.3,"20084"
"Dylan Carlson","BAL","AAA",26,28,102,126,30,22,4,0,4,26,17,23,0,25,0,1,0,3,4,0,0.294117647,"20126"
"Matthew Batten","ATL","AAA",30,114,360,399,69,43,14,1,11,32,36,34,0,104,2,1,2,4,12,3,0.191666666,"20157"
"Brandon Marsh","PHI","AAA",27,6,20,25,6,5,0,0,1,3,6,4,0,8,0,1,0,1,2,0,0.3,"20202"
"Gilberto Celestino","NYM","AAA",26,111,372,426,101,79,12,1,9,66,40,51,0,93,2,0,0,9,13,2,0.271505376,"20233"
"Ben Rortvedt","TBR","AAA",27,19,60,73,11,7,3,0,1,9,5,11,0,27,1,1,0,0,0,1,0.183333333,"20287"
"Corey Julks","CHW","AAA",29,116,436,487,131,85,30,1,15,77,58,48,2,99,3,0,0,10,18,3,0.300458715,"20311"
"Stuart Fairchild","ATL","AAA",29,3,12,13,5,4,1,0,0,3,0,1,0,3,0,0,0,0,1,0,0.416666666,"20321"
"Jared Young","NYM","AAA",29,75,273,321,82,48,14,3,17,51,50,41,0,57,4,3,0,4,8,2,0.3003663,"20404"
"Royce Lewis","MIN","AAA",26,9,31,33,4,3,1,0,0,3,1,1,0,8,0,1,0,0,0,0,0.129032258,"20437"
"Brewer Hicklen","DET","AAA",29,93,335,387,75,47,10,2,16,59,56,40,0,119,9,3,0,5,25,2,0.223880597,"20450"
"Drew Waters","KCR","AAA",26,54,208,231,49,30,10,2,7,34,29,21,0,67,1,0,1,8,7,1,0.235576923,"20505"
"Vidal Brujan","CHC","AAA",27,3,13,13,4,3,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0.307692307,"20536"
"Jose Miranda","MIN","AAA",27,90,334,371,65,45,13,0,7,31,28,30,0,57,6,1,0,12,1,0,0.194610778,"20538"
"Jose Devers","ATL","AAA",25,29,98,110,28,21,5,0,2,10,17,9,0,15,1,2,0,1,1,1,0.285714285,"20540"
"CJ Alexander","NYY","AAA",28,13,46,53,9,9,0,0,0,3,3,7,0,16,0,0,0,0,2,1,0.195652173,"20557"
"Ivan Herrera","STL","AAA",25,8,30,30,13,10,2,0,1,6,5,0,0,8,0,0,0,3,2,0,0.433333333,"20599"
"Mark Kolozsvary","BOS","AAA",29,7,22,24,10,6,3,0,1,3,8,2,0,3,0,0,0,0,0,0,0.454545454,"21304"
"Bryan Torres","STL","AAA",27,104,332,414,109,83,16,1,9,58,51,70,0,57,1,5,6,9,26,6,0.328313253,"21464"
"Hayden Senger","NYM","AAA",28,46,165,182,36,27,3,1,5,24,17,10,0,44,2,2,2,5,2,1,0.218181818,"21489"
"Brandon Lockridge","MIL","AAA",28,13,57,63,20,17,3,0,0,12,7,6,0,11,0,0,0,1,4,0,0.350877192,"21496"
"Luken Baker","STL","AAA",28,62,224,265,44,19,15,0,10,29,34,36,0,71,2,3,0,4,0,0,0.196428571,"21497"
"Joey Bart","PIT","AAA",28,5,13,18,3,3,0,0,0,1,2,4,0,6,1,0,0,0,0,0,0.23076923,"21524"
"Nick Fortes","MIA","AAA",28,2,6,7,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,"21538"
"Coco Montes","TBR","AAA",28,107,375,415,82,55,19,0,8,44,38,32,0,123,5,3,0,8,7,2,0.218666666,"21547"
"Matt Vierling","DET","AAA",28,17,60,69,12,8,2,0,2,9,6,8,0,23,1,0,0,2,1,0,0.2,"21558"
"Romy Gonzalez","BOS","AAA",28,2,7,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"21562"
"Alec Bohm","PHI","AAA",28,5,21,22,3,1,0,1,1,2,2,1,0,2,0,0,0,1,0,0,0.142857142,"21618"
"Griffin Conine","MIA","AAA",27,9,24,35,7,4,1,0,2,7,9,11,0,9,0,0,0,1,0,0,0.291666666,"21626"
"Nick Maton","CHW","AAA",28,16,52,65,10,6,2,0,2,6,8,11,0,23,2,0,0,0,0,0,0.192307692,"21635"
"Luis De Los Santos","NYM","AAA",27,105,356,382,86,67,11,0,8,51,42,18,0,95,5,1,1,14,3,1,0.241573033,"21682"
"Miguel Amaya","CHC","AAA",26,13,41,45,8,8,0,0,0,2,5,3,0,7,0,1,0,3,0,0,0.195121951,"21693"
"Jair Camargo","MIN","AAA",25,31,113,120,24,16,6,0,2,11,13,7,0,46,0,0,0,4,1,0,0.21238938,"21730"
"Jose Fermin","STL","AAA",26,65,237,293,71,41,23,0,7,47,40,45,1,25,9,1,1,9,20,5,0.299578059,"21746"
"Andres Chaparro","WSN","AAA",26,48,182,216,50,23,13,0,14,31,45,32,0,50,1,1,0,2,1,0,0.274725274,"21797"
"Will Benson","CIN","AAA",27,41,153,178,42,29,5,1,7,32,33,22,1,49,1,1,0,2,6,0,0.274509803,"21853"
"Alex Speas","MIN","AAA",27,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21859"
"Rodolfo Castro","PHI","AAA",26,133,456,525,107,61,26,1,19,72,82,54,0,119,9,6,0,12,18,8,0.234649122,"21987"
"Dane Myers","MIA","AAA",29,4,12,15,2,2,0,0,0,3,1,3,0,4,0,0,0,0,0,0,0.166666666,"22054"
"Nick Pratto","KCR","AAA",26,114,372,423,73,43,19,2,9,49,42,46,0,125,3,1,1,4,8,0,0.196236559,"22117"
