Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Jace Avina","NYY","AA",22,194,0.296610169,0.69090909,0.225,0.316666666,0.458333333,0.2,0.054545454,0.54166667,0.275,0.18333333,0.12434555,283,481,764,"sa3018398"
"Fraymi De Leon","BOS","AA",20,15,0.222222222,4,0.375,0.5,0.125,1,0,0.44444444,0.33333333,0.22222222,0.22222222,18,36,54,"sa3018436"
"Aroon Escobar","PHI","AA",20,24,0.25,0.833333333,0.266666666,0.333333333,0.4,0.333333333,0,0.25,0.25,0.5,0.16483516,30,61,91,"sa3018463"
"Diomedes Hernandez","NYY","AA",20,34,0.3125,0.833333333,0.3125,0.3125,0.375,0.333333333,0,0.44444444,0.27777778,0.27777778,0.26605505,25,84,109,"sa3018504"
"Aron Estrada","BAL","AA",20,110,0.316455696,1.5,0.25,0.45,0.3,0.166666666,0.208333333,0.44047619,0.26190476,0.29761905,0.1075,145,255,400,"sa3018552"
"Alfredo Velasquez","BAL","AA",20,84,0.304347826,1.631578947,0.21875,0.484375,0.296875,0.315789473,0,0.43478261,0.23188406,0.33333333,0.10332103,77,194,271,"sa3018556"
"Marvin Alcantara","BOS","AA",20,357,0.263157894,1.38372093,0.217557251,0.454198473,0.328244274,0.255813953,0.023255813,0.4738806,0.23507463,0.29104478,0.08607199,486,792,1278,"sa3018558"
"Thomas Sosa","BAL","AA",20,41,0.16,2,0.111111111,0.592592592,0.296296296,0.125,0.25,0.37037037,0.14814815,0.48148148,0.14012739,46,111,157,"sa3018566"
"Josue Briceno","DET","AA",20,198,0.288135593,0.956521739,0.262295081,0.360655737,0.37704918,0.239130434,0.108695652,0.36585366,0.24390244,0.3902439,0.10532407,339,525,864,"sa3018584"
"Chris Suero","NYM","AA",21,174,0.325301204,1.0625,0.223529411,0.4,0.376470588,0.28125,0.09375,0.56976744,0.20930233,0.22093023,0.12466488,313,433,746,"sa3018614"
"Caleb Ricketts","PHI","AA",25,238,0.294797687,1.450980392,0.289772727,0.420454545,0.289772727,0.31372549,0.117647058,0.5698324,0.22346369,0.20670391,0.09935897,333,603,936,"sa3019917"
"Cade Fergus","PHI","AA",24,280,0.247524752,0.525423728,0.166666666,0.287037037,0.546296296,0.27118644,0.169491525,0.50442478,0.31858407,0.17699115,0.18662263,451,760,1211,"sa3019919"
"Jack Brannigan","PIT","AA",24,237,0.297101449,0.781818181,0.3,0.307142857,0.392857142,0.218181818,0.09090909,0.48251748,0.26573427,0.25174825,0.11025358,346,561,907,"sa3019922"
"Robert Moore","PHI","AA",23,321,0.256281407,1.138888888,0.233830845,0.407960199,0.358208955,0.138888888,0.069444444,0.50961538,0.26442308,0.22596154,0.10771704,463,781,1244,"sa3019928"
"Adam Retzbach","BAL","AA",24,446,0.310043668,1.265822784,0.241525423,0.423728813,0.334745762,0.227848101,0.164556962,0.51020408,0.22040816,0.26938776,0.16505956,672,1091,1763,"sa3019946"
"Danny Serretti","DET","AA",25,240,0.253164556,1.37735849,0.202531645,0.462025316,0.335443037,0.301886792,0.056603773,0.37888199,0.25465839,0.36645963,0.09989485,380,571,951,"sa3019967"
"Zach Morgan","SFG","AA",25,112,0.209876543,0.818181818,0.259259259,0.333333333,0.407407407,0.242424242,0.06060606,0.525,0.1875,0.2875,0.07162534,127,236,363,"sa3019968"
"Silas Ardoin","BAL","AA",24,264,0.272058823,0.724137931,0.285714285,0.3,0.414285714,0.155172413,0.068965517,0.46206897,0.26896552,0.26896552,0.10062333,467,656,1123,"sa3019976"
"Cayden Wallace","WSN","AA",23,481,0.299035369,0.956896551,0.277070063,0.353503184,0.369426751,0.215517241,0.086206896,0.44720497,0.2826087,0.27018634,0.13422819,617,1171,1788,"sa3019996"
"Peyton Williams","TOR","AA",24,329,0.29787234,1.65,0.184615384,0.507692307,0.307692307,0.183333333,0.15,0.45177665,0.20304569,0.34517766,0.15607843,484,791,1275,"sa3020099"
"Jordan Dissin","PHI","AA",23,37,0.5,1.25,0.4375,0.3125,0.25,0.5,0,0.3125,0.1875,0.5,0.14788732,49,93,142,"sa3020100"
"Tres Gonzalez","PIT","AA",24,270,0.305555555,2.073170731,0.3,0.472222222,0.227777777,0.170731707,0.024390243,0.4076087,0.27173913,0.32065217,0.05651341,424,620,1044,"sa3020121"
"Thomas Gavello","SFG","AA",24,99,0.350877192,0.818181818,0.298245614,0.315789473,0.385964912,0.136363636,0.136363636,0.47368421,0.24561404,0.28070175,0.12432432,125,245,370,"sa3020122"
"Justin Boyd","CLE","AA",24,53,0.4,4.666666666,0.32,0.56,0.12,0,0,0.64,0.2,0.16,0.1793722,84,139,223,"sa3020123"
