period,team_id,team_name,fantrax_id,name,mlb_team,primary_position,roster_position,roster_status,salary,contract
72,aqfyadu2mj90wrl7,Ben the Hen,05u3u,"Griffin, Konnor",PIT,SS,SS,MINORS,,
72,aqfyadu2mj90wrl7,Ben the Hen,03pit,"Grisham, Trent",NYY,CF,OF,ACTIVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,02n96,"Hader, Josh",HOU,RP,P,ACTIVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,06rw2,"Hall, Steele",CIN,SS,SS,MINORS,,
72,aqfyadu2mj90wrl7,Ben the Hen,06cqi,"Hammond, Josh",KC,SS,3B,MINORS,,
72,aqfyadu2mj90wrl7,Ben the Hen,04hyc,"Herrera, Ivan",STL,DH,C,ACTIVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,051ia,"Horwitz, Spencer",PIT,1B,UT,ACTIVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,06c10,"Irish, Ike",BAL,C,C,MINORS,,
72,aqfyadu2mj90wrl7,Ben the Hen,05zh9,"Keaschall, Luke",MIN,2B,MI,ACTIVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,041r1,"Luzardo, Jesus",PHI,SP,P,ACTIVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,01svq,"Machado, Manny",SD,3B,3B,ACTIVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,06ibv,"Made, Jesus",MIL,SS,SS,MINORS,,
72,aqfyadu2mj90wrl7,Ben the Hen,04qnd,"Marte, Noelvi",CIN,RF,3B,MINORS,,
72,aqfyadu2mj90wrl7,Ben the Hen,05ucd,"Miller, Mason",SD,RP,P,ACTIVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,061yu,"Misiorowski, Jacob",MIL,SP,P,ACTIVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,02mzg,"Muncy, Max",LAD,3B,UT,ACTIVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,06pg4,"Ortiz, Deniel",STL,3B,1B,MINORS,,
72,aqfyadu2mj90wrl7,Ben the Hen,05r3i,"Painter, Andrew",PHI,SP,P,MINORS,,
72,aqfyadu2mj90wrl7,Ben the Hen,05184,"Pasquantino, Vinnie",KC,1B,UT,ACTIVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,041ma,"Ragans, Cole",KC,SP,P,INJURED_RESERVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,05vy9,"Ramirez, Pedro",CHC,3B,2B,MINORS,,
72,aqfyadu2mj90wrl7,Ben the Hen,03pom,"Riley, Austin",ATL,3B,CI,ACTIVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,02c2r,"Rodon, Carlos",NYY,SP,P,ACTIVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,04pko,"Rodriguez, Grayson",LAA,SP,P,ACTIVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,04fhb,"Rodriguez, Julio",SEA,CF,OF,ACTIVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,03dfa,"Scott, Tanner",LAD,RP,P,ACTIVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,063vu,"Shaw, Matt",CHC,3B,UT,MINORS,,
72,aqfyadu2mj90wrl7,Ben the Hen,04ptt,"Skubal, Tarik",DET,SP,P,INJURED_RESERVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,06ier,"Sloan, Ryan",SEA,SP,P,MINORS,,
72,aqfyadu2mj90wrl7,Ben the Hen,02bqr,"Snell, Blake",LAD,SP,P,INJURED_RESERVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,05u9o,"Stewart, Sal",CIN,1B,1B,ACTIVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,02c68,"Turner, Trea",PHI,SS,SS,ACTIVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,051bm,"Varland, Louis",TOR,RP,P,ACTIVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,01sb3,"Wheeler, Zack",PHI,SP,P,ACTIVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,05rat,"Wood, James",WSH,LF,OF,ACTIVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,05g4k,"Abel, Mick",MIN,SP,P,INJURED_RESERVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,06uwm,"Arana, Luis",MIA,3B,3B,MINORS,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,071wa,"Asigen, Wandy",NYM,SS,SS,MINORS,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,062e0,"Caminiti, Cam",ATL,SP,P,MINORS,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,03df2,"Cease, Dylan",TOR,SP,P,INJURED_RESERVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,01gya,"Chapman, Aroldis",BOS,RP,P,ACTIVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,03d6s,"Chapman, Matt",SF,3B,UT,ACTIVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,05yix,"Chourio, Jaison",CLE,CF,OF,MINORS,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,05u9y,"Clark, Max",DET,CF,OF,MINORS,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,04mn2,"Conine, Griffin",MIA,LF,OF,INJURED_RESERVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,03yrz,"Contreras, William",MIL,C,C,ACTIVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,01xfr,"Corbin, Patrick",TOR,SP,P,ACTIVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,05ajh,"Crochet, Garrett",BOS,SP,P,INJURED_RESERVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,03m6o,"Diaz, Yandy",TB,DH,CI,ACTIVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,050c3,"Dominguez, Jasson",NYY,LF,OF,INJURED_RESERVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,04auk,"Dominguez, Seranthony",CHW,RP,P,ACTIVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,05u96,"Eldridge, Bryce",SF,1B,1B,MINORS,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,03qo0,"Fairbanks, Pete",MIA,RP,P,ACTIVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,03d6w,"Flaherty, Jack",DET,SP,P,ACTIVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,06o01,"Flewelling, Nathan",TB,C,C,MINORS,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,06yjx,"Franklin, Tanner",STL,SP,P,MINORS,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,062cy,"Gamble, Sean",KC,SS,SS,MINORS,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,06v26,"German, Marconi",WSH,2B,SS,MINORS,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,01ual,"Goldschmidt, Paul",NYY,1B,UT,ACTIVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,03nmw,"Happ, Ian",CHC,LF,OF,ACTIVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,06kjz,"Harlan, Chase",LAD,3B,3B,MINORS,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,03aqv,"Iglesias, Raisel",ATL,RP,P,ACTIVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,06mi0,"King, Bryan",HOU,RP,P,ACTIVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,062k5,"Kurtz, Nick",ATH,1B,1B,ACTIVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,06kza,"Lamkin, Justin",KC,SP,P,MINORS,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,05r1m,"Lawlar, Jordan",ARI,3B,3B,INJURED_RESERVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,05t2b,"Lile, Daylen",WSH,RF,OF,ACTIVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,061bo,"Lowder, Rhett",CIN,SP,P,INJURED_RESERVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,03qjy,"Lowe, Brandon",PIT,2B,2B,ACTIVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,065ji,"Marsee, Jakob",MIA,CF,OF,ACTIVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,041r5,"May, Dustin",STL,SP,P,ACTIVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,05ahe,"Mead, Curtis",WSH,1B,UT,ACTIVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,05y3q,"Mitchell, Blake",KC,C,C,MINORS,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,05rch,"Montgomery, Colson",CHW,SS,MI,ACTIVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,06r8u,"Morii, Shotaro",ATH,SS,SS,MINORS,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,06fzu,"Okamoto, Kazuma",TOR,3B,3B,ACTIVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,06m0g,"Pena, Elian",NYM,SS,SS,MINORS,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,05yff,"Petry, Ethan",WSH,LF,OF,MINORS,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,01spl,"Profar, Jurickson",ATL,LF,UT,INJURED_RESERVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,0724c,"Renteria, Francisco",PHI,CF,OF,MINORS,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,06ps4,"Rodriguez, Cris",DET,CF,OF,MINORS,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,03cag,"Schwarber, Kyle",PHI,DH,UT,ACTIVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,05tq1,"Schwellenbach, Spencer",ATL,SP,P,INJURED_RESERVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,05wru,"Skenes, Paul",PIT,SP,P,ACTIVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,05zd4,"Smith, Hagen",CHW,SP,P,MINORS,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,04mlr,"Springs, Jeffrey",ATH,SP,P,ACTIVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,03deg,"Steele, Justin",CHC,SP,P,INJURED_RESERVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,04y97,"Stowers, Kyle",MIA,LF,OF,ACTIVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,03et8,"Suarez, Ranger",BOS,SP,P,ACTIVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,06lfg,"Suero, Chris",NYM,C,C,MINORS,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,06qgp,"Sullivan, Joseph",HOU,CF,OF,MINORS,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,05y7n,"Susana, Jarlin",WSH,SP,P,MINORS,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,04b02,"Suzuki, Seiya",CHC,DH,OF,ACTIVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,05tp6,"White, Thomas",MIA,SP,P,MINORS,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,06n8y,"Willits, Eli",WSH,SS,SS,MINORS,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,0622t,"Wilson, Jacob",ATH,SS,MI,INJURED_RESERVE,,
72,6tnz8jgemj90wrl7,Bobby and the NitWitts,04lgp,"Witt Jr., Bobby",KC,SS,SS,ACTIVE,,
72,bw696uo5mj90wrl7,Cant Park Here,06hth,"Adamczewski, Josh",MIL,SS,SS,MINORS,,
72,bw696uo5mj90wrl7,Cant Park Here,06582,"Adams, Luke",MIL,3B,1B,MINORS,,
72,bw696uo5mj90wrl7,Cant Park Here,04qow,"Alcantara, Kevin",CHC,CF,OF,MINORS,,
72,bw696uo5mj90wrl7,Cant Park Here,06ahe,"Alderman, Kemp",MIA,RF,OF,MINORS,,
72,bw696uo5mj90wrl7,Cant Park Here,05ydp,"Anderson, Kade",SEA,SP,P,MINORS,,
72,bw696uo5mj90wrl7,Cant Park Here,01sy3,"Arenado, Nolan",ARI,3B,UT,ACTIVE,,
72,bw696uo5mj90wrl7,Cant Park Here,04pmq,"Ashcraft, Braxton",PIT,RP,P,ACTIVE,,
72,bw696uo5mj90wrl7,Cant Park Here,0630d,"Baldwin, Drake",ATL,C,UT,INJURED_RESERVE,,
72,bw696uo5mj90wrl7,Cant Park Here,0316v,"Bauers, Jake",MIL,LF,1B,ACTIVE,,
72,bw696uo5mj90wrl7,Cant Park Here,05t64,"Bautista, Felix",BAL,RP,P,INJURED_RESERVE,,
72,bw696uo5mj90wrl7,Cant Park Here,02btf,"Betts, Mookie",LAD,SS,UT,ACTIVE,,
72,bw696uo5mj90wrl7,Cant Park Here,04y95,"Bleday, JJ",CIN,CF,OF,ACTIVE,,
72,bw696uo5mj90wrl7,Cant Park Here,06icx,"Bremner, Tyler",LAA,SP,P,MINORS,,
72,bw696uo5mj90wrl7,Cant Park Here,062jb,"Burke, Blake",MIL,1B,1B,MINORS,,
72,bw696uo5mj90wrl7,Cant Park Here,05m1e,"Chourio, Jackson",MIL,CF,OF,ACTIVE,,
72,bw696uo5mj90wrl7,Cant Park Here,0423c,"Cortes, Carlos",ATH,RF,OF,ACTIVE,,
72,bw696uo5mj90wrl7,Cant Park Here,03zlh,"Cruz, Oneil",PIT,CF,OF,ACTIVE,,
72,bw696uo5mj90wrl7,Cant Park Here,06rvt,"Davalan, Charles",LAD,CF,OF,MINORS,,
72,bw696uo5mj90wrl7,Cant Park Here,05udp,"De La Cruz, Elly",CIN,SS,MI,INJURED_RESERVE,,
72,bw696uo5mj90wrl7,Cant Park Here,02my5,"Diaz, Edwin",LAD,RP,P,INJURED_RESERVE,,
72,bw696uo5mj90wrl7,Cant Park Here,03mnq,"Estevez, Carlos",KC,RP,P,INJURED_RESERVE,,
72,bw696uo5mj90wrl7,Cant Park Here,06mc1,"Gibson, Trey",BAL,SP,P,MINORS,,
72,bw696uo5mj90wrl7,Cant Park Here,06qng,"Hardin, Tyson",MIL,SP,P,MINORS,,
72,bw696uo5mj90wrl7,Cant Park Here,0512v,"Harris II, Michael",ATL,CF,OF,ACTIVE,,
72,bw696uo5mj90wrl7,Cant Park Here,05js3,"Harrison, Kyle",MIL,SP,P,ACTIVE,,
72,bw696uo5mj90wrl7,Cant Park Here,06pi0,"Hartman, Eric",ATL,CF,2B,MINORS,,
72,bw696uo5mj90wrl7,Cant Park Here,050w9,"Henderson, Gunnar",BAL,SS,SS,ACTIVE,,
72,bw696uo5mj90wrl7,Cant Park Here,05uo2,"Henderson, Logan",MIL,SP,P,INJURED_RESERVE,,
72,bw696uo5mj90wrl7,Cant Park Here,02xic,"Hernandez, Teoscar",LAD,RF,OF,INJURED_RESERVE,,
72,bw696uo5mj90wrl7,Cant Park Here,06f1b,"Hopkins, Brody",TB,SP,P,MINORS,,
72,bw696uo5mj90wrl7,Cant Park Here,05t9g,"Jump, Gage",ATH,SP,P,ACTIVE,,
72,bw696uo5mj90wrl7,Cant Park Here,05jrh,"Keith, Colt",DET,DH,3B,ACTIVE,,
72,bw696uo5mj90wrl7,Cant Park Here,02hj7,"Kelly, Merrill",ARI,SP,P,ACTIVE,,
72,bw696uo5mj90wrl7,Cant Park Here,04o4s,"Langeliers, Shea",ATH,C,C,ACTIVE,,
72,bw696uo5mj90wrl7,Cant Park Here,04yig,"Lee, Brooks",MIN,SS,CI,ACTIVE,,
72,bw696uo5mj90wrl7,Cant Park Here,02611,"Lindor, Francisco",NYM,SS,MI,INJURED_RESERVE,,
72,bw696uo5mj90wrl7,Cant Park Here,03sef,"Lugo, Seth",KC,SP,P,ACTIVE,,
72,bw696uo5mj90wrl7,Cant Park Here,02c4q,"Martinez, Nick",TB,SP,P,ACTIVE,,
72,bw696uo5mj90wrl7,Cant Park Here,066cf,"Matthews, Zebby",MIN,SP,P,ACTIVE,,
72,bw696uo5mj90wrl7,Cant Park Here,05rhb,"Mendez, Hendry",MIN,LF,OF,MINORS,,
72,bw696uo5mj90wrl7,Cant Park Here,05rcg,"Montgomery, Braden",CHW,CF,OF,MINORS,,
72,bw696uo5mj90wrl7,Cant Park Here,05js4,"Morales, Yohandy",WSH,1B,CI,MINORS,,
72,bw696uo5mj90wrl7,Cant Park Here,05xu5,"Neto, Zach",LAA,SS,UT,ACTIVE,,
72,bw696uo5mj90wrl7,Cant Park Here,05y3p,"Nimmala, Arjun",TOR,SS,SS,MINORS,,
72,bw696uo5mj90wrl7,Cant Park Here,06kkf,"Payne, Braylon",MIL,CF,OF,MINORS,,
72,bw696uo5mj90wrl7,Cant Park Here,06j3f,"Pena, Luis",MIL,SS,SS,MINORS,,
72,bw696uo5mj90wrl7,Cant Park Here,050vn,"Priester, Quinn",MIL,SP,P,INJURED_RESERVE,,
72,bw696uo5mj90wrl7,Cant Park Here,06c79,"Quintero, Eduardo",LAD,CF,C,MINORS,,
72,bw696uo5mj90wrl7,Cant Park Here,05xoo,"Rodriguez, Elmer",NYY,SP,P,MINORS,,
72,bw696uo5mj90wrl7,Cant Park Here,06mnp,"Rodriguez, Rainiel",STL,C,C,MINORS,,
72,bw696uo5mj90wrl7,Cant Park Here,05y72,"Roupp, Landen",SF,SP,P,ACTIVE,,
72,bw696uo5mj90wrl7,Cant Park Here,061mh,"Snelling, Robby",MIA,SP,P,INJURED_RESERVE,,
72,bw696uo5mj90wrl7,Cant Park Here,0515o,"Sproat, Brandon",MIL,SP,P,ACTIVE,,
72,bw696uo5mj90wrl7,Cant Park Here,0433b,"Vargas, Ildemaro",ARI,2B,2B,ACTIVE,,
72,bw696uo5mj90wrl7,Cant Park Here,05itb,"Vasquez, Randy",SD,SP,P,ACTIVE,,
72,bw696uo5mj90wrl7,Cant Park Here,067yp,"Velazquez, Ralphy",CLE,1B,C,MINORS,,
72,bw696uo5mj90wrl7,Cant Park Here,04y9p,"Volpe, Anthony",NYY,SS,MI,ACTIVE,,
72,bw696uo5mj90wrl7,Cant Park Here,06f1c,"Wenninger, Jack",NYM,SP,P,MINORS,,
72,bw696uo5mj90wrl7,Cant Park Here,06ms5,"Witherspoon, Kyson",BOS,SP,P,MINORS,,
72,bw696uo5mj90wrl7,Cant Park Here,02bu3,"Woodruff, Brandon",MIL,SP,P,INJURED_RESERVE,,
72,bw696uo5mj90wrl7,Cant Park Here,05y9r,"Wrobleski, Justin",LAD,RP,P,ACTIVE,,
72,bw696uo5mj90wrl7,Cant Park Here,025dn,"Yelich, Christian",MIL,DH,UT,ACTIVE,,
72,jk36oo1hmj90wrl7,Daddy Yankee,03wha,"Acuna Jr., Ronald",ATL,RF,OF,ACTIVE,,
72,jk36oo1hmj90wrl7,Daddy Yankee,03atq,"Adames, Willy",SF,SS,SS,ACTIVE,,
72,jk36oo1hmj90wrl7,Daddy Yankee,041pz,"Alonso, Pete",BAL,1B,1B,ACTIVE,,
72,jk36oo1hmj90wrl7,Daddy Yankee,06psn,"Alvarez, Kevin",HOU,CF,OF,MINORS,,
72,jk36oo1hmj90wrl7,Daddy Yankee,05rcj,"Arroyo, Edwin",CIN,SS,SS,MINORS,,
72,jk36oo1hmj90wrl7,Daddy Yankee,04azv,"Burger, Jake",TEX,1B,UT,ACTIVE,,
72,jk36oo1hmj90wrl7,Daddy Yankee,05mdt,"Carter, Evan",TEX,CF,OF,MINORS,,
72,jk36oo1hmj90wrl7,Daddy Yankee,066mn,"Cespedes, Yoeilin",BOS,2B,SS,MINORS,,
72,jk36oo1hmj90wrl7,Daddy Yankee,045qo,"Chisholm Jr., Jazz",NYY,2B,3B,ACTIVE,,
72,jk36oo1hmj90wrl7,Daddy Yankee,04alp,"Clement, Ernie",TOR,3B,MI,ACTIVE,,
72,jk36oo1hmj90wrl7,Daddy Yankee,066db,"Cole Jr., Zach",HOU,RF,OF,MINORS,,
72,jk36oo1hmj90wrl7,Daddy Yankee,0569p,"Crow, Coleman",MIL,SP,P,MINORS,,
72,jk36oo1hmj90wrl7,Daddy Yankee,06yd4,"Dos Santos, Sebastian",STL,SS,SS,MINORS,,
72,jk36oo1hmj90wrl7,Daddy Yankee,04nqx,"Duran, Ezequiel",TEX,SS,2B,ACTIVE,,
72,jk36oo1hmj90wrl7,Daddy Yankee,06f1r,"Early, Connelly",BOS,SP,P,MINORS,,
72,jk36oo1hmj90wrl7,Daddy Yankee,072p5,"Fermin, Albert",HOU,SS,SS,MINORS,,
72,jk36oo1hmj90wrl7,Daddy Yankee,06p5z,"Fitz-Gerald, Devin",WSH,SS,SS,MINORS,,
72,jk36oo1hmj90wrl7,Daddy Yankee,01cgo,"Freeman, Freddie",LAD,1B,CI,ACTIVE,,
72,jk36oo1hmj90wrl7,Daddy Yankee,06yjs,"Frey, Ethan",HOU,CF,OF,MINORS,,
72,jk36oo1hmj90wrl7,Daddy Yankee,06hsz,"Gil, John",ATL,SS,SS,MINORS,,
72,jk36oo1hmj90wrl7,Daddy Yankee,06mff,"Gonzales, Justin",BOS,RF,OF,MINORS,,
72,jk36oo1hmj90wrl7,Daddy Yankee,05u2v,"Goodman, Hunter",COL,C,C,ACTIVE,,
72,jk36oo1hmj90wrl7,Daddy Yankee,06mvg,"Gray, Murf",PIT,3B,3B,MINORS,,
72,jk36oo1hmj90wrl7,Daddy Yankee,05ybv,"Holliday, Jackson",BAL,2B,2B,RESERVE,,
72,jk36oo1hmj90wrl7,Daddy Yankee,05u3v,"Jenkins, Walker",MIN,CF,OF,MINORS,,
72,jk36oo1hmj90wrl7,Daddy Yankee,02z0s,"Judge, Aaron",NYY,RF,UT,RESERVE,,
72,jk36oo1hmj90wrl7,Daddy Yankee,04yie,"Kirby, George",SEA,SP,P,ACTIVE,,
72,jk36oo1hmj90wrl7,Daddy Yankee,060yn,"Lara, Luis",MIL,CF,OF,MINORS,,
72,jk36oo1hmj90wrl7,Daddy Yankee,07261,"Luna, Emanuel",STL,CF,OF,MINORS,,
72,jk36oo1hmj90wrl7,Daddy Yankee,04mlt,"McClanahan, Shane",TB,SP,P,ACTIVE,,
72,jk36oo1hmj90wrl7,Daddy Yankee,05a2d,"Meyer, Max",MIA,SP,P,ACTIVE,,
72,jk36oo1hmj90wrl7,Daddy Yankee,05u36,"Miller, Aidan",PHI,SS,3B,MINORS,,
72,jk36oo1hmj90wrl7,Daddy Yankee,041e2,"Moniak, Mickey",COL,RF,UT,INJURED_RESERVE,,
72,jk36oo1hmj90wrl7,Daddy Yankee,03dgq,"OHearn, Ryan",PIT,1B,UT,ACTIVE,,
72,jk36oo1hmj90wrl7,Daddy Yankee,04pbq,"Perdomo, Geraldo",ARI,SS,UT,ACTIVE,,
72,jk36oo1hmj90wrl7,Daddy Yankee,0316j,"Pivetta, Nick",SD,SP,P,INJURED_RESERVE,,
72,jk36oo1hmj90wrl7,Daddy Yankee,05joq,"Prielipp, Connor",MIN,SP,P,MINORS,,
72,jk36oo1hmj90wrl7,Daddy Yankee,07262,"Rijo, Juan",SEA,CF,OF,MINORS,,
72,jk36oo1hmj90wrl7,Daddy Yankee,05tzo,"Ritchie, J.R.",ATL,SP,P,MINORS,,
72,jk36oo1hmj90wrl7,Daddy Yankee,066mq,"Rodriguez, Yophery",BOS,LF,OF,MINORS,,
72,jk36oo1hmj90wrl7,Daddy Yankee,01uca,"Sale, Chris",ATL,SP,P,ACTIVE,,
72,jk36oo1hmj90wrl7,Daddy Yankee,052c8,"Sanchez, Cristopher",PHI,SP,P,ACTIVE,,
72,jk36oo1hmj90wrl7,Daddy Yankee,05u6q,"Schlittler, Cam",NYY,SP,P,ACTIVE,,
72,jk36oo1hmj90wrl7,Daddy Yankee,060jo,"Smith, Cam",HOU,RF,OF,ACTIVE,,
72,jk36oo1hmj90wrl7,Daddy Yankee,02i11,"Soler, Jorge",LAA,RF,OF,ACTIVE,,
72,jk36oo1hmj90wrl7,Daddy Yankee,03pjf,"Soroka, Michael",ARI,SP,P,ACTIVE,,
72,jk36oo1hmj90wrl7,Daddy Yankee,025he,"Springer, George",TOR,RF,OF,ACTIVE,,
72,jk36oo1hmj90wrl7,Daddy Yankee,05mre,"Strider, Spencer",ATL,SP,P,ACTIVE,,
72,jk36oo1hmj90wrl7,Daddy Yankee,07248,"Valdez, Victor",TB,SS,SS,MINORS,,
72,jk36oo1hmj90wrl7,Daddy Yankee,06dlz,"Waldschmidt, Ryan",ARI,LF,OF,MINORS,,
72,jk36oo1hmj90wrl7,Daddy Yankee,02mw3,"Walker, Christian",HOU,1B,UT,ACTIVE,,
